GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "02000","Alaska",8,CAGDP2,1,"...","All industry total ","Thousands of dollars",28494061,29756850,32037922,35302447,40356604,45094111,49583742,55122478,49957770,53331622,56896350,58283630,57247714,56484937,51490883,50727653,53301510,54899608,54728232,50475190,57349378
 "02000","Alaska",8,CAGDP2,2,"..."," Private industries ","Thousands of dollars",22573247,23354881,25220112,28184253,32808241,37178939,41351992,46565255,40911420,44005020,47060014,48039341,47159029,46144818,41132377,40070302,42487428,43618288,43391086,39140731,45506888
 "02000","Alaska",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",348816,313487,357157,324771,369640,401024,371733,422293,426052,533890,617360,550886,566595,539767,506437,426659,422686,420361,436865,402740,416031
 "02000","Alaska",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",4035978,4558780,5217328,7243368,10385629,13809731,16471196,20392305,14396928,15713867,18273859,18303229,16351714,14237302,7765397,6516839,8553387,8999887,7518900,5056584,8048853
 "02000","Alaska",8,CAGDP2,10,"22","  Utilities ","Thousands of dollars",412487,397440,409067,446607,448327,506146,506679,542272,619825,661761,751638,745392,754533,785517,761880,780898,784712,803035,823590,857277,971797
 "02000","Alaska",8,CAGDP2,11,"23","  Construction ","Thousands of dollars",1430044,1543562,1713454,1842499,2037787,2038383,2126767,2073945,2175949,2136240,2048876,2012584,1998537,2208100,2442016,2369474,2329324,2443986,2596351,2528851,2552468
 "02000","Alaska",8,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",948055,919186,1101922,1221562,1264551,1398617,1548887,1479741,1452836,1107680,969929,992043,1324956,1597418,1833576,1570352,1822498,1409081,1439826,1321329,1718939
 "02000","Alaska",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",112660,113676,129192,138391,158692,163685,181590,185455,193820,175322,162005,200345,213944,225944,261804,253306,232730,219961,228068,218896,223758
 "02000","Alaska",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",835395,805511,972730,1083171,1105858,1234932,1367296,1294286,1259016,932358,807924,791699,1111013,1371475,1571772,1317045,1589768,1189120,1211758,1102433,1495181
 "02000","Alaska",8,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",718361,718950,733063,810999,885445,964211,1043139,1089934,1013669,1109077,1146881,1166914,1246446,1260854,1272667,1271068,1280355,1383631,1531149,1428545,1587222
