GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "04000","Arizona",6,CAGDP2,1,"...","All industry total ","Thousands of dollars",171909621,180522314,193634894,206541070,227915919,245956952,261391980,262926047,246424330,251153035,260915729,271440034,278591604,287666630,299393263,313081381,332001755,351879482,372393504,382072265,420026672
 "04000","Arizona",6,CAGDP2,2,"..."," Private industries ","Thousands of dollars",149169940,156331415,167732679,179040772,198285461,214226544,227670583,227261842,211469792,214688439,223987037,233709874,240043347,249015062,259826376,272463631,289534697,308306212,327168757,335150475,371675512
 "04000","Arizona",6,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",1520228,1602975,1615014,2194085,2009970,1828127,2139696,1606654,1315160,1640349,2369557,1876600,2330359,2105126,2307110,2551578,2540105,2549294,2457972,2502750,2700383
 "04000","Arizona",6,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1286337,1239512,1394874,1926788,3122574,4371315,4933463,5365081,4793698,6106556,7216011,6465660,5664747,5537601,3881785,3386451,4757617,4799011,4501397,4831268,6883127
 "04000","Arizona",6,CAGDP2,10,"22","  Utilities ","Thousands of dollars",3505586,3382234,3520094,3830323,3929985,4657714,5090945,5271902,5735906,6042458,6320291,6220055,6341618,6398485,6385749,6717639,6705667,6606293,6899761,7402051,8007072
 "04000","Arizona",6,CAGDP2,11,"23","  Construction ","Thousands of dollars",10924206,11265445,12181350,14275282,18282243,21606880,22124771,17768566,11856947,9822049,9647388,9329620,10404441,10892322,11633347,12951723,14788879,16725769,18840238,20731185,21681647
 "04000","Arizona",6,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",22227906,22335091,25649488,21534992,20584502,22597603,24579306,23534562,20723237,22210700,23321626,24505228,22226355,24070005,25819167,26489147,28954838,31715635,34072962,34344461,37602527
 "04000","Arizona",6,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",19308349,19572208,23040075,18915226,17703477,19264531,20424804,19522078,16226588,17938568,18980597,20395064,18721407,20167706,21367353,21923617,24370608,26913708,28400195,28644641,31119177
 "04000","Arizona",6,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",2919558,2762883,2609414,2619765,2881025,3333072,4154503,4012484,4496649,4272132,4341029,4110164,3504948,3902299,4451814,4565530,4584230,4801927,5672767,5699820,6483350
 "04000","Arizona",6,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",10020104,10110947,10711572,11825285,12779638,13794369,15151449,15236770,14442104,14827235,15310655,16676310,16537455,16735550,17214547,17926177,18551369,19328528,19906983,20487039,23362099
 "04000","Arizona",6,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",13715552,14272052,15319426,16416529,18570588,20429631,20753656,19244911,17772212,18185022,19613413,20235167,20391780,21561642,22072020,22837475,23222953,23804210,24996496,26933098,31349197
