GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "06000","California",8,CAGDP2,1,"...","All industry total ","Thousands of dollars",1375761291,1418429562,1497918657,1588177383,1698560406,1812209985,1898902003,1944695344,1890165874,1954092678,2023500032,2113096440,2220389868,2335286492,2473555865,2569634021,2728743053,2897200661,3042694071,3020173358,3373240664
 "06000","California",8,CAGDP2,2,"..."," Private industries ","Thousands of dollars",1198531481,1230883420,1300906955,1382620408,1483785689,1585979972,1656453141,1690132208,1635862402,1696461564,1760303619,1848525717,1945187135,2045816229,2167473394,2252139859,2405676012,2560744639,2696307797,2664035916,2999642234
 "06000","California",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",17749814,18595164,21050937,25241332,25303869,24292900,28378546,25620563,24876052,28087619,32158183,33913766,37483248,40346781,37318093,36657034,38651136,38416885,35842453,36934638,38294632
 "06000","California",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",6425729,5924601,7005804,9135741,12696107,17709020,21468878,25746863,17899367,18379822,20641820,21451714,20018556,18032674,9724627,8244182,10290991,10053701,8819949,7423917,12014817
 "06000","California",8,CAGDP2,10,"22","  Utilities ","Thousands of dollars",14630480,20244057,20980639,20775535,20983418,25211271,25453059,24990934,27439378,28578297,30032913,29520260,31122993,32111013,33234519,34053497,37848512,39382984,40058424,40982145,45687406
 "06000","California",8,CAGDP2,11,"23","  Construction ","Thousands of dollars",58696863,59866295,66903666,80980734,92235304,97663055,94706399,76937017,65342141,61678221,59050539,64176783,72796536,78629918,88683492,97088669,105482769,113868584,122280064,117599204,124564467
 "06000","California",8,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",177772615,162322555,176916730,183880184,208625766,222745394,233720572,250084832,232587138,227608164,226284891,237967810,251269769,264961160,280043844,285541969,317400910,346747822,359608812,353620530,394827719
 "06000","California",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",112971520,106393880,112193197,112767011,124371860,128697002,133754745,133198492,130023884,131671141,137986689,141529234,148766005,154964080,166442883,174019711,193259029,206675477,211122259,219442783,242190990
 "06000","California",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",64801095,55928675,64723533,71113173,84253906,94048392,99965827,116886340,102563254,95937023,88298202,96438576,102503764,109997080,113600961,111522258,124141881,140072345,148486553,134177747,152636729
 "06000","California",8,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",76110537,76295081,79943444,84723624,93261811,101911251,108348860,109304054,99363169,106775493,117675404,120398964,128182243,139142061,152151049,147933148,154323074,159926318,170255310,165455163,188724156
 "06000","California",8,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",98986866,102979784,108587048,115006056,121203077,126441647,123311013,115337193,109475791,113936493,116389575,122471009,129807074,132945517,139281809,140680647,144928158,149840300,154272686,157545106,178861745
 "06000","California",8,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",33775628,33794442,34840727,38873830,40429782,46044765,45664320,45827833,43181194,46545668,48073291,48540086,51588406,55295681,61131446,67277219,71648708,79052647,89944995,75876325,93492570
 "06000","California",8,CAGDP2,45,"51","  Information ","Thousands of dollars",92899740,100870564,105091547,117589733,119839810,127098006,137228279,141997658,130942712,147306330,151950363,154113470,183340236,192858100,219700183,243545251,267764234,283352611,299332885,313008191,362001669
 "06000","California",8,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",269815699,284517214,296480469,300362110,324428350,342438517,357606776,360564886,381692558,395510283,406366674,427596619,441159841,454783383,463179338,475465774,505259665,537233480,564266123,570847143,617020764
 "06000","California",8,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",77119783,81935813,89807949,86863868,95899152,104979362,100279179,82312285,94545783,95388442,99476767,111917016,113378289,123046345,128480301,131933338,139916307,151534462,157002880,167003254,192187321
 "06000","California",8,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",192695916,202581401,206672520,213498242,228529197,237459155,257327596,278252601,287146775,300121841,306889907,315679603,327781552,331737038,334699037,343532436,365343358,385699018,407263243,403843889,424833443
 "06000","California",8,CAGDP2,59,"54, 55, 56","  Professional and business services ","Thousands of dollars",181756156,180011490,186886681,195745435,207069296,222911332,241608583,261470508,245282673,255369300,272702416,294427205,293932488,313318350,337246120,348553859,367884822,398520728,423336111,435432913,492172731
 "06000","California",8,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",112872186,113285487,117213717,121782182,131264696,142660114,155520578,174905891,164283589,170262333,182968027,200060332,196905374,210617219,228860156,232272479,244072299,265744813,284855948,296674886,333608470
 "06000","California",8,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",27985061,25295482,25444243,26217845,24833849,25692586,26718411,26423710,25223498,26557535,28541932,30044660,34008574,35900516,37798884,39360153,40489069,46277900,46892176,49575670,54051354
 "06000","California",8,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",40898908,41430522,44228722,47745407,50970751,54558632,59369593,60140907,55775586,58549433,61192457,64322213,63018539,66800615,70587080,76921227,83323454,86498015,91587986,89182358,104512906
 "06000","California",8,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of dollars",78901823,87111471,93748396,101224646,105556149,112770424,118726783,131351334,140973759,147660819,154785345,162718075,168259358,174617592,185743211,197541709,206461727,217680935,231025388,235546963,256456541
 "06000","California",8,CAGDP2,69,"61","   Educational services ","Thousands of dollars",10750880,11601882,12956288,14436040,14857454,16136138,16981380,19081010,21486920,23123212,24294285,25499783,26127847,27818231,28734655,30318580,31172256,33088333,35193502,32421503,34221150
 "06000","California",8,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",68150943,75509589,80792108,86788606,90698694,96634286,101745403,112270324,119486839,124537607,130491060,137218292,142131511,146799361,157008557,167223129,175289470,184592602,195831886,203125459,222235391
 "06000","California",8,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",55399592,59927476,64807462,69455928,70621685,75141566,76345306,78040423,75217430,77398463,81866519,87278864,91175722,100621146,109776238,118277290,124161216,130558684,139216328,102536749,137809403
 "06000","California",8,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",17791748,19519019,22777736,24085213,25021466,26163749,26439283,27526770,26977820,28121623,29854838,32638406,32970673,35387940,35569919,37835358,39295659,42297664,44989097,29178812,40923157
 "06000","California",8,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",37607844,40408457,42029725,45370715,45600219,48977817,49906023,50513654,48239610,49276840,52011681,54640458,58205049,65233206,74206318,80441932,84865557,88261020,94227231,73357937,96886246
 "06000","California",8,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",35609940,38423225,37663405,39625520,41531265,43600825,43885768,42858112,41589039,41626593,42325685,43951093,45050665,48152855,50259425,51279611,53570090,56108960,58048268,51226930,57713613
 "06000","California",8,CAGDP2,83,"...","Government and government enterprises ","Thousands of dollars",177229810,187546143,197011702,205556975,214774717,226230013,242448862,254563136,254303473,257631114,263196413,264570722,275202733,289470263,306082470,317494161,323067041,336456023,346386275,356137442,373598430
 "06000","California",8,CAGDP2,87,"11, 21","Natural resources and mining ","Thousands of dollars",24175543,24519765,28056741,34377074,37999976,42001920,49847423,51367426,42775419,46467441,52800003,55365480,57501804,58379454,47042720,44901216,48942127,48470585,44662402,44358554,50309449
 "06000","California",8,CAGDP2,88,"42, 44-45","Trade ","Thousands of dollars",175097403,179274865,188530492,199729679,214464888,228352898,231659873,224641247,208838960,220711986,234064980,242869972,257989317,272087578,291432859,288613795,299251232,309766618,324527996,323000269,367585901
 "06000","California",8,CAGDP2,89,"22, 48-49","Transportation and utilities ","Thousands of dollars",48406108,54038499,55821366,59649366,61413200,71256036,71117379,70818767,70620572,75123965,78106204,78060346,82711399,87406694,94365965,101330716,109497220,118435632,130003420,116858470,139179975
 "06000","California",8,CAGDP2,90,"31-33, 51","Manufacturing and information ","Thousands of dollars",270672355,263193120,282008277,301469917,328465576,349843400,370948851,392082490,363529849,374914494,378235254,392081280,434610005,457819260,499744027,529087221,585165144,630100433,658941697,666628721,756829388
 "06000","California",8,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",260645020,246708615,271877138,299237992,338861045,362410368,378274395,378389274,340704698,335753826,338135433,357510073,381568109,401970532,415770055,427531854,471825807,509086992,526551278,515578288,569701636
 "06000","California",8,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",937886461,984174805,1029029818,1083382416,1144924643,1223569603,1278178746,1311742934,1295157704,1360707738,1422168186,1491015645,1563619026,1643845697,1751703339,1824608005,1933850205,2051657647,2169756519,2148457628,2429940598
 "06001","Alameda, CA",8,CAGDP2,1,"...","All industry total ","Thousands of dollars",67417419,69148785,72558587,74962982,78323178,82698824,85877056,87239620,85090729,88407850,91283763,95749481,100521444,105936777,115791781,121053460,128977406,136322853,141817737,140614132,152982207
 "06001","Alameda, CA",8,CAGDP2,2,"..."," Private industries ","Thousands of dollars",58364684,59394880,62392873,64183177,67327081,71241929,74056295,75860373,73772821,76958060,79674719,83943516,87929283,92433004,101417071,105959194,113741095,120350151,125364489,123635691,135493771
 "06001","Alameda, CA",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),87305,85877,88831,93842,91992,107774,84091,91027,80598,109165
 "06001","Alameda, CA",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",67151,69718,61011,69973,55845,66209,62652,42179,47466,37016,46251,48579,49868,66437,58650,88974,132227,83565,63835,66506,70906
 "06001","Alameda, CA",8,CAGDP2,10,"22","  Utilities ","Thousands of dollars",173023,211761,204511,194061,193516,217087,219429,238851,245274,253054,268012,274123,472772,553981,660448,439552,465313,532919,528485,581135,556081
 "06001","Alameda, CA",8,CAGDP2,11,"23","  Construction ","Thousands of dollars",3375627,3252479,3590427,4006453,4425296,4580008,4805907,4402282,4250791,4373539,4193159,4059310,4421790,4598500,5266219,5874959,6609435,7386895,8044628,7384063,7672344
 "06001","Alameda, CA",8,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",9434955,9020370,9639320,9784877,10076643,10451684,10257566,10438154,10044196,10256031,10418811,11448156,11847786,12141029,13971710,14954159,17095350,17531826,18024606,19694354,21957113
 "06001","Alameda, CA",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",6658129,6457829,6934503,6927737,7310677,7385094,7229223,7190928,6728101,6831926,6825769,7077251,7472127,7868198,9369740,10524901,12803797,13251609,13601716,15099972,17414490
 "06001","Alameda, CA",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",2776826,2562541,2704817,2857140,2765966,3066590,3028343,3247226,3316095,3424105,3593041,4370905,4375660,4272831,4601970,4429258,4291553,4280217,4422890,4594382,4542622
 "06001","Alameda, CA",8,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",5291207,5120825,5285193,5523572,5976946,6508444,6826207,6882384,6234007,6655303,7305565,7419322,7641129,7961276,8593262,8478011,8821216,9220159,9597605,9317622,10571534
 "06001","Alameda, CA",8,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",4744514,4935449,4986730,5186714,5331782,5579234,5598219,5091563,4498814,4819595,4961783,5602427,5933752,6245834,6551085,6627623,6860196,7042744,7248259,7216548,8389620
 "06001","Alameda, CA",8,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2933175,2982159,3114454,3414702,3687407,3884528,4264921,4587364,4084241,4787672
 "06001","Alameda, CA",8,CAGDP2,45,"51","  Information ","Thousands of dollars",2813979,3123733,3948542,4177719,4015012,4382112,4926694,4960185,4510460,5385885,5292449,5568250,6154659,6183711,7258786,8352721,7962196,8842317,8851895,8738149,9158947
 "06001","Alameda, CA",8,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",11501204,12079884,12354767,12096099,13011422,13431204,13894596,14013830,14944520,14336334,14873986,15273417,16207296,18244540,19136417,19973661,22163046,23457391,24131623,24468538,25320291
 "06001","Alameda, CA",8,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",2572587,2873746,3264634,3091451,3474622,3749276,3463591,2892996,3257209,2305941,2500086,2601623,2666626,4348449,4758421,5018211,5975310,6040056,6353604,6614656,6712840
 "06001","Alameda, CA",8,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",8928617,9206138,9090133,9004648,9536800,9681928,10431005,11120834,11687311,12030394,12373900,12671794,13540670,13896091,14377997,14955450,16187736,17417336,17778019,17853881,18607451
 "06001","Alameda, CA",8,CAGDP2,59,"54, 55, 56","  Professional and business services ","Thousands of dollars",9959452,9902730,10193555,10911461,11474220,12281140,13577326,14971572,14086375,14710660,16022382,17163983,17559742,18008838,19707991,19608173,20883806,22302349,23425992,23787009,26247955
 "06001","Alameda, CA",8,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",5951163,6203396,6285273,6818455,7212671,7791949,8723568,10125156,9508538,9830723,10518469,11280648,11465145,12255555,13699406,13694206,14433843,15206181,15978238,16226852,18083274
