GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "08000","Colorado",7,CAGDP2,1,"...","All industry total ","Thousands of dollars",186695847,190019026,196126466,204167170,220783734,232646742,248446527,258871699,251227663,258300244,267516056,276823143,292140470,309542568,320721054,329911743,349156537,372212054,394534731,391263272,436359473
 "08000","Colorado",7,CAGDP2,2,"..."," Private industries ","Thousands of dollars",163214555,164800194,169911426,177095770,192397186,203598276,218655187,226922972,218306806,224364848,233316839,242101873,256474857,272288512,281258225,288912224,306312595,327325769,347670699,341994482,384203374
 "08000","Colorado",7,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",1838594,1517943,1574568,2056068,2098968,1959708,2473447,2156413,2022375,2260153,2768718,2546736,2647214,2688361,2743147,2576543,2326779,2401763,2386631,2435968,2795894
 "08000","Colorado",7,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",2746583,2655524,4309131,5701728,9505288,10951939,11283120,15833173,10650406,11681576,13364280,12405990,14127532,17623753,11663125,10067586,13694876,16374646,14614803,8584341,13475913
 "08000","Colorado",7,CAGDP2,10,"22","  Utilities ","Thousands of dollars",2339704,2240502,2478100,2795733,2872725,3442664,3083195,3319456,3292768,3881506,3989154,3779742,3729897,4043099,4055042,3958423,3904552,3920399,4521004,4961465,5565534
 "08000","Colorado",7,CAGDP2,11,"23","  Construction ","Thousands of dollars",12030739,11852305,11558651,12049601,13187130,13854894,14277236,13598567,11457711,9343700,9500160,10110602,12411328,14788087,16511765,18185682,19911028,21718672,23351969,23516859,24527876
 "08000","Colorado",7,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",14497859,14876893,14526177,15773740,16882405,18295125,19339268,19301697,19844234,20206513,20635277,20868699,21306337,22334044,23250497,22804916,22750765,24095380,25545965,25934034,28883176
 "08000","Colorado",7,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",9097386,9937779,9517732,10602633,10955773,12071011,12659456,11689989,10970061,12414853,12788013,13238242,13885040,13823811,14340282,14230689,14913092,15829307,16568995,16354558,17237164
 "08000","Colorado",7,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",5400473,4939114,5008445,5171107,5926632,6224114,6679812,7611709,8874172,7791660,7847264,7630457,7421297,8510233,8910215,8574227,7837672,8266073,8976970,9579476,11646011
 "08000","Colorado",7,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",10362707,10084753,10157040,10622312,11567028,12521362,13723770,14382530,13398974,14108883,14704011,15872015,16720844,17821531,18712537,18903364,19801519,20824420,22243682,22353730,25703178
 "08000","Colorado",7,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",11712320,11987098,12219667,12635396,13346408,13746791,14138599,13952634,13612708,13986119,14143424,14834237,15434164,16079152,17089815,18006134,18680233,19497842,20622272,21809877,24884775
 "08000","Colorado",7,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",4611551,4716290,5139130,5866130,6495785,5636430,6766356,6690912,6470847,6888994,6869677,7742649,10009160,11067929,12161687,11663916,12059202,13034473,13322235,10511980,12650263
 "08000","Colorado",7,CAGDP2,45,"51","  Information ","Thousands of dollars",17632505,16904621,16647791,16073372,16766474,17554451,19196755,19411361,18616395,18827860,18858377,17997884,19120392,18982532,18136206,18040510,18619177,20859280,23327747,25319026,27315025
 "08000","Colorado",7,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",40417518,41603781,42768299,41554700,43557899,45741661,49743176,49537508,50181396,51752996,54348399,56844419,58684502,59810480,63873599,67783530,71246092,75259073,80664755,83669751,89886299
 "08000","Colorado",7,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",11798985,11813123,12316540,11891953,13518153,13751894,14161640,11803180,13417217,13678535,13902080,15646361,15898169,16383837,17619343,19025010,19575338,21544836,22242984,24360462,26181343
 "08000","Colorado",7,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",28618533,29790658,30451759,29662748,30039747,31989767,35581536,37734328,36764179,38074461,40446319,41198058,42786332,43426642,46254256,48758521,51670754,53714237,58421771,59309289,63704956
