GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,1,"...","All industry total ","Thousands of dollars",41066333,42660972,44923889,47666623,48913190,50892964,52380351,54632062,57117940,58373869,59265924,60888139,62904717,65003207,67999433,70636823,73303531,75263447,81069226,79989294,88351922
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,2,"..."," Private industries ","Thousands of dollars",32744437,34262877,36283754,38679828,39644529,41442325,42367257,44075387,46194630,47056020,48106697,49694238,50728162,52893455,55694264,58246026,60484032,62300876,67900724,66840431,73477204
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",(D),(D),172274,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),183608,(D),(D),(D),(D),303796
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",68457,65695,78723,98242,101486,126008,127443,133309,144382,139120,116243,119466,103369,118290,114404,151031,171085,188415,210684,216798,(D)
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,10,"22","  Utilities ","Thousands of dollars",648435,588664,671661,671555,643625,896681,885039,935356,1050507,1356263,1760063,1651305,(D),1633085,1654810,1655474,1630111,1582325,1604181,1712646,(D)
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,11,"23","  Construction ","Thousands of dollars",(D),(D),1887355,2016680,2078359,2099366,2148292,2231985,2409172,2280880,2268229,2445366,2503200,2570924,2638268,2706259,2898375,2953706,3204540,3115528,3362529
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",3829648,3996830,3772724,4106108,(D),5089350,(D),4796646,(D),(D),(D),(D),5178423,5542286,6427623,6921976,8021150,7534350,9159298,9106808,10088790
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2803979,2798252,3079538,3246657,3338909,3337562,3400142,3394561,3674132
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2374444,2744034,3348086,3675319,4682241,4196788,5759157,5712248,6414657
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2914677,2981421,3200005,3010145,2942602,3019230,3096188,3025296,3404993
