GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "09000","Connecticut",1,CAGDP2,1,"...","All industry total ","Thousands of dollars",171216593,173248290,178702182,195354861,205214649,219768422,234540681,238936806,233290700,234699997,233158748,240911922,241517441,246596970,259487788,263670293,271443219,279922965,288536341,276223270,298395175
 "09000","Connecticut",1,CAGDP2,2,"..."," Private industries ","Thousands of dollars",154211373,155292579,160206076,175788004,184267242,198036743,211513116,214836495,209281154,210647550,208863743,216663938,216458009,220915326,232723263,236707784,243981110,252432821,261299888,248786438,269910965
 "09000","Connecticut",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",355184,323148,340056,385371,373327,360272,385688,388356,357048,379324,377894,412486,428759,354405,373822,317576,346136,320966,340718,284167,315932
 "09000","Connecticut",1,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",98095,99506,116731,114960,119898,151338,162334,124732,109501,153165,132117,156720,144108,167002,219070,269546,169040,174172,165662,190053,181699
 "09000","Connecticut",1,CAGDP2,10,"22","  Utilities ","Thousands of dollars",2730596,2530126,2760092,3121994,3647093,4041600,4320802,4685959,4925041,4606438,4340792,4787031,4847237,5219238,4733252,4316304,4314067,4516678,4715380,4797476,4880027
 "09000","Connecticut",1,CAGDP2,11,"23","  Construction ","Thousands of dollars",5827836,5628055,5941746,6790784,7455917,7995263,8342405,7518133,6978937,6493121,6399912,6648564,6538326,6614374,6956638,7184660,7192074,7353406,7624828,7359442,7795963
 "09000","Connecticut",1,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",23664639,25956745,26306834,30839425,31579229,37583316,38643368,38793107,28804437,29175600,28437448,29076696,30332720,29340743,29986473,27730151,29134178,32599762,34819664,31831271,34875703
 "09000","Connecticut",1,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",15053624,13770816,14707234,14820898,15729262,16874568,17244388,17757540,17834757,19889010,19474593,20533435,21167055,20414827,21082802,19845982,20912346,23843423,26107146,23056938,25267157
 "09000","Connecticut",1,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",8611014,12185930,11599601,16018526,15849967,20708748,21398980,21035567,10969680,9286590,8962855,8543262,9165666,8925916,8903671,7884168,8221832,8756339,8712519,8774333,9608545
 "09000","Connecticut",1,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",9080645,8865370,9302592,9956206,11089633,12181873,12892514,13808702,13329615,14319373,14800009,16019820,15870670,15587114,15810068,14997461,14524373,14615821,14634908,14531554,16675264
 "09000","Connecticut",1,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",10845192,11062469,11484210,11605635,11962817,11746346,11717140,11440816,11258833,11361198,11747639,12487155,12726638,12929440,13208997,13239510,13389441,13668442,14107013,14108465,16095346
 "09000","Connecticut",1,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",2718638,2746781,3001059,3237948,3430443,3638034,4143386,4077098,3830843,3703228,3792240,3898296,3992576,4394645,5565608,5402699,5354979,5306969,5497595,5218937,6024672
 "09000","Connecticut",1,CAGDP2,45,"51","  Information ","Thousands of dollars",6609661,6916582,7253464,7872523,8600138,8998753,10247319,10803994,10561697,10561609,10471018,10119011,11780989,11701856,13450362,14334905,14118266,14860305,16081770,15740081,16830893
 "09000","Connecticut",1,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",48923808,46663452,47261472,53203222,55486386,58186908,64169038,63387413,69792052,69304600,66287666,66973444,63032970,65545980,71250758,75799124,80948716,82288324,83715425,79835492,83887573
 "09000","Connecticut",1,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",26173797,23889260,24949695,29316677,30495416,33783022,37314196,30174037,35258377,34028416,31575888,33721741,30292912,32196601,37800948,41024808,45730706,44055483,44087967,40984756,44281229
 "09000","Connecticut",1,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",22750011,22774192,22311777,23886545,24990970,24403887,26854841,33213376,34533675,35276184,34711779,33251702,32740057,33349379,33449810,34774316,35218010,38232841,39627458,38850736,39606345
 "09000","Connecticut",1,CAGDP2,59,"54, 55, 56","  Professional and business services ","Thousands of dollars",20677650,20283793,21164262,22016654,22869531,24117643,26469156,27807555,25701357,26056711,26704723,28776540,29092151,30731786,31786278,32297686,32653752,33455123,34202928,32708762,35265984
 "09000","Connecticut",1,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",12358708,12372553,12618993,12970476,13288659,13744312,14685999,16198764,15061692,15077810,15486300,15956101,15984959,17016874,17699274,18163147,18588004,19149128,19669966,18869004,20469182
 "09000","Connecticut",1,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",4197304,3774232,4194891,4404662,4482564,4949702,5663551,5326490,5242834,5299167,5454049,6436098,6651709,6902922,7044107,7094807,6632149,6773902,6952291,6457703,6422086
 "09000","Connecticut",1,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",4121638,4137008,4350378,4641516,5098308,5423628,6119607,6282301,5396831,5679734,5764374,6384341,6455483,6811991,7042897,7039731,7433599,7532093,7580671,7382055,8374716
 "09000","Connecticut",1,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of dollars",13976515,14913065,15793644,16755472,17339076,18353115,19332110,21253131,22618873,23329197,23855279,24892531,25270501,25936635,26282499,27136108,27695255,28703084,30087551,29975943,31734747
 "09000","Connecticut",1,CAGDP2,69,"61","   Educational services ","Thousands of dollars",2541215,2672691,2960336,3227769,3259956,3501562,3756625,4215822,4784980,5034377,5165811,5398069,5511953,5764876,5845288,6076252,6151679,6394390,6797534,6505590,6907920
 "09000","Connecticut",1,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",11435300,12240374,12833308,13527703,14079121,14851553,15575485,17037309,17833893,18294820,18689468,19494461,19758548,20171759,20437211,21059856,21543576,22308694,23290017,23470353,24826828
 "09000","Connecticut",1,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",4977657,5314253,5534494,5762521,5911601,6100377,6066701,6341680,6660694,6896262,7200098,7915385,7848061,7625819,8214217,8761607,9143411,9314849,9907113,7362810,9928081
 "09000","Connecticut",1,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",1602079,1687224,1860591,1985037,2052373,2095208,2018329,2072338,2212809,2184995,2273735,2574065,2475710,2508537,2377040,2486480,2457398,2563630,2525013,1843622,2757690
 "09000","Connecticut",1,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",3375578,3627029,3673902,3777485,3859228,4005169,4048372,4269342,4447886,4711266,4926363,5341321,5372351,5117282,5837177,6275127,6686013,6751218,7382099,5519188,7170392
 "09000","Connecticut",1,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",3725257,3989233,3945419,4125290,4402152,4581905,4621155,4405820,4352226,4307724,4316907,4500258,4552304,4766290,4885222,4920450,4997424,5254920,5399333,4841984,5419082
 "09000","Connecticut",1,CAGDP2,83,"...","Government and government enterprises ","Thousands of dollars",17005221,17955711,18496107,19566857,20947407,21731679,23027565,24100312,24009546,24052447,24295004,24247984,25059432,25681644,26764525,26962509,27462109,27490144,27236453,27436832,28484210
 "09000","Connecticut",1,CAGDP2,87,"11, 21","Natural resources and mining ","Thousands of dollars",453279,422654,456787,500331,493225,511610,548022,513087,466549,532489,510011,569206,572867,521407,592891,587121,515175,495138,506380,474220,497630
 "09000","Connecticut",1,CAGDP2,88,"42, 44-45","Trade ","Thousands of dollars",19925837,19927840,20786802,21561841,23052450,23928219,24609654,25249518,24588448,25680571,26547648,28506974,28597308,28516554,29019066,28236971,27913814,28284263,28741920,28640019,32770611
 "09000","Connecticut",1,CAGDP2,89,"22, 48-49","Transportation and utilities ","Thousands of dollars",5449234,5276906,5761152,6359941,7077536,7679633,8464187,8763057,8755884,8309667,8133032,8685327,8839813,9613883,10298859,9719003,9669046,9823647,10212976,10016413,10904698
 "09000","Connecticut",1,CAGDP2,90,"31-33, 51","Manufacturing and information ","Thousands of dollars",30274299,32873328,33560298,38711947,40179367,46582068,48890688,49597100,39366134,39737209,38908465,39195708,42113709,41042599,43436835,42065055,43252444,47460067,50901434,47571352,51706596
