GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "10000","Delaware",2,CAGDP2,1,"...","All industry total ","Thousands of dollars",46096120,45508278,47686148,51353721,52153493,55174353,56612816,55459802,57849661,58163500,61372235,62354607,61716176,68354717,71913928,69354956,68302544,72168346,76923671,75818588,81160011
 "10000","Delaware",2,CAGDP2,2,"..."," Private industries ","Thousands of dollars",42164778,41150666,43190257,46661794,47065961,50018670,51055908,49622199,51707157,52023328,55084847,56022986,55327644,61994989,65356372,62662774,61250531,64708492,69360161,68029018,72964796
 "10000","Delaware",2,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",287219,168247,268393,399974,416797,329836,342322,332196,394977,376211,366808,414421,577036,636246,479991,424918,596128,605288,504231,384951,565859
 "10000","Delaware",2,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",10313,9061,5089,4857,1786,1371,458,770,707,1292,98,460,2836,3059,3494,3594,4298,6111,6072,6382,7576
 "10000","Delaware",2,CAGDP2,10,"22","  Utilities ","Thousands of dollars",578474,611255,606980,656160,633308,812997,837597,823297,879474,959953,921056,873085,885009,1022733,1042179,1048907,1050092,1026102,1055509,1135700,1259575
 "10000","Delaware",2,CAGDP2,11,"23","  Construction ","Thousands of dollars",1620321,1664474,1753710,2107056,2350713,2500116,2327089,2252647,1847229,1591180,1711222,1731916,1825871,2011927,2248368,2358103,2485490,2594262,2830403,2848742,3009640
 "10000","Delaware",2,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",4184152,3354886,3497790,4641866,4566229,4910258,5310207,4480732,4405964,4127059,4181508,3838841,3942838,4037568,4916920,3965353,4650731,4976505,5545203,5217967,5600140
 "10000","Delaware",2,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",1125244,1011190,1001790,1208066,1233652,1326475,1464111,1448544,1294197,1371839,1254386,1444452,1290571,1257165,1419287,1324748,1433566,1495363,1514296,1493612,1508780
 "10000","Delaware",2,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",3058908,2343696,2496000,3433800,3332577,3583783,3846096,3032188,3111767,2755220,2927122,2394389,2652268,2780403,3497633,2640606,3217165,3481142,4030907,3724354,4091360
 "10000","Delaware",2,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",1406458,1441316,1699833,1914994,2018818,2322798,2285690,2279235,2138155,2214225,2275742,2296755,2238476,2269136,2169266,2164962,1871041,1955694,2077582,2119579,2431367
 "10000","Delaware",2,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",1891613,2005629,2149084,2294450,2390579,2459300,2471562,2367764,2311210,2353253,2405175,2479455,2568187,2570092,2624032,2701077,2738202,2813254,2897497,2916416,3416829
 "10000","Delaware",2,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",636108,627057,641472,748218,751510,796605,785523,802344,775659,790216,831272,893764,969656,1042983,1130095,1124839,1143173,1191143,1337022,1307457,1523638
