GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "15000","Hawaii",8,CAGDP2,1,"...","All industry total ","Thousands of dollars",42585438,44644209,48166066,52353536,57369403,60846471,64163624,65678197,64549727,66872949,69083856,71905294,74554946,76773293,81230289,83914356,87217413,90330823,91912711,82535506,91096121
 "15000","Hawaii",8,CAGDP2,2,"..."," Private industries ","Thousands of dollars",33646637,34937037,37677019,41065159,45349886,48076883,50799119,51514479,49951426,51746029,53292930,55798289,58371253,59917465,63948004,66129939,69269125,72375440,73714441,63977928,71641305
 "15000","Hawaii",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",351925,378880,410258,423933,423947,438164,417128,424928,452153,473859,552504,532936,515785,465930,479947,423568,472147,415244,362310,326955,322491
 "15000","Hawaii",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",38850,34039,38510,41944,41820,63913,93184,98307,103525,87117,70005,70391,62891,60155,59858,63947,60029,77594,69871,72440,88701
 "15000","Hawaii",8,CAGDP2,10,"22","  Utilities ","Thousands of dollars",897548,826200,910328,1028506,1053580,1252561,1286098,1451043,1424958,1693894,1972772,2048313,2053147,2084716,1863565,1794828,1831946,1866549,1859474,1797830,1968849
 "15000","Hawaii",8,CAGDP2,11,"23","  Construction ","Thousands of dollars",2064706,2260512,2623864,3021842,3833186,4207946,4738383,4634128,4192312,3687604,3546221,3649052,3673932,3891112,4512466,5038933,5025795,5020148,5323780,5236817,5278633
 "15000","Hawaii",8,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",927560,979562,1084167,1059279,1141847,1185300,1204299,1372514,1326375,1262431,1358078,1432587,1546039,1670972,1667348,1598741,1666468,1790505,1505923,1309415,1677617
 "15000","Hawaii",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",238309,238157,229099,234388,293457,320737,349740,352056,338304,326288,353453,327188,368008,350471,361155,414170,447756,453145,468348,423617,483366
 "15000","Hawaii",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",689251,741405,855068,824891,848390,864563,854559,1020459,988071,936143,1004625,1105399,1178031,1320500,1306193,1184571,1218712,1337360,1037574,885798,1194251
 "15000","Hawaii",8,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",1584452,1626354,1729840,1825404,1943022,1982910,2096071,2185597,2064206,2137761,2233359,2337622,2457652,2536813,2692635,2685499,2812436,2844309,3004468,2780637,3163275
 "15000","Hawaii",8,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",3420374,3466789,3825734,4113835,4426905,4567929,4598944,4473597,4308851,4482773,4819932,5105421,5267534,5303270,5480755,5475437,5722501,6025613,6218310,5543651,6133414
 "15000","Hawaii",8,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",1840392,1860412,2040329,2377551,2719897,2998833,2960476,2709212,2717600,3176274,3130741,3409968,3619665,3748508,4233803,4569943,4904327,4906885,5497392,2865555,3411210
 "15000","Hawaii",8,CAGDP2,45,"51","  Information ","Thousands of dollars",1150844,1262413,1230785,1496225,1551800,1696200,1843603,1759131,1748808,1940164,1594037,1543996,1704642,1654870,1826285,1853974,1970364,2206519,2007715,1835546,2215040
 "15000","Hawaii",8,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",8762796,8727844,9330761,9923068,11565876,11931483,13279933,13708710,13611012,14203858,14434394,14948844,15674337,16172499,17583107,18180598,18821234,19366054,19258762,19017943,20046820
 "15000","Hawaii",8,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",1675991,1852592,1918401,2089226,2217978,2242175,2330976,2230454,2153209,2171660,2450664,2520021,2292646,2667649,2888475,2925848,3099303,3393769,3516471,3668892,4084912
 "15000","Hawaii",8,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",7086805,6875251,7412360,7833842,9347898,9689308,10948957,11478255,11457803,12032198,11983730,12428823,13381690,13504850,14694632,15254750,15721931,15972286,15742291,15349051,15961908
 "15000","Hawaii",8,CAGDP2,59,"54, 55, 56","  Professional and business services ","Thousands of dollars",3560642,4008277,4349271,4764863,4916053,5290937,5552774,5885079,5678681,5935202,6244898,6515978,6779909,7006426,7250036,7451982,7824952,8114899,7814060,7259756,7902072
 "15000","Hawaii",8,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",1775016,2007362,2133312,2260295,2456337,2670903,2836448,3083714,2972149,2982851,3122280,3190444,3221739,3303038,3419284,3470032,3668966,3800817,3860299,3683586,4102636
 "15000","Hawaii",8,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",495335,584762,626272,821023,740699,744759,772275,760620,717818,750046,793749,887049,984794,991002,1022571,1064240,1100261,1139090,1196334,1096441,1135416
 "15000","Hawaii",8,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",1290291,1416153,1589686,1683545,1719017,1875275,1944051,2040745,1988713,2202305,2328870,2438485,2573377,2712385,2808182,2917710,3055725,3174993,2757426,2479729,2664020
 "15000","Hawaii",8,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of dollars",3141228,3277937,3538780,3796421,4028228,4233831,4431152,4854236,5162769,5283999,5471050,5638665,5837761,6004621,6316088,6631430,6943156,7261413,7640825,7700369,8150263
 "15000","Hawaii",8,CAGDP2,69,"61","   Educational services ","Thousands of dollars",468428,475765,541128,592822,615469,650590,684389,768439,844382,872466,895072,932872,927058,927898,907832,957623,972013,1003548,1031733,929676,1030863
 "15000","Hawaii",8,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",2672800,2802172,2997653,3203599,3412759,3583241,3746764,4085797,4318387,4411533,4575977,4705793,4910703,5076723,5408256,5673807,5971143,6257865,6609092,6770693,7119400
 "15000","Hawaii",8,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",4641122,4877811,5222798,5802157,6225637,6637224,6695005,6353096,5614124,5806651,6253522,6916103,7485749,7545774,8142070,8452448,9226898,10373940,10958832,6297976,9140371
 "15000","Hawaii",8,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",529818,559010,586028,594055,599619,611668,680671,757443,770141,712863,699985,767157,898741,946039,944972,914988,1030431,1121614,1209240,722108,1006991
 "15000","Hawaii",8,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",4111304,4318800,4636770,5208102,5626018,6025556,6014334,5595653,4843983,5093788,5553538,6148947,6587008,6599735,7197098,7537460,8196467,9252327,9749592,5575868,8133380
 "15000","Hawaii",8,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",1264199,1350010,1341593,1390130,1478089,1589649,1602069,1604902,1546052,1574442,1611416,1648413,1692209,1771800,1840041,1908611,1986872,2105765,2192720,1933036,2142548
 "15000","Hawaii",8,CAGDP2,83,"...","Government and government enterprises ","Thousands of dollars",8938801,9707171,10489047,11288378,12019517,12769588,13364505,14163718,14598301,15126920,15790926,16107005,16183694,16855828,17282285,17784417,17948288,17955383,18198270,18557578,19454816
 "15000","Hawaii",8,CAGDP2,87,"11, 21","Natural resources and mining ","Thousands of dollars",390774,412919,448769,465878,465766,502078,510312,523234,555678,560976,622509,603327,578675,526085,539805,487516,532176,492838,432181,399396,411192
 "15000","Hawaii",8,CAGDP2,88,"42, 44-45","Trade ","Thousands of dollars",5004826,5093143,5555574,5939239,6369927,6550840,6695015,6659194,6373057,6620534,7053292,7443043,7725186,7840083,8173390,8160937,8534938,8869923,9222779,8324288,9296689
