GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "16000","Idaho",7,CAGDP2,1,"...","All industry total ","Thousands of dollars",37489012,38673215,40490605,44327929,48642807,51125785,53934530,56200787,54064056,55587554,56941101,58323936,61835778,64575195,65899926,68837424,71730341,77395407,82847231,85927756,96282794
 "16000","Idaho",7,CAGDP2,2,"..."," Private industries ","Thousands of dollars",31914412,32817012,34358944,37790598,41724938,43831845,46373226,48334766,46062892,47594494,48962979,50132954,53452678,56057670,56908296,59575279,62026871,67175949,72242594,74907381,84786685
 "16000","Idaho",7,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",1933777,1965511,1809492,2540865,2227436,2297651,2925516,2948295,2176203,2617712,3404873,3427765,3780535,3951029,3572498,3441070,3209011,3505320,3595066,3494059,3523966
 "16000","Idaho",7,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",149761,152058,178219,209308,587985,543058,570638,911229,865769,1213085,1302749,730973,1090224,1461604,889919,1028173,550770,570700,468745,684487,1077781
 "16000","Idaho",7,CAGDP2,10,"22","  Utilities ","Thousands of dollars",576406,635493,581031,635919,601416,716833,723434,826270,976332,1174545,1209287,1241696,1320163,1315233,1304137,1327956,1374602,1315425,1358776,1442967,1589588
 "16000","Idaho",7,CAGDP2,11,"23","  Construction ","Thousands of dollars",2277173,2175201,2321011,2567772,3124015,3702018,4101765,3457913,2805992,2436420,2356171,2525896,2886260,3103849,3267899,3447650,3661790,3851831,4377578,4797580,5352108
 "16000","Idaho",7,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",5494589,5266570,5578720,6048563,6874748,5786648,5540523,6400679,6388510,6689390,6722501,7003225,6989389,7246660,7075175,7329125,7584203,8509490,8904201,8976458,9667773
 "16000","Idaho",7,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",3537002,3621675,3999346,4606519,5427906,4110133,3677037,4296211,4152469,4542454,4371234,4373082,4379271,4638578,4107388,4476343,4487825,5146568,5092200,4894679,5344160
 "16000","Idaho",7,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",1957588,1644895,1579375,1442044,1446842,1676515,1863486,2104468,2236041,2146936,2351268,2630142,2610118,2608082,2967786,2852782,3096378,3362922,3812001,4081779,4323613
 "16000","Idaho",7,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",2003041,2012618,2133444,2357699,2603957,2821359,3040973,3086579,2923999,3076975,3188584,3409841,3749225,3965568,4211554,4532505,4738687,5100772,5555354,5778259,6861189
 "16000","Idaho",7,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",3119906,3287739,3542912,3730502,4133913,4524292,4645307,4786073,4335953,4337779,4271695,4486035,4845651,5020167,5339680,5593158,5848883,6112017,6791379,7181160,8493935
 "16000","Idaho",7,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",1028495,1041105,1099457,1202187,1320919,1441907,1450887,1527433,1420930,1501426,1558571,1677296,1701248,1802463,1939607,1963298,2099926,2267711,2351552,2259127,2764553
 "16000","Idaho",7,CAGDP2,45,"51","  Information ","Thousands of dollars",778284,859400,920280,1175956,1186160,1233408,1329336,1483151,1423661,1414674,1390461,1357022,1468191,1419188,1491345,1517739,1565487,1558568,1724166,1611875,1960041
 "16000","Idaho",7,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",6073967,6364270,6757321,7237296,8473632,9066600,9849073,10151053,9898389,9888744,10035743,10558226,11248380,11753888,11776297,12271282,12999703,14420463,15385730,16450407,17993181
 "16000","Idaho",7,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",1498100,1619409,1689170,1902029,2142059,2436556,2584508,2318986,2122634,2092091,2238861,2404285,2439613,2749624,2888240,3023820,3285771,3706666,3911372,4599785,5136871
 "16000","Idaho",7,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",4575868,4744861,5068151,5335267,6331573,6630044,7264565,7832067,7775754,7796653,7796882,8153942,8808767,9004263,8888057,9247462,9713932,10713797,11474358,11850622,12856310
 "16000","Idaho",7,CAGDP2,59,"54, 55, 56","  Professional and business services ","Thousands of dollars",3941707,4140243,4301517,4606240,4858633,5447278,5527270,5686830,5558869,5649353,5730636,5673458,5827789,6060838,6336428,6669829,7366694,8112914,8878209,9789576,11105539
 "16000","Idaho",7,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",2092164,2225640,2309890,2439465,2548783,2808208,2908041,3138125,3118736,3229282,3296787,3164429,3231575,3401697,3656792,3706935,3921277,4301591,4804049,5310583,6134449
 "16000","Idaho",7,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",725639,684769,681486,741424,736235,934175,902549,782586,741543,678543,698402,721261,659509,590109,588210,589223,686663,862490,973337,1052440,1158331
 "16000","Idaho",7,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",1123903,1229833,1310140,1425352,1573616,1704895,1716681,1766119,1698590,1741528,1735446,1787769,1936705,2069032,2091426,2373670,2758754,2948832,3100823,3426553,3812760
 "16000","Idaho",7,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of dollars",2539476,2766026,2968254,3212229,3320234,3620178,3879035,4258068,4585681,4796716,5001481,5110051,5469780,5668019,6104116,6455649,6633369,7095984,7783193,7798485,8621354
 "16000","Idaho",7,CAGDP2,69,"61","   Educational services ","Thousands of dollars",213105,235810,273337,301135,310506,331035,353586,384551,429499,459823,479760,498325,509144,521084,558030,566607,586564,643290,727975,727925,790946
 "16000","Idaho",7,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",2326370,2530216,2694917,2911095,3009728,3289143,3525449,3873517,4156182,4336893,4521722,4611726,4960636,5146935,5546086,5889042,6046805,6452694,7055218,7070560,7830407
 "16000","Idaho",7,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",1166596,1265502,1294903,1339182,1430567,1571426,1695333,1721369,1635610,1729446,1730242,1841043,1940016,2081199,2324752,2651398,2950377,3198714,3392389,2954039,3878627
 "16000","Idaho",7,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",238932,274158,253814,259366,273969,309233,352210,347745,328056,371425,353771,375397,390827,414290,429537,504489,569191,643455,695385,536349,724359
 "16000","Idaho",7,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",927664,991343,1041089,1079816,1156598,1262193,1343124,1373624,1307555,1358022,1376471,1465646,1549189,1666910,1895215,2146909,2381186,2555259,2697004,2417690,3154268
 "16000","Idaho",7,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",831234,885275,872381,926880,981323,1059189,1094137,1089823,1066994,1068229,1059986,1090425,1135826,1207966,1274889,1346446,1443369,1556041,1676258,1688903,1897051
 "16000","Idaho",7,CAGDP2,83,"...","Government and government enterprises ","Thousands of dollars",5574600,5856203,6131661,6537331,6917869,7293940,7561304,7866021,8001165,7993060,7978122,8190983,8383100,8517525,8991630,9262146,9703470,10219458,10604638,11020375,11496109
 "16000","Idaho",7,CAGDP2,87,"11, 21","Natural resources and mining ","Thousands of dollars",2083537,2117569,1987711,2750172,2815421,2840710,3496153,3859524,3041972,3830797,4707622,4158737,4870759,5412633,4462416,4469243,3759782,4076020,4063810,4178546,4601747
 "16000","Idaho",7,CAGDP2,88,"42, 44-45","Trade ","Thousands of dollars",5122947,5300358,5676357,6088200,6737870,7345651,7686281,7872652,7259952,7414753,7460279,7895877,8594877,8985735,9551234,10125663,10587570,11212788,12346733,12959418,15355124
 "16000","Idaho",7,CAGDP2,89,"22, 48-49","Transportation and utilities ","Thousands of dollars",1604901,1676598,1680487,1838106,1922335,2158740,2174321,2353703,2397262,2675971,2767858,2918993,3021411,3117696,3243744,3291254,3474528,3583135,3710327,3702094,4354141
 "16000","Idaho",7,CAGDP2,90,"31-33, 51","Manufacturing and information ","Thousands of dollars",6272873,6125970,6499001,7224519,8060909,7020056,6869859,7883831,7812171,8104064,8112962,8360247,8457580,8665848,8566520,8846864,9149690,10068058,10628367,10588333,11627814
 "16000","Idaho",7,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",9855300,9559340,9887443,11366507,12814184,12329376,13138441,13718116,12236474,12956607,13786294,13687858,14746408,15763142,14805490,15246018,15005774,16437341,17345589,17952583,19621628
 "16000","Idaho",7,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",22059112,23257672,24471501,26424090,28910754,31502470,33234786,34616650,33826418,34637886,35176685,36445096,38706270,40294529,42102806,44329260,47021097,50738608,54897005,56954798,65165057
 "16001","Ada, ID",7,CAGDP2,1,"...","All industry total ","Thousands of dollars",13179836,13603905,14536315,15949716,17938944,18025496,18414426,19267615,18790846,18893662,19047141,19329339,20575488,21930385,22577726,23932244,25102424,27554713,29253305,30238994,34164131
 "16001","Ada, ID",7,CAGDP2,2,"..."," Private industries ","Thousands of dollars",11594180,11969143,12831018,14082378,15942552,15911344,16179395,16888347,16355764,16515063,16674841,16850288,18009075,19322333,19807566,21087267,22035692,24302738,25847906,26655223,30438086
 "16001","Ada, ID",7,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",65222,50625,51731,80790,80545,48147,58864,79203,35379,100454,108180,93382,93104,107200,94431,84426,81621,90266,83869,96390,92937
