GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "17000","Illinois",3,CAGDP2,1,"...","All industry total ","Thousands of dollars",501552777,514361074,533022459,563060841,589811850,624242936,650145155,654657495,649862738,666404845,692880814,726399102,741121510,771356117,799930468,807043206,824913388,865661045,889540088,856942875,945673819
 "17000","Illinois",3,CAGDP2,2,"..."," Private industries ","Thousands of dollars",449295245,458727083,475358109,502790381,527232554,559198236,583572968,585815597,578872716,591795399,618710371,651576933,663556670,692863055,720638981,727841573,743551055,782778112,804262061,770307177,855476578
 "17000","Illinois",3,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",2084251,2468186,3353233,4970710,2493195,3554174,5032046,6583458,4781375,4791358,7744025,5894064,10838508,7680831,4343162,5769392,5830203,6385113,4566628,5853674,10277527
 "17000","Illinois",3,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1249271,1202777,1251290,1362070,1636583,1867673,2043123,2047537,2069740,2037269,2100499,2334678,2339724,2298857,2195664,1742901,1965821,2129880,1795260,1452318,1227436
 "17000","Illinois",3,CAGDP2,10,"22","  Utilities ","Thousands of dollars",9995878,9458916,9272234,10224134,10099987,10651673,10480617,11148748,11296043,12304463,12773467,12140693,12206853,13292420,13186535,13115181,13564667,14137105,14929691,15424774,17056766
 "17000","Illinois",3,CAGDP2,11,"23","  Construction ","Thousands of dollars",23138342,23723275,25202234,27093480,29155378,30271053,30580642,28542736,23247285,21733589,21243226,20342405,23208154,24938936,27205813,27967174,29203662,28905913,30170328,29101957,30627931
 "17000","Illinois",3,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",74170128,70519595,73570054,77899569,80170177,82710478,85193805,80757080,82853944,86084963,94499911,103715200,97489122,101148035,101264828,98886739,102139045,111448796,111315357,102947196,114728922
 "17000","Illinois",3,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",40092327,38783270,39444171,43069841,44945300,47784144,49044563,48007572,42408048,46417967,50422030,54986316,52163607,51472539,50691439,49665987,50068855,53161661,54669190,50438797,53359751
 "17000","Illinois",3,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",34077800,31736325,34125883,34829728,35224877,34926334,36149242,32749509,40445896,39666996,44077881,48728884,45325515,49675497,50573389,49220752,52070190,58287135,56646166,52508399,61369171
 "17000","Illinois",3,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",34734925,34460860,35185154,37645023,41025773,44003354,46972434,49215321,46380531,49340988,52720319,56909457,58740133,60632661,63400751,62381132,63608141,65291881,68008626,67748404,77196029
