GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "18000","Indiana",3,CAGDP2,1,"...","All industry total ","Thousands of dollars",205470947,212837756,225442711,239743595,248170475,259602785,273509517,275538678,263326786,282562151,291356090,300513880,312138454,327958286,331945667,340500707,352601027,373196804,381132281,373781577,412975161
 "18000","Indiana",3,CAGDP2,2,"..."," Private industries ","Thousands of dollars",185308416,191959163,203556556,216729579,224148210,231417057,247722861,248430125,235541034,254553466,263251529,272337122,284171864,297415528,300699405,308319163,318855545,337730480,345006653,336341545,374428122
 "18000","Indiana",3,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",2049300,1875300,2547209,3309015,2166260,2458992,3174913,4008570,3104393,3256886,4654247,4102847,7280121,5367039,3707671,3696722,3871164,3953020,2976670,4193370,6296163
 "18000","Indiana",3,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",831012,815063,854834,823746,908989,1052334,1175333,1232975,1357765,1523159,1712651,1684623,1754943,1595089,1339304,1279001,1496431,1439231,1189015,1027471,878834
 "18000","Indiana",3,CAGDP2,10,"22","  Utilities ","Thousands of dollars",3956573,3790982,3851983,4202804,4346119,4903629,4713056,5058826,5562420,6195987,6363747,6372432,6595993,6855940,6607392,6741931,6648900,6693750,7063349,6990993,7931629
 "18000","Indiana",3,CAGDP2,11,"23","  Construction ","Thousands of dollars",9370852,9291980,9890985,10678443,11296824,11508590,12206577,11503264,9822988,9487907,10353438,11941050,11883372,11927626,12535015,13556294,15001613,15890346,17081829,17378648,18411087
 "18000","Indiana",3,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",57754701,62011084,65655794,70106593,68996360,69066427,79708015,79484214,68899686,81725673,83340735,82808012,88195595,93383954,90316252,91450627,93843994,100335867,99540382,92081150,104734093
 "18000","Indiana",3,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",36384004,39519109,42484695,43616725,43757522,43268109,48106444,43428137,31899331,45117351,44099063,45902815,47566372,49258745,53108825,54067147,55220430,58526732,58825221,53757432,62846090
 "18000","Indiana",3,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",21370697,22491975,23171099,26489868,25238838,25798319,31601572,36056077,37000355,36608322,39241672,36905197,40629223,44125209,37207428,37383480,38623564,41809135,40715160,38323718,41888002
 "18000","Indiana",3,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",11147296,11308528,11619145,12348969,13392911,14194215,14778271,15480673,14416269,15454639,16406139,17380966,18029836,18607434,19464691,19251208,19656919,21253462,21985544,22023079,24915763
