GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,1,"...","All industry total ","Thousands of dollars",129566577,134974969,145603475,156113644,168863689,180280452,183951222,180523223,174409888,181511595,183561224,193903242,201838331,208450046,220982767,229088661,242093671,254273371,266005588,261970268,288519549
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,2,"..."," Private industries ","Thousands of dollars",119320983,124049116,134144241,144311978,156595304,167342221,169995932,165894406,160041238,167122756,169017946,179233583,186473457,192318270,203758085,210925027,223870223,235371418,246708662,242084149,267751104
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",161064,179360,190078,216839,304356,367693,249394,357356,275873,184474,194991,179400,118303,116784,120137,113206,98126,102313,96267,100000,114728
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",95766,100571,110431,145969,187128,241191,262731,322546,245356,248369,293718,302647,280624,325173,195489,177108,226958,175213,148406,117595,179152
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,10,"22","  Utilities ","Thousands of dollars",823899,848890,796795,551425,715305,861193,796098,686233,608224,686968,821213,829635,879926,920026,966780,902728,1473541,2092478,1956096,2039092,2536427
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,11,"23","  Construction ","Thousands of dollars",6920103,7142625,8773643,11576471,13245966,14769952,12458371,8897893,7725443,8634966,6014359,8716366,9521500,9681471,10655414,11703281,12643981,13207778,13437613,12526355,13172887
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",17106656,16338652,17932111,18820353,19998572,21391015,21463330,21363852,20980973,20974737,21065656,21944084,23215398,24158266,25421366,26749900,30356406,32461388,33351106,32201438,34181637
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",12039911,11642456,12752865,13166134,14509329,15469269,15858998,15664886,15363309,15270876,15577903,16095089,17031417,18243583,19292021,20681975,24375472,26292222,26962478,26002452,27509650
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",5066745,4696196,5179246,5654218,5489243,5921746,5604332,5698966,5617664,5703862,5487753,5848996,6183981,5914683,6129345,6067924,5980934,6169166,6388628,6198986,6671987
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",12453690,12496313,13342737,13987425,15079834,16046528,17148478,17363746,15828819,16795496,18130534,17751997,18678032,20306615,22329329,22178739,23398727,24137115,25296575,24186171,27661665
