GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "24000","Maryland",2,CAGDP2,1,"...","All industry total ","Thousands of dollars",205981023,217837095,228959348,245124547,262100044,274145308,282965582,295400197,299102709,314728307,326281229,332523489,340577621,352761345,369728056,387733401,400156999,410812185,420371307,410931043,443929939
 "24000","Maryland",2,CAGDP2,2,"..."," Private industries ","Thousands of dollars",165938549,174000607,182879182,196885690,210818354,219947988,225909576,235346257,236334617,248475639,256995123,262556036,269064556,278806433,293284610,309697584,319723005,328258506,335793306,322151721,351173364
 "24000","Maryland",2,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",712716,541907,622478,877929,790198,778122,784239,852738,831732,796803,943784,1037943,1245866,1100791,938348,860530,1036800,898492,940699,671882,1148658
 "24000","Maryland",2,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",185989,192971,205002,252172,302791,367068,392982,351545,198349,386250,316606,292545,243138,237627,251933,224393,262505,242461,297739,264147,247382
 "24000","Maryland",2,CAGDP2,10,"22","  Utilities ","Thousands of dollars",3088494,2935346,3284202,3916556,3677354,4410646,5330594,5233998,5715535,6762033,6780306,6110791,6009715,6221545,6726315,6865710,7291019,7410681,7110739,6692636,7471099
 "24000","Maryland",2,CAGDP2,11,"23","  Construction ","Thousands of dollars",11690413,11946924,12614217,14370721,15368279,16084833,16281890,15486454,14104450,13217650,13530777,14168480,15124694,16743906,18403550,20926994,23171058,23574637,24614417,24300303,24940812
 "24000","Maryland",2,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",14855520,15433688,14464749,15258371,14941294,15923232,16877381,17499063,18872131,19698122,19644659,18204715,19445010,19475930,20056347,21533675,22170738,23200239,24516625,24635545,26409592
 "24000","Maryland",2,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",6437258,7219685,7082740,7487052,7327677,7439837,7691468,8950786,8782486,8908106,9254543,8427152,8783606,8746799,9018492,9921230,10472220,11835618,12572447,12058865,12311453
 "24000","Maryland",2,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",8418263,8214003,7382009,7771319,7613618,8483394,9185912,8548277,10089646,10790016,10390116,9777563,10661404,10729130,11037855,11612445,11698518,11364621,11944178,12576680,14098140
 "24000","Maryland",2,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",10550957,10536787,11117170,12145192,13078457,13629727,13980194,14309641,13555346,14237122,14599431,15133511,15560170,16036472,16873872,16862758,17401912,17974923,18950741,18383448,20842060
 "24000","Maryland",2,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",13724137,14234934,14882420,15069005,16129552,16369992,16152207,15557666,14950683,15894161,16354853,17273853,17579694,17913948,18704852,19209939,19461043,19846849,20250244,20020918,23209898
 "24000","Maryland",2,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",4558692,4603966,4627862,5132420,5591619,5836133,5754271,5917553,5880541,6421171,6602200,6715571,6877982,7440426,8111390,8523288,8479824,8936223,9038108,8228678,9277554
 "24000","Maryland",2,CAGDP2,45,"51","  Information ","Thousands of dollars",8665088,9506411,9810329,11850318,13259132,12817420,10729578,13920227,14854155,17093202,17376529,16321699,15884621,14071275,15220693,16717073,17102580,15766775,14878988,15021190,18446839
 "24000","Maryland",2,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",42475080,44863643,48452565,50445617,55468718,56880369,59960211,61531926,60489653,63392182,66141185,68358966,70749833,74998361,79350789,85174935,86863835,88688600,88937215,85895934,88745883
 "24000","Maryland",2,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",11832929,12535658,13342095,13819537,16259340,16407841,16633880,13987905,14334541,14202055,13925520,15693834,15417625,18835967,18957591,21133491,21482028,23432931,23316108,23900268,25440902
 "24000","Maryland",2,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",30642151,32327986,35110470,36626080,39209378,40472528,43326330,47544021,46155111,49190128,52215665,52665132,55332209,56162394,60393198,64041444,65381807,65255669,65621107,61995667,63304981
 "24000","Maryland",2,CAGDP2,59,"54, 55, 56","  Professional and business services ","Thousands of dollars",25548285,27321630,29156368,32098797,35295212,37605772,39373310,42136194,42471716,44791304,47062805,49177948,49452554,50998381,51895824,53529138,55380909,58371705,60764547,59564904,65457972
 "24000","Maryland",2,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",18931357,20491484,21647277,23358542,25293348,26873106,27893347,30403327,31056585,32528012,34212931,35727393,35369501,36479351,36877752,38015610,38795341,41127161,42983496,42709210,46186451
 "24000","Maryland",2,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",786655,778845,1024892,1759179,2253816,2560594,2746773,2735859,2716668,2954354,3266244,3556212,3837946,3863020,3889007,3959077,4253871,4602870,4877506,4501340,4904749
 "24000","Maryland",2,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",5830273,6051300,6484200,6981076,7748047,8172072,8733191,8997008,8698462,9308939,9583630,9894343,10245108,10656011,11129065,11554451,12331696,12641673,12903545,12354355,14366771
 "24000","Maryland",2,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of dollars",16335252,17501797,18885113,20524181,21640059,22973345,24014443,26038982,27836476,28656360,29938927,30922191,31287384,32416802,33964150,35315522,36378784,37800428,39047135,37821036,40311713
 "24000","Maryland",2,CAGDP2,69,"61","   Educational services ","Thousands of dollars",2603205,2805226,3130423,3508188,3634349,3830510,4005126,4346230,4864484,5093059,5392003,5601106,5534294,5843812,5973781,6299956,6458953,6898471,7036488,6418522,6882576
 "24000","Maryland",2,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",13732048,14696571,15754689,17015992,18005710,19142835,20009317,21692752,22971993,23563301,24546923,25321085,25753089,26572990,27990370,29015566,29919831,30901957,32010648,31402514,33429137
 "24000","Maryland",2,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",7974878,8429090,8634348,8522532,8557343,9219035,9080591,9248188,9322701,9799886,10235178,11087011,11749209,12880932,14249455,15247723,15767096,16139634,16822192,11748129,14941830
 "24000","Maryland",2,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",1336099,1424267,1501898,1711655,1642160,1790258,1924901,1810217,1792943,2009392,2207407,2598120,3228436,3956256,4320956,4662727,4582354,4582260,4276217,2827906,3645404
 "24000","Maryland",2,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",6638780,7004823,7132450,6810877,6915183,7428777,7155690,7437971,7529758,7790494,8027772,8488891,8520774,8924675,9928499,10584996,11184742,11557374,12545974,8920222,11296426
 "24000","Maryland",2,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",5573046,5951512,6122359,6421881,6718346,7052294,7197685,7262082,7251150,7329393,7467883,7750813,7854685,8270039,8537092,8705904,8954903,9406861,9623918,8902970,9722074
 "24000","Maryland",2,CAGDP2,83,"...","Government and government enterprises ","Thousands of dollars",40042475,43836488,46080166,48238856,51281690,54197320,57056006,60053940,62768092,66252667,69286107,69967452,71513065,73954912,76443446,78035817,80433994,82553679,84578001,88779322,92756575
 "24000","Maryland",2,CAGDP2,87,"11, 21","Natural resources and mining ","Thousands of dollars",898706,734878,827480,1130101,1092989,1145190,1177221,1204283,1030081,1183053,1260390,1330488,1489004,1338417,1190281,1084923,1299304,1140953,1238438,936029,1396039
 "24000","Maryland",2,CAGDP2,88,"42, 44-45","Trade ","Thousands of dollars",24275094,24771721,25999590,27214197,29208009,29999719,30132401,29867308,28506029,30131284,30954283,32407364,33139865,33950420,35578724,36072697,36862955,37821772,39200985,38404366,44051958
 "24000","Maryland",2,CAGDP2,89,"22, 48-49","Transportation and utilities ","Thousands of dollars",7647186,7539312,7912065,9048975,9268973,10246779,11084865,11151551,11596076,13183204,13382506,12826362,12887697,13661971,14837705,15388998,15770842,16346904,16148847,14921314,16748653
 "24000","Maryland",2,CAGDP2,90,"31-33, 51","Manufacturing and information ","Thousands of dollars",23520609,24940099,24275078,27108689,28200427,28740652,27606959,31419290,33726286,36791324,37021188,34526414,35329630,33547205,35277040,38250748,39273319,38967014,39395614,39656735,44856431
 "24000","Maryland",2,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",27444639,28115491,27906446,30759193,31402562,33153254,34336492,34189799,34006662,34098825,34435827,33703683,36058707,37558253,39650178,43545593,46641101,47915829,50369480,49871877,52746443
