GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "23000","Maine",1,CAGDP2,1,"...","All industry total ","Thousands of dollars",38605650,40466170,42315195,45209997,47078514,49045447,50459271,50713203,51123839,52256191,52575473,53679731,54470105,56410803,58131335,60254420,62253597,65477103,68690422,70740045,77963313
 "23000","Maine",1,CAGDP2,2,"..."," Private industries ","Thousands of dollars",33303506,34842896,36364785,38948763,40546560,42226445,43371639,43350835,43657938,44701253,45220772,46325365,46968785,48588289,50174524,51904449,53917910,56923563,59972854,61689285,68463964
 "23000","Maine",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",848001,772952,802360,791551,768430,825445,785087,765319,725660,842915,860763,853010,850210,850770,941353,878331,878410,860742,857178,812430,823370
 "23000","Maine",1,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",8286,8260,7618,9324,8547,9868,12511,21343,15730,19362,20484,31956,34035,28218,36245,36001,48915,60199,42519,69564,68784
 "23000","Maine",1,CAGDP2,10,"22","  Utilities ","Thousands of dollars",772812,694954,662534,714004,744964,879121,936907,933761,945549,987710,958499,945538,976929,996951,960055,962983,981832,991590,1017835,1022013,1123843
 "23000","Maine",1,CAGDP2,11,"23","  Construction ","Thousands of dollars",1994801,2042986,2226641,2427683,2493182,2513927,2463775,2238349,2210926,2139271,2047087,1984590,1873196,1928692,1967416,2016673,2104491,2211224,2328809,2363346,2564149
 "23000","Maine",1,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",4661223,4498905,4493052,4925005,5064319,5213646,5395927,5412521,5470120,5581698,5377779,5446770,5407894,5534868,5443228,5746717,6181951,6401575,6769381,6935801,7785607
 "23000","Maine",1,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",2145241,2065416,2143760,2497157,2554841,2485935,2450508,2483745,2590422,2751032,2700342,2499480,2772900,2841709,2864714,3014013,3121472,3407439,3419410,3288546,3779113
 "23000","Maine",1,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",2515982,2433490,2349292,2427848,2509478,2727711,2945420,2928776,2879698,2830666,2677437,2947290,2634994,2693158,2578514,2732704,3060479,2994137,3349971,3647255,4006495
 "23000","Maine",1,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",2015762,2065537,2216731,2399175,2464911,2620351,2686452,2681162,2591156,2725903,2776783,2957753,3055163,3182517,3314903,3358285,3396451,3543797,3682993,3744336,4283623
 "23000","Maine",1,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",3700487,3874672,4105512,4259564,4345691,4428160,4303247,4268509,4217032,4258529,4242769,4289646,4411474,4506417,4739188,4810215,4946415,5114607,5411221,5756982,6548374
 "23000","Maine",1,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",845094,861491,913176,979761,1050052,1189542,1179806,1214566,1193230,1222272,1194488,1184974,1213296,1266791,1326194,1344213,1392978,1410917,1449409,1362708,1557742
 "23000","Maine",1,CAGDP2,45,"51","  Information ","Thousands of dollars",1038165,1154059,1230143,1287878,1327742,1253358,1206261,1213011,1217778,1270422,1127970,1034494,1092473,1038218,1113952,1186580,1132601,1245454,1261026,1256012,1461255
 "23000","Maine",1,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",7582411,8258700,8662180,9279130,10082087,10273635,10781606,10130345,10460268,10734808,11325090,11726924,11730992,12229339,12466162,12870403,13239798,14320376,15197076,17073305,17909425
 "23000","Maine",1,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",2416706,2420376,2469670,2588927,2737193,2747393,2840430,2723896,2760199,2808721,2952445,3119716,3043380,3258997,3538506,3660212,3928193,4385619,4594217,5312620,5672118
 "23000","Maine",1,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",5165705,5838324,6192510,6690203,7344894,7526242,7941176,7406449,7700068,7926087,8372645,8607208,8687612,8970342,8927657,9210191,9311604,9934757,10602859,11760684,12237307
 "23000","Maine",1,CAGDP2,59,"54, 55, 56","  Professional and business services ","Thousands of dollars",3133917,3350555,3427619,3667746,3713512,3990838,4359685,4854961,4684035,4797601,4938979,5079948,5217966,5553901,5807431,6114466,6444318,6961473,7372671,7715296,8765833
 "23000","Maine",1,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",1767024,1934195,1983825,2120735,2182011,2279266,2407892,2680731,2607141,2612833,2694984,2760835,2822503,2927205,3086556,3217044,3388531,3665582,3873566,4049239,4440419
 "23000","Maine",1,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",488227,517849,500345,586093,502345,603531,651822,751121,666562,707362,729790,804823,801098,943514,969532,1098476,1167570,1295510,1481661,1540334,2037461
 "23000","Maine",1,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",878666,898511,943449,960918,1029156,1108040,1299971,1423110,1410331,1477406,1514205,1514289,1594365,1683183,1751342,1798946,1888217,2000381,2017443,2125723,2287953
 "23000","Maine",1,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of dollars",4140661,4475471,4789977,5228305,5429138,5850587,6086845,6490511,6807622,6876109,7039378,7250550,7361389,7497231,7819147,8081087,8387257,8718094,9254472,9317511,10031558
 "23000","Maine",1,CAGDP2,69,"61","   Educational services ","Thousands of dollars",417693,441414,490653,534132,543735,596817,656496,698693,768109,807174,834603,875119,896166,932652,951944,993459,1022198,1088563,1185441,1071779,1152500
 "23000","Maine",1,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",3722968,4034057,4299324,4694174,4885403,5253770,5430349,5791817,6039513,6068936,6204775,6375432,6465223,6564578,6867203,7087628,7365059,7629531,8069030,8245732,8879058
