GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "26000","Michigan",3,CAGDP2,1,"...","All industry total ","Thousands of dollars",349885798,363660834,374174213,385621131,400268861,401868976,409615368,390420891,368733770,390042962,404554710,422691167,437274423,451773208,474983329,490263998,502130398,520245090,532216994,520105276,572205845
 "26000","Michigan",3,CAGDP2,2,"..."," Private industries ","Thousands of dollars",310775823,322934459,332341298,342817185,355367801,356220449,363163264,342408494,320084960,340075428,355720617,374086716,388063957,402275820,423583650,438970082,449496786,466559561,476551552,463141465,513236869
 "26000","Michigan",3,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",1615708,1684630,1808751,2487644,2244923,2562855,2699781,2744591,2209966,2796749,4121642,3260917,3910902,3436172,3168529,2798517,3120835,3050960,2730771,3341646,4293387
 "26000","Michigan",3,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",649056,595110,618279,758515,891827,1186481,1157419,1360553,1284961,1684150,2188105,2076596,1890169,1839419,1496694,1413458,1453089,1446917,1462392,1452232,1899465
 "26000","Michigan",3,CAGDP2,10,"22","  Utilities ","Thousands of dollars",5732856,5448332,5762164,6039652,6090046,6956336,7299308,7698952,7963540,8710063,8916483,9139056,9086475,9224711,9094540,9727159,9788694,9825508,10375705,10525547,11734837
 "26000","Michigan",3,CAGDP2,11,"23","  Construction ","Thousands of dollars",16034454,15665447,15945690,17139317,17740254,16809424,15855157,13526387,11674561,11427472,11617896,13421183,14177727,15173178,16020839,16872141,17837744,18684743,18824676,18321627,20012462
 "26000","Michigan",3,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",80236538,84017652,85460509,80512388,80453395,77177280,80301972,67669443,54376471,67210945,72577446,78323854,84477035,86232576,91426051,93839121,95191579,96892512,95978572,90670012,101339205
 "26000","Michigan",3,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",65411052,67465908,68982255,63909845,65197843,59773045,64155717,52467812,38377044,50818984,55719277,61196961,66009171,67585828,71084355,73091232,73064046,74103697,72646807,66985349,74864289
 "26000","Michigan",3,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",14825486,16551744,16478254,16602543,15255552,17404235,16146255,15201631,15999427,16391961,16858169,17126893,18467864,18646748,20341696,20747889,22127533,22788815,23331765,23684663,26474916
 "26000","Michigan",3,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",19981639,19873934,20733831,21765892,23373487,24107753,24697515,25444187,23265600,25268704,26513555,28183251,29346006,31015350,32120985,32906129,33914880,35336667,36266376,34957664,40217656
