GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,1,"...","All industry total ","Thousands of dollars",3690450,3805509,3997893,4229906,4502185,5035727,5368287,5616001,5482542,5773779,5954478,6222396,6398066,6610626,6538116,6505407,6772596,7268801,7707308,8185967,8848793
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,2,"..."," Private industries ","Thousands of dollars",2828323,2863350,3012772,3207900,3456948,3945638,4226702,4453070,4278614,4507842,4687131,4933947,5106750,5300872,5215831,5116726,5344267,5803262,6220748,6613528,7207791
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",56092,25905,47784,58168,47536,17504,67267,(D),25483,(D),54714,18471,47427,18403,16088,24468,(D),19570,(D),(D),30616
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",128824,114541,125240,153939,224790,355765,396327,484001,304967,338119,405302,449341,448273,408332,233946,154059,215486,247723,219904,147053,186680
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,10,"22","  Utilities ","Thousands of dollars",34182,34989,(D),(D),(D),(D),(D),(D),121479,(D),(D),(D),130292,171758,150338,160769,(D),175033,(D),(D),(D)
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,11,"23","  Construction ","Thousands of dollars",161905,179038,185181,189313,216694,245568,289840,321960,314091,297043,288003,314714,339346,368371,357983,328357,316726,351896,378256,363093,353822
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",257167,199728,192330,225281,235238,252352,270406,258011,242577,252699,272629,299503,313879,303450,315054,292236,304915,333718,333051,318808,344577
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),134584,154053,165517,171366,170489,166492,166490,173152,(D),178932,177398,194154
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),118116,118576,133986,142513,132961,148562,125746,131762,(D),154120,141410,150423
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",157929,162774,182531,216290,222719,274170,299305,325321,296810,327456,364205,419144,435746,430480,398749,375771,(D),(D),(D),(D),(D)
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",329723,343490,365478,384747,419214,434002,423574,425244,426956,447745,450588,476108,500271,523905,533602,535584,547845,593087,631184,657396,764461
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",(D),(D),78434,87611,91470,96340,101698,(D),(D),(D),98396,111900,121924,153265,159730,148995,157529,178613,202173,188097,182901
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,45,"51","  Information ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),198405,196118,214718,199281,(D),(D),230645,249998,247291
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",556777,587305,604148,589037,651927,785187,795573,779740,842464,895065,910730,949856,952036,1026279,1063086,1090063,1175280,1286195,1363766,1904024,2007205
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",170030,182337,195652,171645,192454,211325,242667,241846,267639,279801,279222,296386,295295,314672,323040,342863,342948,396163,412427,432097,458979
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",386747,404968,408496,417392,459474,573862,552906,537894,574825,615265,631507,653470,656741,711607,740046,747200,832333,890031,951339,1471927,1548226
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,59,"54, 55, 56","  Professional and business services ","Thousands of dollars",197241,214619,226297,(D),(D),272046,(D),353291,341116,345511,383787,(D),418849,450875,446104,424875,436236,(D),558247,551793,643182
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",(D),(D),123522,122972,(D),(D),(D),(D),(D),(D),(D),(D),230744,249019,247491,234151,235587,240880,329742,303104,282806
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
