GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "30000","Montana",7,CAGDP2,1,"...","All industry total ","Thousands of dollars",22847617,23942069,25714882,28160519,30875789,33166094,36233233,37224917,36187752,38336057,40995063,42340869,43687893,45177210,46604059,45490901,48533884,50916937,51925448,52355835,58699848
 "30000","Montana",7,CAGDP2,2,"..."," Private industries ","Thousands of dollars",18908679,19775715,21214070,23450340,25970860,27957841,30706337,31436012,30203924,32170459,34691898,35911467,37276372,38536560,39758861,38377001,41228320,43531555,44278971,44405408,50450845
 "30000","Montana",7,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",707827,759235,880712,1217052,1202922,927902,1268228,1388087,1209784,1426800,1628706,1826329,2129735,2063964,1981267,1804828,1397922,1709492,1796018,1726130,1710591
 "30000","Montana",7,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",781090,721518,811366,1023334,1441259,1793402,2070247,2409640,1971368,2300121,2721577,2704291,2815013,2668833,1944254,1398113,1699743,1842140,1724778,1752594,1883448
 "30000","Montana",7,CAGDP2,10,"22","  Utilities ","Thousands of dollars",659744,613675,644407,682360,677003,754929,809434,855802,944671,987646,1064950,1032055,1065067,1074500,1096443,1093646,1098738,1050431,1134369,1136678,1210472
 "30000","Montana",7,CAGDP2,11,"23","  Construction ","Thousands of dollars",1333165,1380409,1568572,1760765,2063549,2281745,2605563,2367711,2174373,1965215,1962554,2098262,2166565,2278844,2429933,2485019,2550948,2703858,2856369,3030826,3326441
 "30000","Montana",7,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",1392925,1270043,1597824,1806627,1974787,2159661,2736378,2157251,1584075,1926523,2566610,2617833,2628993,3027404,3359088,2401545,3683874,4197318,3058706,2280697,3376939
 "30000","Montana",7,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",729421,657582,708416,743631,786580,755206,811941,787982,703697,687267,735150,816045,964942,1007722,1082958,1125723,1158495,1130494,1093093,1127686,1319835
 "30000","Montana",7,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",663504,612461,889408,1062996,1188206,1404454,1924437,1369269,880378,1239256,1831460,1801788,1664051,2019683,2276130,1275822,2525380,3066824,1965612,1153011,2057104
 "30000","Montana",7,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",1231030,1279729,1367806,1533760,1637243,1767249,1880237,1958838,1878024,1994860,2090032,2308377,2492536,2544282,2639370,2602225,2643495,2832337,2920878,2995222,3436085
