GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "33000","New Hampshire",1,CAGDP2,1,"...","All industry total ","Thousands of dollars",46817461,49059884,51637587,54918248,56952627,60017037,61782135,61700217,62522868,64843551,66153151,68498086,70476198,72995232,76477981,79090114,80597998,83869796,87338184,88337671,99673261
 "33000","New Hampshire",1,CAGDP2,2,"..."," Private industries ","Thousands of dollars",41477922,43463753,45640071,48659014,50349533,53051202,54421558,54018044,54824265,56793023,58198900,60570116,62356238,64610530,68060014,70579956,71914614,75009564,78242728,79092407,90141128
 "33000","New Hampshire",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",150411,146094,170918,191704,160912,170323,164357,181264,149676,166017,191204,227057,232669,226254,233428,211246,225004,197109,202367,196905,172574
 "33000","New Hampshire",1,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",34932,48462,50334,53693,63516,85225,107118,94058,69528,70936,50151,67679,54318,65534,68075,101717,94441,180447,166598,129734,133293
 "33000","New Hampshire",1,CAGDP2,10,"22","  Utilities ","Thousands of dollars",828488,787847,867695,1004097,980995,1002657,982379,1060195,1306517,1351668,1310998,1259087,1278322,1301286,1306831,1273775,1314119,1331723,1305334,1339413,1476298
 "33000","New Hampshire",1,CAGDP2,11,"23","  Construction ","Thousands of dollars",2292117,2313843,2415918,2716061,2811390,2821895,2580007,2213935,2076376,2004386,2026982,2087963,2048825,2079183,2180907,2291716,2440277,2551973,2733816,2806949,2971266
 "33000","New Hampshire",1,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",6521913,6541519,6905482,6912602,6460617,7018742,7122010,6625321,6564252,7039809,7341528,7282211,7985885,7406350,8515868,8894164,8405114,9206814,9408265,9344289,9992162
 "33000","New Hampshire",1,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",4669248,4895172,5280243,5381939,4909358,5398915,5470360,5011559,4831085,5356398,5743302,5629603,6232079,5580052,6571701,6768396,6292934,7081785,7093219,7109795,7509618
 "33000","New Hampshire",1,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",1852665,1646347,1625239,1530663,1551259,1619827,1651650,1613762,1733167,1683412,1598226,1652608,1753806,1826298,1944167,2125768,2112180,2125029,2315046,2234495,2482544
 "33000","New Hampshire",1,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",2968518,2964060,3045187,3248353,3439704,3625683,3777803,3904983,3716231,3931551,4070442,4311985,4579807,4793368,5202477,5200525,5351690,5576223,5790937,6114733,7277563
