GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "35000","New Mexico",6,CAGDP2,1,"...","All industry total ","Thousands of dollars",55789749,57808252,62651084,69956610,73911421,77610383,80799783,84688354,82461511,84611544,87062837,87925207,88756862,92185722,90274331,89769435,92273584,97268016,102027524,98789953,109582792
 "35000","New Mexico",6,CAGDP2,2,"..."," Private industries ","Thousands of dollars",41909627,42839426,46829027,53147812,56385126,59663155,62446329,65595140,62743713,64293447,66364256,66821817,67400192,70548882,68316373,67270854,69539802,73917493,77874535,73710227,83381433
 "35000","New Mexico",6,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",1030397,818438,862816,1246302,1218588,1009314,1305439,1168337,843925,1282561,1550098,1405807,1411896,1585174,1297919,1394768,1427535,1335841,1382274,1216630,1281523
 "35000","New Mexico",6,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",3752317,3380370,4437179,5188132,7106527,7913078,8661936,10596968,7155204,8153197,9533058,9284091,9885089,10473434,6977420,5233126,6375329,7623070,8072976,5882335,9208708
 "35000","New Mexico",6,CAGDP2,10,"22","  Utilities ","Thousands of dollars",992556,879659,907932,981690,994570,1186605,1188257,1262909,1367892,1485234,1565827,1559923,1606503,1667853,1616711,1637775,1630914,1611591,1714630,1770810,1937159
 "35000","New Mexico",6,CAGDP2,11,"23","  Construction ","Thousands of dollars",2511110,2466754,2731587,3136227,3675514,4114938,4419251,4335728,3686830,3199507,3016743,2940133,2982993,3086269,3258643,3329224,3571524,3810870,4242590,4219965,4272638
 "35000","New Mexico",6,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",5180335,4519266,6194589,8608038,7283454,6322926,4983327,3520476,5142426,4429792,3782145,3770249,3300594,3677599,4122770,3800105,3814990,4018372,4373673,3803771,4264593
 "35000","New Mexico",6,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",3838303,3233656,4951836,7586126,6332901,5467729,3997976,2400539,4105767,3448911,2789385,2536000,1939456,2137011,2018893,2040837,1874349,2007899,2077554,2054316,2120751
 "35000","New Mexico",6,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",1342032,1285609,1242753,1021911,950553,855197,985351,1119937,1036659,980881,992760,1234249,1361138,1540587,2103876,1759268,1940641,2010473,2296119,1749456,2143841
 "35000","New Mexico",6,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",2130106,2143045,2191934,2353412,2491796,2707715,2792201,2888837,2568567,2734569,2732625,2883805,2988106,3109470,3178850,3114413,3163913,3267168,3520380,3340777,3611987
 "35000","New Mexico",6,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",3855082,4030998,4220027,4492592,4538365,4841756,4951967,4904758,4917140,4883871,4850920,5068736,5133904,5296587,5405977,5479293,5445350,5697812,5926967,6050211,6921484
 "35000","New Mexico",6,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",1290633,1347098,1444765,1614485,1760109,1959047,1973348,2125075,1849570,1925840,2158330,2233873,2270883,2463248,2516903,2338247,2424268,2730228,2819477,2537395,2876217
 "35000","New Mexico",6,CAGDP2,45,"51","  Information ","Thousands of dollars",1702106,1830136,1871957,1931127,1998797,2162196,2429207,2974923,2832313,2900700,2724876,2750601,2557551,2407125,2588146,2688363,2531866,2507486,2454110,2156069,2625567
 "35000","New Mexico",6,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",7604331,8486565,8187867,8917198,9867105,10377695,11242647,12155276,12270915,12894513,13803057,13839575,14113931,14887543,14776765,14866740,15024845,15882865,16197895,16431132,16983413
 "35000","New Mexico",6,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",1661210,1931984,1918829,2022880,2209546,2312501,2318565,2176826,2252447,2251445,2414541,2501681,2428007,2891420,3115149,3264398,3183765,3571284,3556063,4029525,4304696
 "35000","New Mexico",6,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",5943121,6554581,6269038,6894318,7657559,8065194,8924083,9978450,10018468,10643068,11388516,11337894,11685924,11996123,11661616,11602343,11841080,12311580,12641833,12401606,12678717
 "35000","New Mexico",6,CAGDP2,59,"54, 55, 56","  Professional and business services ","Thousands of dollars",5059175,5446305,5778317,6109924,6495721,7489800,8424509,8960672,8886478,9032377,9140728,9103934,9007163,9262436,9440517,9645199,10160220,10762074,11528564,11876228,12803248
 "35000","New Mexico",6,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",3202173,3515986,3784024,4020827,4196130,5045394,5782316,6160658,6154855,6263101,6281569,6268767,6171260,6415135,6595232,6792014,7078898,7475051,7946735,8282433,8766247
 "35000","New Mexico",6,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",371604,374949,353915,371785,443821,443304,455699,432912,435125,448158,456065,475213,476206,485983,498999,502541,527436,566439,609643,648401,679661
 "35000","New Mexico",6,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",1485398,1555370,1640378,1717312,1855770,2001102,2186494,2367102,2296498,2321118,2403094,2359953,2359697,2361318,2346286,2350645,2553887,2720584,2972187,2945394,3357340
 "35000","New Mexico",6,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of dollars",3305381,3697212,4069506,4443418,4699795,5010415,5281063,5802945,6226709,6433117,6641470,6892749,6919901,7045216,7413451,7856002,7970908,8185852,8528184,8473016,9034495
 "35000","New Mexico",6,CAGDP2,69,"61","   Educational services ","Thousands of dollars",284842,287320,327627,389309,404933,419617,440604,492256,535083,568135,569954,582304,570567,571314,558166,596024,571352,583999,615840,553775,609189
 "35000","New Mexico",6,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",3020539,3409892,3741879,4054108,4294862,4590798,4840460,5310689,5691626,5864982,6071515,6310445,6349334,6473903,6855284,7259978,7399555,7601853,7912344,7919242,8425306
