GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "32000","Nevada",8,CAGDP2,1,"...","All industry total ","Thousands of dollars",80429217,85008731,90633586,103231012,116166191,125848269,131620867,130609515,122127078,124669428,127677889,129312905,132086406,136008652,145115947,151840365,160653063,170257634,182186338,172562622,194486640
 "32000","Nevada",8,CAGDP2,2,"..."," Private industries ","Thousands of dollars",72027965,76119946,80831583,92508497,104858445,113635882,118512843,116792510,107891798,109930402,113002240,114669084,117055022,120472749,128795743,134828642,143212104,152257136,163193983,152927553,174289862
 "32000","Nevada",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",209005,178486,189921,242292,247220,259094,221113,286722,263732,282197,367277,291475,306654,386290,305116,253334,290421,288650,334543,290990,368939
 "32000","Nevada",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1256347,1326590,1505583,1843857,2195663,3288173,3458948,4074027,3942372,5157187,6302376,5741091,4467427,3518666,2773616,3160614,4390352,3916592,4002205,4660188,5528180
 "32000","Nevada",8,CAGDP2,10,"22","  Utilities ","Thousands of dollars",1500764,1559459,1626832,1872748,1738881,2052320,2086489,2130562,2376919,2406792,2299469,2287101,2340041,2448555,2489887,2382353,2365730,2301012,2497677,2449520,2693456
 "32000","Nevada",8,CAGDP2,11,"23","  Construction ","Thousands of dollars",6591696,6648914,7556210,9729366,12481890,13418405,13217293,10704095,9281065,7826977,7092540,5250797,5242533,5938107,7316498,8477655,10212113,11307014,13148772,14063446,14697978
 "32000","Nevada",8,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",2870397,3156849,3417794,4511874,5038078,5303454,6184935,6183520,5512148,5181270,5316943,6043317,6220159,6179128,5960326,6185022,6861369,7825683,8301361,8222511,9446652
 "32000","Nevada",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",1647883,1992348,2204103,3236454,3752138,3844577,4706984,4774209,4050078,3816948,3982783,4703465,4731064,4506403,4274981,4334592,4842108,5719651,6053370,6075044,6898506
 "32000","Nevada",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",1222514,1164501,1213692,1275419,1285940,1458877,1477951,1409312,1462070,1364321,1334160,1339852,1489095,1672725,1685345,1850429,2019261,2106032,2247991,2147466,2548146
 "32000","Nevada",8,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",3489553,3556964,3674298,4243373,4810687,5082740,5252821,5354477,4815695,4772985,4938802,5280371,5418469,5727248,6036156,6338030,6966177,7569446,7982838,7916791,8856753
