GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "36000","New York",2,CAGDP2,1,"...","All industry total ","Thousands of dollars",878346480,890258115,912474648,967151949,1016037549,1075154588,1119381500,1116591020,1160081314,1223529685,1247605768,1328233509,1365529022,1430923347,1487627635,1551354076,1604649906,1697661415,1787666037,1740804653,1901296535
 "36000","New York",2,CAGDP2,2,"..."," Private industries ","Thousands of dollars",780740595,789358402,807134167,855665998,900046238,955960632,992894890,984625775,1023473009,1082095102,1105488272,1184608409,1213810806,1277048721,1330945884,1393584105,1441559708,1518883259,1603734297,1555389796,1705430652
 "36000","New York",2,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",1788139,1513911,1694865,2130242,2091292,2065328,2494482,2706286,2015224,2612775,3082078,2863742,3309815,3378624,2624255,2439208,2811108,2543299,2791589,2522113,3206311
 "36000","New York",2,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",430325,420467,479976,586411,672495,869056,971542,1183469,1031668,1060289,989107,946781,838512,869121,678381,741320,784155,868526,861368,824993,960135
 "36000","New York",2,CAGDP2,10,"22","  Utilities ","Thousands of dollars",13639932,13244005,14178127,16121546,15757474,17054091,16749359,17033333,17680404,19895018,20215067,19743572,20324493,21429919,20964657,20727422,22142695,23699630,24776788,26991678,30828654
 "36000","New York",2,CAGDP2,11,"23","  Construction ","Thousands of dollars",26773257,27698376,29181733,30873221,32794626,34534600,38179192,39164864,37820243,34692140,33952983,35284197,37509856,40154936,44364532,48294637,51204588,53274138,55576594,50854398,53563534
 "36000","New York",2,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",61486880,63446149,61702319,63401231,65039911,69228974,68482002,66589278,69322564,69574094,64480834,64102265,65010778,67277509,71796094,70507710,70573610,69354784,75682147,69376972,75235903
 "36000","New York",2,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",30409610,30552203,28920945,29669417,31243204,31172816,32518508,32610275,29483694,31259211,31666797,33101234,35110757,35138991,36291840,35275819,34628572,35647646,36112660,32727566,34839520
 "36000","New York",2,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",31077271,32893947,32781373,33731814,33796707,38056158,35963494,33979002,39838870,38314883,32814037,31001031,29900022,32138518,35504254,35231892,35945038,33707138,39569487,36649406,40396383
 "36000","New York",2,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",42547218,42577426,45091691,48980311,51452014,54880089,58253883,57778819,55480237,60540831,62006851,65862304,67341978,68971968,73995802,71099482,71762593,74118080,76307623,72167264,82545574
 "36000","New York",2,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",43451247,45375221,48250593,51449423,53569511,54550981,55288591,55078901,54698611,57410357,60194155,62059368,65246319,66770472,68571903,69951070,71460900,73647976,77465264,72244904,83931413
 "36000","New York",2,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",16649162,16632921,17667469,19163507,20191930,22035881,22506071,23140715,22801667,24262700,25871551,26795204,28056242,29431651,31768896,31479495,32979530,34701226,36530789,27405100,32208295
 "36000","New York",2,CAGDP2,45,"51","  Information ","Thousands of dollars",66926485,75700930,74137194,76729005,75166096,73156660,80038003,82822075,87595012,95120496,97076128,100263669,105821023,108286135,116536923,124472708,123753645,140899038,147996660,151338406,163691136
 "36000","New York",2,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",284296479,269940182,271934270,286899706,307384267,335092960,338107550,306259712,348103132,375478630,382749223,435020416,436777345,471388862,478546920,514883562,531954268,555994491,590532917,614459362,652677777
 "36000","New York",2,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",162087706,141178242,137017343,146021172,168424517,193092836,183997240,136758617,185242193,201353438,202624432,248108621,244524947,273313229,281740708,310086295,317880730,333292502,358545462,384024318,414195581
 "36000","New York",2,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",122208773,128761940,134916927,140878534,138959750,142000124,154110311,169501095,162860939,174125191,180124791,186911795,192252399,198075633,196806212,204797267,214073538,222701989,231987455,230435044,238482197
 "36000","New York",2,CAGDP2,59,"54, 55, 56","  Professional and business services ","Thousands of dollars",106993479,110180155,113531046,120154763,131339116,138982237,151489337,160697283,146771075,154602544,161899328,168461927,173212525,181756645,193976414,198595380,209603283,219326957,232340827,223030748,245069358
