GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "40000","Oklahoma",6,CAGDP2,1,"...","All industry total ","Thousands of dollars",97059569,99479156,105713489,113873799,125081608,137436501,145752097,160763692,146633044,154287427,166235830,174874417,182694722,196631610,186815610,181244394,190553013,202712509,204192536,190063650,215336250
 "40000","Oklahoma",6,CAGDP2,2,"..."," Private industries ","Thousands of dollars",81129167,82498844,88050536,95360540,105157504,116125139,122935851,136559412,121365196,127912633,139551404,148394863,155432447,168720153,157864618,152017180,160569782,171542172,172096480,156853868,180802617
 "40000","Oklahoma",6,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",1454156,1689251,1775055,2472283,2334663,1837417,1883081,2035138,1331630,2081695,2700994,3042307,3042734,3381773,3051867,2422709,2762660,2725135,2445644,2256876,2772751
 "40000","Oklahoma",6,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",5986364,5600463,8039763,10601542,15200130,18635594,21602344,29225938,18564462,22102404,26479707,24857815,29142261,35003244,21138212,18189072,23602609,28157730,23901706,12061652,23038438
 "40000","Oklahoma",6,CAGDP2,10,"22","  Utilities ","Thousands of dollars",2457030,2228997,2400255,2500337,2510053,2860136,3065902,3280471,3239022,3609649,3898482,4152444,4078602,4474211,4131904,4068190,3900788,3929987,4422120,4000107,4556651
 "40000","Oklahoma",6,CAGDP2,11,"23","  Construction ","Thousands of dollars",4105873,4045596,4200401,4461649,4909157,5321309,5436685,5630705,5740314,5962818,6186517,6697221,6981120,6996122,7084904,6894643,6827954,7065870,7506885,7267923,7707210
 "40000","Oklahoma",6,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",12421094,11561584,12616571,12639614,13834645,16180753,15912839,18594882,15371634,14176698,16019882,17816131,17043411,18077004,18201379,15880562,17364179,19718219,20205490,17446974,18589536
 "40000","Oklahoma",6,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",7995897,7334143,7388045,7713529,8381162,9012994,9532327,10240687,8451917,8302538,9289833,9812294,10391491,10811681,10338364,9664881,10386476,12078507,12228649,10732906,11006430
 "40000","Oklahoma",6,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",4425196,4227441,5228526,4926084,5453483,7167759,6380512,8354195,6919717,5874159,6730049,8003837,6651921,7265323,7863015,6215680,6977704,7639712,7976841,6714067,7583106
 "40000","Oklahoma",6,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",5172964,5342646,5361745,5904976,6282252,7055800,7482720,7883999,7274877,7681549,8686612,10022971,10387729,10732709,10448522,9668673,9607167,9947044,10377902,9702529,10754926
 "40000","Oklahoma",6,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",7006060,7162371,7419768,7432268,7890440,8497658,8557307,8560253,8742462,9130937,9425524,10096618,10453210,10584311,10751773,10644599,10577636,10950405,11544865,12421765,14105874
 "40000","Oklahoma",6,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",3267535,3137760,3333297,3627614,3894876,4359549,4614002,5010155,4338142,4634700,5567371,7282550,8398198,10208623,11531364,12048770,11992183,12285712,11610202,11632917,12551396
 "40000","Oklahoma",6,CAGDP2,45,"51","  Information ","Thousands of dollars",3490717,3796867,3604107,3908165,4326301,4278935,4372892,4455750,4135080,3981740,3874524,3689561,4059208,4203065,4626594,4950748,5203498,5405308,5372634,5431525,5947940
 "40000","Oklahoma",6,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",14607750,15602390,16028860,16948318,17996768,19157680,20807982,20357087,20636270,21507206,22536697,24704033,24641674,26124103,26513594,26761719,27136081,27993717,29062494,29417380,31405664
 "40000","Oklahoma",6,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",4419596,4907270,5049493,5180962,5590041,5819440,5885499,5214762,5632842,5664276,5857561,6417603,6161880,7331553,7310076,7802445,7887549,8192232,8261684,8364308,9452213
 "40000","Oklahoma",6,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",10188154,10695120,10979367,11767356,12406727,13338240,14922483,15142324,15003428,15842930,16679136,18286430,18479794,18792550,19203518,18959274,19248532,19801485,20800810,21053072,21953451
 "40000","Oklahoma",6,CAGDP2,59,"54, 55, 56","  Professional and business services ","Thousands of dollars",7799799,8010395,8510142,9215036,9779773,10619040,11487166,12629442,11898465,12551417,13471960,14341829,14784447,15413000,15765601,15254330,16010357,16963239,18027483,17813715,19357244
 "40000","Oklahoma",6,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",3844781,4094822,4271029,4473936,4805447,5111546,5578664,6130182,5979929,6234426,6638891,7059712,7319097,7579271,7863475,7694390,7929870,8432308,8918257,8609639,9142061
 "40000","Oklahoma",6,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",949365,915349,1036394,1149716,1108694,1295760,1348955,1538387,1491368,1669333,1998599,1984770,2094220,2167452,2302248,2202287,2287323,2351915,2729509,2956152,3222067
 "40000","Oklahoma",6,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",3005653,3000224,3202719,3591383,3865632,4211734,4559548,4960872,4427168,4647658,4834471,5297347,5371130,5666278,5599877,5357653,5793164,6179016,6379717,6247924,6993116
 "40000","Oklahoma",6,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of dollars",6935866,7440070,7871674,8465415,8896678,9487751,9918764,10729045,11473475,11929708,12370462,12860792,13238964,13700398,14367176,14822549,14909488,15280699,15945408,16189225,16858897
 "40000","Oklahoma",6,CAGDP2,69,"61","   Educational services ","Thousands of dollars",562783,588136,618202,683130,705867,742779,774249,831777,928339,969157,998616,1048637,1064722,1121561,1088622,1178022,1169134,1227379,1301505,1191774,1294816
 "40000","Oklahoma",6,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",6373083,6851934,7253472,7782285,8190811,8744972,9144515,9897267,10545136,10960551,11371846,11812156,12174242,12578837,13278554,13644527,13740353,14053320,14643904,14997451,15564081
 "40000","Oklahoma",6,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",3611623,3884427,3986912,4191883,4250390,4634928,4546877,4887164,5387754,5249386,5002910,5298948,5583880,6047501,6396100,6534650,6688909,6924345,7351501,6917509,8587003
 "40000","Oklahoma",6,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",454666,490957,527599,573117,580230,709485,708157,722695,835309,875791,860250,973157,942705,1125914,1116026,1223015,1286388,1359416,1356319,1096734,1453077
 "40000","Oklahoma",6,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",3156957,3393470,3459313,3618766,3670160,3925443,3838720,4164470,4552445,4373595,4142660,4325791,4641175,4921586,5280074,5311635,5402521,5564930,5995182,5820775,7133927
 "40000","Oklahoma",6,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",2812337,2996028,2901986,2991441,3051378,3198590,3247289,3279384,3231609,3312728,3329761,3531644,3597009,3774089,3855628,3875965,3986273,4194761,4322145,4293770,4569086
 "40000","Oklahoma",6,CAGDP2,83,"...","Government and government enterprises ","Thousands of dollars",15930402,16980313,17662953,18513259,19924104,21311362,22816246,24204280,25267848,26374794,26684426,26479554,27262274,27911457,28950992,29227214,29983231,31170337,32096056,33209782,34533632
 "40000","Oklahoma",6,CAGDP2,87,"11, 21","Natural resources and mining ","Thousands of dollars",7440520,7289714,9814819,13073826,17534793,20473010,23485425,31261076,19896092,24184098,29180701,27900121,32184995,38385017,24190079,20611782,26365268,30882865,26347350,14318528,25811189
 "40000","Oklahoma",6,CAGDP2,88,"42, 44-45","Trade ","Thousands of dollars",12179023,12505018,12781513,13337244,14172692,15553458,16040027,16444252,16017339,16812486,18112136,20119588,20840939,21317020,21200294,20313272,20184804,20897449,21922767,22124294,24860800
 "40000","Oklahoma",6,CAGDP2,89,"22, 48-49","Transportation and utilities ","Thousands of dollars",5724565,5366757,5733552,6127951,6404929,7219685,7679904,8290626,7577164,8244349,9465853,11434994,12476800,14682834,15663268,16116961,15892971,16215699,16032322,15633024,17108048
 "40000","Oklahoma",6,CAGDP2,90,"31-33, 51","Manufacturing and information ","Thousands of dollars",15911811,15358450,16220678,16547778,18160946,20459688,20285732,23050632,19506714,18158438,19894406,21505692,21102620,22280069,22827973,20831310,22567678,25123527,25578125,22878499,24537476
 "40000","Oklahoma",6,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",23967487,22896894,26631791,30175088,36278594,41975072,44834950,55486662,41008040,44323613,51387100,52413474,56209526,63458143,49476363,43386987,50557402,57666954,54059725,39033426,52107935
 "40000","Oklahoma",6,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",57161680,59601950,61418745,65185452,68878910,74150067,78100901,81072749,80357156,83589020,88164304,95981389,99222922,105262010,108388255,108630194,110012380,113875218,118036755,117820443,128694683
 "40001","Adair, OK",6,CAGDP2,1,"...","All industry total ","Thousands of dollars",299112,320106,302786,303143,343943,359731,358086,352443,346896,408336,416374,425142,400214,408437,456838,439038,439673,480752,455163,431338,513174
 "40001","Adair, OK",6,CAGDP2,2,"..."," Private industries ","Thousands of dollars",238889,258222,239022,237861,272889,281704,271517,260643,254930,313628,328194,335145,304497,310650,361328,350498,368503,404952,377323,352112,432262
 "40001","Adair, OK",6,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",(D),(D),(D),35783,(D),(D),15595,2155,3582,53419,63947,56322,52619,41317,75751,53494,65559,(D),44239,3667,43094
 "40001","Adair, OK",6,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",22,41,159,71,69,82,76,75,65,65,64,62,58,255,469,47,53,33,0,0,0
 "40001","Adair, OK",6,CAGDP2,10,"22","  Utilities ","Thousands of dollars",2421,2345,2603,2311,2338,2562,2444,2523,2844,2595,2699,2649,2827,2929,3037,3339,3397,3539,3913,(D),4110
 "40001","Adair, OK",6,CAGDP2,11,"23","  Construction ","Thousands of dollars",(D),(D),(D),9878,(D),(D),10759,9651,11701,13673,16398,19090,16661,15633,17861,23952,27271,(D),19781,16603,17747
 "40001","Adair, OK",6,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",77735,87670,87684,70403,88277,97935,99986,101680,86107,85633,85991,82597,77967,85790,87018,87654,84473,111025,87975,85208,98822
 "40001","Adair, OK",6,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),50684,46749,57558,54845,51081,46096,74169,47760,38166,45640
 "40001","Adair, OK",6,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),31913,31218,28232,32173,36573,38377,36856,40214,47042,53181
 "40001","Adair, OK",6,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",4241,4670,4127,3714,(D),(D),(D),(D),6047,7500,6939,6237,4867,6226,7826,9566,11583,11586,15527,(D),(D)
 "40001","Adair, OK",6,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",21735,22856,19959,15675,17440,19229,19458,19440,19705,20582,20501,20845,22037,24218,26037,27754,33017,35355,36860,42652,47671
 "40001","Adair, OK",6,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",(D),(D),(D),(D),7319,10249,9950,9364,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),17832,19617
 "40001","Adair, OK",6,CAGDP2,45,"51","  Information ","Thousands of dollars",2708,2439,(D),(D),(D),1889,1831,1505,1921,(D),(D),1829,1801,1598,1572,2140,2156,2510,2013,2002,2038
 "40001","Adair, OK",6,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",34604,40465,41574,44083,45494,52867,49674,49184,49197,55528,55362,72534,57574,58708,64968,61728,64495,75325,85691,94250,107711
 "40001","Adair, OK",6,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",(D),8688,8613,8654,8807,8309,8015,7847,7830,8270,8830,8987,7980,8674,9274,10809,11168,11449,10828,9302,10910
