GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "41000","Oregon",8,CAGDP2,1,"...","All industry total ","Thousands of dollars",116963554,120665503,126671528,135646754,143507792,153593122,159585201,164925429,159607329,164137208,170630876,174610955,179527671,188120670,200659572,211305877,222601582,237113695,247233076,247966696,272190883
 "41000","Oregon",8,CAGDP2,2,"..."," Private industries ","Thousands of dollars",100197822,103292201,108876045,117301891,124548978,133243946,138434154,142671916,136519299,140480360,146056882,150395023,154883030,162406837,173687466,183557409,193577428,206462873,214735095,214688800,237011693
 "41000","Oregon",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",2652839,2762989,3187386,3524663,3424670,3820774,3580584,3494564,3101010,3059810,3432684,3661526,3974453,4054222,4110845,4175516,3869353,4255795,3875183,3932484,4311403
 "41000","Oregon",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",152377,171712,187459,234877,281460,317991,394726,308153,294705,249034,237294,200314,196263,199135,186391,247622,284699,309576,280425,306965,364338
 "41000","Oregon",8,CAGDP2,10,"22","  Utilities ","Thousands of dollars",1645481,1640060,1614591,1806617,1647478,1893008,1797508,2281028,2249519,2689881,3292601,3016307,2930656,2855951,2666000,2904823,2956317,2771372,3068673,3285285,3725809
 "41000","Oregon",8,CAGDP2,11,"23","  Construction ","Thousands of dollars",5526727,5349172,5433357,6111437,7098958,8213980,8769176,7974940,6442965,5419579,5376286,6089362,6512718,7105216,7583012,8594070,9602223,10698124,11508548,11826137,12473742
 "41000","Oregon",8,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",19312859,20654577,22352259,25509063,25369590,26663514,26153013,26635966,24694961,25897810,27923041,26783712,27537801,28175710,29881277,30364816,31301940,33819079,33242011,34592034,36208385
 "41000","Oregon",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",15237997,16235983,18405205,21112912,20738235,21659278,21244546,22118401,19206968,20926169,23041280,22108862,22311431,22726820,23839565,24394785,24982291,27134326,26424853,27456778,28474690
 "41000","Oregon",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",4074862,4418594,3947055,4396151,4631355,5004237,4908467,4517565,5487993,4971641,4881761,4674849,5226370,5448890,6041713,5970031,6319649,6684754,6817159,7135257,7733694
 "41000","Oregon",8,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",7435217,7479588,7962981,8941659,9726041,10408354,11037454,11298280,10420042,10931682,11157323,11947664,10625344,10938631,11523284,11850479,12363903,12988200,13736259,13796693,15845589
 "41000","Oregon",8,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",7388945,7587466,7886941,8123956,8552278,9091251,9153344,8749204,8449739,8650476,8646790,9074832,9501270,9754706,10401903,10904733,11567831,12177479,12766785,13212249,15404658
 "41000","Oregon",8,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",3392621,3419225,3669963,4089127,4430145,4641881,4642027,4711921,4341312,4621013,4683341,5033371,5097856,5428652,5843543,6108521,6438357,6809067,7199258,6337186,7425305
 "41000","Oregon",8,CAGDP2,45,"51","  Information ","Thousands of dollars",4185275,4241884,4398621,4822017,4997576,5287863,5888625,6291938,6137828,6341572,6452687,6351963,6652546,6827796,7373508,7608507,8399586,9121693,9387792,10050148,11586947
 "41000","Oregon",8,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",22116485,22500872,23169568,23028015,25926756,27059359,28913007,30791149,30911648,31830544,32194182,32808303,33209559,35327464,37661729,40831151,43069445,45786467,48314776,47957392,51041809
 "41000","Oregon",8,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",5373343,5751392,6106195,6040999,6593736,7133544,7315949,6402927,7145543,7046604,7318768,7882218,7245139,8639810,9377607,10378838,10181441,11057246,11565981,11462824,12681585
 "41000","Oregon",8,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",16743142,16749480,17063373,16987016,19333020,19925815,21597058,24388222,23766104,24783940,24875414,24926084,25964420,26687655,28284122,30452312,32888003,34729221,36748795,36494568,38360224
 "41000","Oregon",8,CAGDP2,59,"54, 55, 56","  Professional and business services ","Thousands of dollars",11155324,11217824,11659085,12370782,13284749,14360157,15543084,16585247,15692941,16222376,16928931,17951979,20518699,21971623,24059885,25326050,27199918,29213501,30904506,31263557,35080078
 "41000","Oregon",8,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",5688985,5685058,5850629,6262939,6524455,6991481,7578578,8415766,8047814,8364285,8972856,9520064,9949173,10580423,11460961,12313949,13288932,14574115,15247858,15039369,16500366
 "41000","Oregon",8,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",2431071,2302753,2442039,2604584,2804369,3097202,3411988,3535693,3330527,3411999,3453164,3625854,5604238,6073487,6971703,7127227,7585485,7925699,8585797,9221047,10498946
 "41000","Oregon",8,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",3035269,3230013,3366417,3503258,3955925,4271474,4552518,4633788,4314600,4446093,4502910,4806061,4965288,5317713,5627222,5884874,6325502,6713687,7070850,7003141,8080765
 "41000","Oregon",8,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of dollars",8610009,9301853,10185455,10952496,11510001,12635786,13327273,14630050,15082783,15599382,16121886,16974630,17452200,18077826,19524898,20817883,21717277,22562558,23833640,24187094,25870942
