GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "42000","Pennsylvania",2,CAGDP2,1,"...","All industry total ","Thousands of dollars",427108587,440971677,460270612,487306119,511731413,531274069,565831789,588024592,582144799,604736812,624819701,647925864,668569057,694142612,714202878,726561931,746440960,773977404,799888848,771613206,844496474
 "42000","Pennsylvania",2,CAGDP2,2,"..."," Private industries ","Thousands of dollars",381048704,392211623,408959578,432980803,455407192,472707636,504357364,524297734,516928382,538134676,558699118,582114350,600143497,624832367,643225366,654459195,673839039,699235369,723435885,694923156,765104249
 "42000","Pennsylvania",2,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",2467570,2057665,2619187,3267863,3082153,3023627,3242240,3072583,2559184,2994267,3595917,3734028,4162505,4570613,3618625,2918587,3551618,3216765,3284776,2832341,3829400
 "42000","Pennsylvania",2,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",2193381,2096641,2363670,2732295,3545194,4211186,5205894,6141313,6462061,8529472,11238344,11941000,11459722,14867556,10242195,8206661,10086884,11029349,10300067,7843124,12745406
 "42000","Pennsylvania",2,CAGDP2,10,"22","  Utilities ","Thousands of dollars",9249941,8846824,8797335,8998038,8835700,9542491,10060720,10123427,10917131,11885823,12456622,11773861,11831903,12232848,12560027,12708822,12412264,12356035,12500173,12492058,13822170
 "42000","Pennsylvania",2,CAGDP2,11,"23","  Construction ","Thousands of dollars",18310523,18816620,19562034,20256609,21675709,23101044,23865966,23148428,19986753,21216961,22568243,23150714,23805109,25207687,26471618,27180381,28642664,29844453,31369320,29059190,31230879
 "42000","Pennsylvania",2,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",74283004,74666325,73707889,71884181,72777765,76689710,77773287,77883595,73622694,73889221,74413518,75680157,80431267,86904417,87195796,85385573,90536837,92257681,96514670,91022570,101947242
 "42000","Pennsylvania",2,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",33275185,31920810,31385274,34550056,36879525,40200541,39864871,41290058,35510331,37074848,40360924,40518214,42721673,42147973,42652166,40678767,44644958,45829286,46408322,42924282,48059148
 "42000","Pennsylvania",2,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",41007819,42745515,42322615,37334125,35898240,36489169,37908416,36593537,38112363,36814373,34052594,35161943,37709594,44756444,44543630,44706806,45891878,46428395,50106348,48098287,53888094
 "42000","Pennsylvania",2,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",24037640,24435674,26081632,28484531,30572469,32566653,33716379,34590535,33098646,35637869,37589248,39438249,40629292,42098974,43274053,41955693,42996546,44206893,45468596,44182981,49351552
 "42000","Pennsylvania",2,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",28541342,29179122,31036681,31501069,32466839,32783546,32559645,31642223,31818887,32589545,33184588,33652002,34533841,34346565,35592954,36685696,36953605,38347231,39999967,40804510,47265389
