GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "44000","Rhode Island",1,CAGDP2,1,"...","All industry total ","Thousands of dollars",35862845,37809240,39637964,42363863,44374130,47204393,47340757,47277451,47702174,49468339,50206102,51583009,53034096,54559679,56390807,57353495,58084984,59290780,61642824,60770647,66570874
 "44000","Rhode Island",1,CAGDP2,2,"..."," Private industries ","Thousands of dollars",30586835,32279694,33758212,36079423,37809896,40361313,40250941,40105557,40738846,42293436,42899837,44289877,45702939,47147834,48820017,49693988,50034833,51046400,53223161,52231429,57668383
 "44000","Rhode Island",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",127360,125473,126667,120553,112710,124415,105955,117422,110858,118731,115157,106146,103882,100620,112534,109398,114267,109645,104245,104459,108071
 "44000","Rhode Island",1,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",15230,20177,20463,28916,27887,27787,31449,37340,38375,26076,18869,24364,19253,44988,58389,54802,61802,51208,46744,46808,63789
 "44000","Rhode Island",1,CAGDP2,10,"22","  Utilities ","Thousands of dollars",577386,455100,508201,547643,547281,658140,640633,703139,748585,800210,780899,749730,789274,829389,863803,857835,871909,914166,958324,992361,1093372
 "44000","Rhode Island",1,CAGDP2,11,"23","  Construction ","Thousands of dollars",1734072,1771689,2022400,2200593,2424415,2558086,2557264,2260611,2070476,1950787,1874984,1955966,1875221,1869837,1898713,1979062,2017356,2201449,2370583,2272020,2441205
 "44000","Rhode Island",1,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",4393867,4648222,4189162,4606016,4201259,4804817,4225594,4234187,3867372,4042980,4018595,4024304,4426856,4312369,4847761,4894475,4798961,4924151,4844360,4704426,5280405
 "44000","Rhode Island",1,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",3124377,3282269,2846721,3324080,3034181,3154986,3028755,3023128,2641576,2740049,2722850,2663313,2839410,2671211,3024872,3229116,2960680,3100454,3239227,2924280,3362966
 "44000","Rhode Island",1,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",1269489,1365952,1342441,1281936,1167078,1649831,1196839,1211059,1225796,1302931,1295745,1360991,1587446,1641158,1822889,1665359,1838282,1823697,1605133,1780146,1917439
 "44000","Rhode Island",1,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",1840578,1913353,2012370,2099856,2220440,2289454,2394091,2411077,2380536,2621056,2734888,2971503,3116044,3200286,3360036,3240526,3263691,3321108,3442701,3284875,3814103
 "44000","Rhode Island",1,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",2463092,2666479,2847967,2890655,2928851,2905801,2892524,2778081,2687643,2813979,2829658,2889982,2958964,2953675,3062285,3073245,3122027,3295483,3485722,3637151,4152812
 "44000","Rhode Island",1,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",582057,607713,656199,683295,723996,769227,737352,779793,762116,796199,836505,898355,882698,889384,936886,960763,988732,1037491,1084864,902673,1024675
 "44000","Rhode Island",1,CAGDP2,45,"51","  Information ","Thousands of dollars",1316254,1534897,1655582,1924930,1914263,1946750,1726069,1893666,1895882,1949971,1985667,1795252,1792866,1815908,1790421,1755585,1406208,1399193,1459469,1457555,1598407
 "44000","Rhode Island",1,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",7800853,8051998,8341181,8906883,9949053,10539592,11103728,10275391,11564354,11669359,11958661,12550951,12758003,13584929,13467272,13880724,13892496,13633493,14606786,15337233,15865995
 "44000","Rhode Island",1,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",2954784,2990744,3034523,3264701,3466902,3849287,4158404,2980135,4118672,3794361,3876792,4522187,4394360,5240366,5343064,5740430,5771378,5783201,6464955,6774142,6941937
 "44000","Rhode Island",1,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",4846069,5061254,5306658,5642182,6482151,6690305,6945324,7295256,7445682,7874998,8081870,8028764,8363644,8344563,8124208,8140294,8121118,7850292,8141830,8563091,8924058
 "44000","Rhode Island",1,CAGDP2,59,"54, 55, 56","  Professional and business services ","Thousands of dollars",3314253,3456021,3936865,4224356,4498640,4978465,5089912,5423043,5117625,5498088,5599525,5928814,6280376,6611216,6946478,7158654,7531031,7808780,7761928,7804980,8888346
 "44000","Rhode Island",1,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",1819311,1947130,2049735,2198196,2286868,2583242,2548539,2783519,2653994,2768406,2810307,2885545,2966134,3082814,3254467,3299222,3486836,3652500,3773572,3721908,4241388
 "44000","Rhode Island",1,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",625378,648221,975610,999464,1085781,1232569,1299710,1373442,1240098,1400618,1448793,1646169,1815083,1970154,2073897,2192142,2238189,2224588,1997500,2157244,2392372
 "44000","Rhode Island",1,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",869564,860670,911520,1026696,1125991,1162654,1241663,1266081,1223533,1329064,1340426,1397100,1499159,1558249,1618114,1667289,1806006,1931692,1990856,1925828,2254586
 "44000","Rhode Island",1,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of dollars",4001657,4392975,4684030,5030604,5314581,5621597,5780556,6182174,6546772,6870738,6935856,6998096,7189926,7354964,7647034,7719620,7829597,8058933,8473226,8125737,8693435
 "44000","Rhode Island",1,CAGDP2,69,"61","   Educational services ","Thousands of dollars",878229,923907,993977,1101764,1151108,1240034,1303030,1424150,1571011,1661302,1712177,1678955,1721163,1798119,1875566,1874936,1924744,2027460,2097466,1943340,2016887
 "44000","Rhode Island",1,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",3123428,3469068,3690053,3928840,4163473,4381563,4477526,4758024,4975761,5209437,5223679,5319141,5468763,5556845,5771467,5844683,5904853,6031473,6375760,6182397,6676548
 "44000","Rhode Island",1,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",1505139,1639867,1752519,1787713,1865443,1932337,1854114,1932943,1898283,2077857,2156912,2324179,2423391,2441363,2645847,2793389,2898399,3009402,3269337,2405908,3277094
 "44000","Rhode Island",1,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",361480,401147,459055,443397,449848,465106,444365,439288,439073,495509,513760,536467,567751,629679,665073,706473,716328,678002,614292,386486,515193
 "44000","Rhode Island",1,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",1143659,1238720,1293464,1344316,1415595,1467231,1409749,1493654,1459209,1582348,1643152,1787712,1855640,1811684,1980774,2086916,2182070,2331400,2655044,2019422,2761901
 "44000","Rhode Island",1,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",915036,995731,1004606,1027409,1081078,1204845,1111699,1076689,1049971,1057405,1053660,1072234,1086184,1138907,1182559,1215911,1238356,1281898,1314873,1155240,1366674
 "44000","Rhode Island",1,CAGDP2,83,"...","Government and government enterprises ","Thousands of dollars",5276011,5529546,5879752,6284440,6564234,6843080,7089816,7171894,6963328,7174903,7306265,7293132,7331157,7411844,7570790,7659508,8050150,8244379,8419663,8539218,8902491
 "44000","Rhode Island",1,CAGDP2,87,"11, 21","Natural resources and mining ","Thousands of dollars",142591,145649,147129,149469,140597,152203,137403,154763,149233,144807,134026,130510,123135,145608,170922,164200,176069,160853,150989,151267,171861
 "44000","Rhode Island",1,CAGDP2,88,"42, 44-45","Trade ","Thousands of dollars",4303670,4579831,4860338,4990512,5149290,5195255,5286615,5189158,5068178,5435035,5564547,5861485,6075009,6153961,6422321,6313770,6385718,6616591,6928423,6922027,7966915
 "44000","Rhode Island",1,CAGDP2,89,"22, 48-49","Transportation and utilities ","Thousands of dollars",1159443,1062813,1164400,1230938,1271278,1427367,1377985,1482932,1510701,1596409,1617404,1648085,1671972,1718772,1800689,1818598,1860641,1951658,2043188,1895034,2118047
 "44000","Rhode Island",1,CAGDP2,90,"31-33, 51","Manufacturing and information ","Thousands of dollars",5710120,6183119,5844744,6530946,6115522,6751566,5951664,6127853,5763254,5992951,6004262,5819556,6219722,6128276,6638182,6650060,6205170,6323344,6303829,6161982,6878812
 "44000","Rhode Island",1,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",6270529,6565560,6358691,6956078,6766271,7515106,6920262,6649561,6087081,6138574,6027605,6110781,6425212,6327814,6917396,7037737,6992386,7286453,7365932,7127714,7893470
 "44000","Rhode Island",1,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",24316305,25714134,27399522,29123345,31043626,32846207,33330679,33455996,34651765,36154862,36872232,38179096,39277727,40820020,41902621,42656251,43042447,43759947,45857229,45103715,49774913
