GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "48000","Texas",6,CAGDP2,1,"...","All industry total ","Thousands of dollars",773375473,789817593,833342258,913444373,995252430,1103197618,1191093058,1244294865,1169607677,1245959423,1341334387,1421180088,1515195596,1579299467,1573498371,1579014883,1673234322,1809396730,1858757760,1789933358,2051768556
 "48000","Texas",6,CAGDP2,2,"..."," Private industries ","Thousands of dollars",685207415,695126854,732981069,809299497,885462627,987305616,1067070180,1112552357,1029748201,1099992876,1194545062,1269653227,1358691852,1417855778,1404555240,1403734069,1491976233,1622048396,1666896836,1586466898,1839497844
 "48000","Texas",6,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",6187881,6862869,8332649,9644229,8215488,7232836,8152118,6211824,5467577,8912612,8335187,8137530,10790581,10281811,12226318,9233075,10230040,9707994,8330860,8017415,11296537
 "48000","Texas",6,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",51936522,48046602,62415212,72785896,99245090,116231817,137390451,177803880,112391050,122264465,146587035,159620748,186362957,205168006,122168484,99193085,126507876,155545054,146548439,87205909,165634396
 "48000","Texas",6,CAGDP2,10,"22","  Utilities ","Thousands of dollars",20208856,18051380,18970419,19694981,19719527,22947042,22870451,22044173,22437092,24487471,26534109,24732190,25317153,25617920,25862738,26239460,28084588,29826267,30981929,28841645,33186267
 "48000","Texas",6,CAGDP2,11,"23","  Construction ","Thousands of dollars",41460978,42387294,44004028,43579834,49351971,56936836,64643070,64864065,59850616,55764887,56964791,63763073,67580438,74099183,79036655,82320246,84307624,86145256,92380311,91178047,93562613
 "48000","Texas",6,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",106014169,105119999,109168162,141190679,146163120,167521098,181824765,163232263,154600491,176870356,204512422,207319650,224691784,202279705,211751846,197648851,215097175,243819765,225918783,197650331,226953076
 "48000","Texas",6,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",54051108,55911715,55087023,65120685,70855279,82350519,83844431,87670430,78648885,83455570,92904970,96039930,102093268,104452024,101321272,101513182,105900749,115277198,115017252,108751747,116154142
 "48000","Texas",6,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",51963061,49208285,54081139,76069993,75307840,85170579,97980334,75561833,75951606,93414786,111607452,111279719,122598517,97827682,110430574,96135669,109196425,128542567,110901531,88898584,110798934
 "48000","Texas",6,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",51960396,50713328,52230611,60378265,67060730,74026865,81382553,87277772,84363472,92886040,101933410,115923706,121598575,126868638,131585846,129994355,130616724,140074035,147973517,148824451,167764304
