GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "50000","Vermont",1,CAGDP2,1,"...","All industry total ","Thousands of dollars",19323214,20273046,21293219,22938216,23608610,24331545,24797698,25999259,26099174,27406590,28418672,29241252,29289553,30099387,30933288,31661191,32266135,33066833,34230814,34018597,37103805
 "50000","Vermont",1,CAGDP2,2,"..."," Private industries ","Thousands of dollars",16736646,17523681,18332241,19759584,20269405,20832181,21187111,22209092,22258971,23492777,24305082,25148069,25000221,25774526,26469857,27167348,27675606,28335918,29376402,28952028,31954005
 "50000","Vermont",1,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",313453,253716,283432,365025,371652,316555,419705,432762,302674,387483,485348,449595,507502,571551,433729,399802,426280,390900,441549,362759,410071
 "50000","Vermont",1,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",67310,72607,93669,92582,123155,147690,145200,154288,213974,233287,227310,191740,169901,169592,174805,159344,191484,125513,108593,152497,164612
 "50000","Vermont",1,CAGDP2,10,"22","  Utilities ","Thousands of dollars",422197,422849,426506,496160,483915,519526,551348,560363,680298,755171,686277,718194,762946,757025,762317,634336,617938,661957,663999,667963,726403
 "50000","Vermont",1,CAGDP2,11,"23","  Construction ","Thousands of dollars",958175,976525,1007797,1136746,1177687,1221715,1181944,1060437,1061218,1044132,1075317,1099830,1059921,1050290,1064223,1112346,1139030,1139965,1170593,1122103,1219476
 "50000","Vermont",1,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",2981144,2905929,2896446,2949945,2879285,3132071,2634237,2941798,2651048,3113151,3212469,3397571,2758106,2745097,2976337,2954276,2981666,3067194,3125005,3260080,3462002
 "50000","Vermont",1,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",2315074,2244106,2251392,2267718,2206562,2335314,1810946,2072135,1890936,2334910,2401038,2628573,1959195,1857823,1918251,1910879,1907406,1957002,2020231,2108694,2276353
 "50000","Vermont",1,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",666070,661823,645054,682227,672723,796757,823291,869663,760113,778241,811432,768998,798910,887274,1058086,1043397,1074261,1110193,1104774,1151386,1185648
 "50000","Vermont",1,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",934227,980280,1085545,1155959,1173702,1186048,1205691,1230752,1216723,1332638,1411739,1482135,1513539,1504809,1563998,1654019,1609973,1675481,1785929,1757425,1968659
 "50000","Vermont",1,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",1623254,1715790,1797789,1911073,1999619,1990641,1973863,1995276,1942745,1991503,2038210,2050410,2136395,2174755,2269303,2321778,2390561,2469897,2536432,2529687,2927723
 "50000","Vermont",1,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",396009,409132,427308,461202,488139,499400,497939,508696,483970,501136,522815,518942,504164,514797,514536,510202,538442,554707,578772,522463,592996
 "50000","Vermont",1,CAGDP2,45,"51","  Information ","Thousands of dollars",571005,634893,656421,744092,753037,717994,781989,929610,979212,981370,927331,862466,904364,864820,837039,841952,814040,820213,873204,870878,939593
 "50000","Vermont",1,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",3376572,3668711,3898711,4231846,4366452,4399758,4813628,4919259,5139189,5364412,5564814,5797822,5764227,6308348,6257809,6481314,6417623,6338521,6582604,6843431,7243733
 "50000","Vermont",1,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",959657,1061769,1166592,1225209,1360840,1364052,1413482,1250760,1309126,1259670,1306209,1422624,1323826,1781378,1633029,1742961,1740889,1861741,1960065,1957908,2095381
 "50000","Vermont",1,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",2416915,2606941,2732119,3006637,3005612,3035706,3400146,3668499,3830063,4104741,4258605,4375199,4440402,4526970,4624780,4738353,4676734,4476780,4622540,4885523,5148351
 "50000","Vermont",1,CAGDP2,59,"54, 55, 56","  Professional and business services ","Thousands of dollars",1445627,1513037,1593995,1830091,1876624,1956873,2053100,2266099,2249939,2330424,2528784,2672034,2798065,2836092,2984565,3085275,3252377,3422486,3604795,3655075,4220137
 "50000","Vermont",1,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",1061955,1120725,1177447,1360358,1391088,1477211,1518515,1637854,1615802,1661192,1757356,1793909,1847347,1827495,1960980,2017325,2115932,2234152,2320725,2373611,2722322
 "50000","Vermont",1,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",24696,25233,26139,29343,30656,18862,17838,85270,87119,103160,159978,218352,229319,251133,264539,266186,260919,259706,299532,296912,328922
 "50000","Vermont",1,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",358976,367079,390410,440390,454880,460800,516746,542976,547018,566073,611450,659772,721399,757464,759046,801765,875525,928628,984538,984552,1168893
 "50000","Vermont",1,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of dollars",2010068,2194946,2360703,2525933,2649969,2797416,2956822,3242058,3413058,3457894,3558805,3704921,3817401,3869492,4060279,4358635,4470136,4641036,4764970,4680340,4927785
 "50000","Vermont",1,CAGDP2,69,"61","   Educational services ","Thousands of dollars",433224,454730,486198,542220,552205,579839,602309,664592,720410,722945,746329,762497,766295,778637,793891,931792,961756,981952,972680,850299,874365
 "50000","Vermont",1,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",1576845,1740217,1874505,1983713,2097763,2217577,2354513,2577467,2692648,2734948,2812477,2942424,3051106,3090854,3266388,3426843,3508380,3659084,3792290,3830041,4053420
 "50000","Vermont",1,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",1073049,1172673,1210232,1252485,1307071,1320521,1358741,1368383,1333972,1404754,1467927,1564071,1655791,1735261,1877098,1945812,2106800,2254529,2347703,1788964,2327955
 "50000","Vermont",1,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",200828,227658,247992,245859,234934,237031,246719,258703,268813,292732,301768,324297,324321,351492,329544,347485,356263,383776,382320,272635,368570
 "50000","Vermont",1,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",872221,945015,962240,1006626,1072137,1083490,1112022,1109681,1065159,1112022,1166159,1239774,1331470,1383769,1547554,1598327,1750536,1870753,1965382,1516329,1959386
 "50000","Vermont",1,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",564554,602593,593688,606444,619099,625973,612904,599311,590952,595421,597936,638338,647899,672597,693818,708255,719258,773520,792254,738364,822862
 "50000","Vermont",1,CAGDP2,83,"...","Government and government enterprises ","Thousands of dollars",2586568,2749365,2960978,3178632,3339205,3499364,3610586,3790167,3840203,3913813,4113590,4093183,4289332,4324860,4463431,4493843,4590530,4730915,4854412,5066569,5149799
