GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "53000","Washington",8,CAGDP2,1,"...","All industry total ","Thousands of dollars",238418591,245978544,255370157,268378346,293675976,314265242,342024216,354794080,351245043,365497753,379574857,400530582,419092381,440647989,466689704,487275114,519409583,564313916,595231822,612969130,677489451
 "53000","Washington",8,CAGDP2,2,"..."," Private industries ","Thousands of dollars",204526947,209779586,217270907,228514264,251200821,268569359,294174538,303299924,297628146,310203660,323862627,342770007,360162495,379694778,403966247,421576454,451072535,492605741,520766569,536135019,597140148
 "53000","Washington",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",3512801,3728741,4588103,5068537,4797302,5244182,6154269,5781947,5436134,5809356,6981471,7298671,7295146,7134007,7837108,7199860,7256796,7572152,7462054,7456947,7378596
 "53000","Washington",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",257412,260133,319867,330803,579985,822827,756202,513683,517866,533510,497335,375623,394312,447457,416667,460293,551940,647172,499753,396489,508754
 "53000","Washington",8,CAGDP2,10,"22","  Utilities ","Thousands of dollars",2896161,2717409,2939313,3163574,3079196,3528808,3313403,3419326,3606332,3823293,4033669,4038703,4078675,4187364,4179737,4291417,4440489,4395694,4726812,4789347,5290575
 "53000","Washington",8,CAGDP2,11,"23","  Construction ","Thousands of dollars",10613632,10426591,11067990,12306454,14379004,16172391,18561864,17357074,13738455,12086447,11352124,12539504,14368665,15987836,17555141,19709211,21871076,24526465,25750688,25562427,27529635
 "53000","Washington",8,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",32165252,31906622,29999465,30438294,39144563,42388422,47739240,45458318,47735894,51707111,53905867,57780519,60178586,62816150,67569269,59730574,60314584,62955476,64238037,59971374,63288530
 "53000","Washington",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",25013176,22958512,21823214,22744682,27749245,32098210,36499061,35543640,36885455,40246720,43068733,47415720,49326877,51889108,54660822,47561444,47332123,48229593,49357059,46551778,46238337
 "53000","Washington",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",7152075,8948110,8176250,7693612,11395318,10290212,11240179,9914677,10850440,11460390,10837133,10364799,10851709,10927042,12908447,12169130,12982461,14725884,14880978,13419596,17050193
 "53000","Washington",8,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",13912200,13646671,14277038,15680056,16886231,18182833,19242183,20116553,19072013,20372226,21494251,22787399,23671912,24655210,25959708,26158236,27441204,29246575,30965156,30923716,35353633
