GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "55000","Wisconsin",3,CAGDP2,1,"...","All industry total ","Thousands of dollars",188163105,194658763,203339170,215537083,227296956,237569327,245839456,246814519,247209962,256432868,266364353,277107120,284270853,295695990,307507921,314073263,318310377,332498599,345236434,340591065,368611259
 "55000","Wisconsin",3,CAGDP2,2,"..."," Private industries ","Thousands of dollars",166488981,171864258,179287420,190605755,201464155,210642337,217505646,217113047,216139477,224501318,234191735,244109391,251389478,261887842,273487811,279700436,283636659,296638069,308357150,302886314,329495299
 "55000","Wisconsin",3,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",2852463,2672007,3063269,3874619,3399614,3360303,4366002,3757399,2768926,3731259,5145418,4938085,5411949,5632813,5213761,4410559,4675737,4617048,4496645,4746348,5583151
 "55000","Wisconsin",3,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",265277,291780,320019,403170,400315,500979,472721,471832,491667,614246,516375,491547,588401,991689,1367924,618113,705014,1197535,818646,515832,580134
 "55000","Wisconsin",3,CAGDP2,10,"22","  Utilities ","Thousands of dollars",3284909,3142655,3317910,3613953,3533390,4006021,4095429,4568973,4630551,4979985,5280127,5175130,5399057,5551581,5466795,5547367,5471185,5218033,5166887,4947386,5301197
 "55000","Wisconsin",3,CAGDP2,11,"23","  Construction ","Thousands of dollars",8685865,8763444,9258498,10068959,10579098,10582617,10857110,10324308,9426601,8537181,8394009,9001830,9667549,10390109,11273548,11903206,12670493,13472197,14250183,14299580,15051041
 "55000","Wisconsin",3,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",42958949,42999806,43582572,45081225,46503852,49859285,49422458,46422073,44840748,48164631,50428537,54123218,56013211,56985752,58754943,58781973,57535478,59094341,62951368,60109058,66315662
 "55000","Wisconsin",3,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",24677682,24240468,25746308,26884993,28466165,30134568,29914427,28100586,24000321,27159663,30249989,32553857,34291238,33457625,34399415,33493434,34316720,35563914,36940103,33862348,38270220
 "55000","Wisconsin",3,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",18281266,18759338,17836264,18196232,18037687,19724717,19508031,18321487,20840427,21004968,20178548,21569360,21721974,23528127,24355529,25288539,23218758,23530427,26011265,26246710,28045443
 "55000","Wisconsin",3,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",10534976,10719387,10864700,12012667,12949149,13682719,14130792,14977820,14304844,15042833,15595983,16523570,17353117,17826598,18623429,18893737,19661421,20859320,20756218,21262521,24076815
 "55000","Wisconsin",3,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",13267207,13776829,14292200,14340665,14609518,14981392,14752770,14639093,14339717,14352800,14835013,14907856,15795205,16106110,16879897,17398166,17736381,18319486,18924332,19605707,22143462
 "55000","Wisconsin",3,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",5850286,5962008,6288217,6702939,7126015,7495190,7197012,7159136,6920566,7375895,7658994,7816877,8191052,8604625,9066860,9126468,9494507,9923396,10251197,9778162,11027539
 "55000","Wisconsin",3,CAGDP2,45,"51","  Information ","Thousands of dollars",5338008,5970441,6082651,6956934,7372283,7548419,8022688,8479192,8498789,8714200,8947047,8783689,9553611,9906898,10761282,11150452,11249537,11736231,12765179,13141891,13884599
 "55000","Wisconsin",3,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",33703327,35028288,37277754,39579287,44757329,45480345,48572600,47352401,50507955,51622433,53569294,56280296,55050432,59530463,62406488,64777047,64340299,67565733,69189326,68208523,70964883
 "55000","Wisconsin",3,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",11666889,11993485,13128554,14673745,16997269,17340358,18511260,15886841,17387936,17785815,18246966,20168928,18420173,22966290,25390947,27050319,25766106,27952521,28869415,28162875,29908369
 "55000","Wisconsin",3,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",22036439,23034803,24149200,24905541,27760060,28139987,30061340,31465560,33120019,33836618,35322328,36111369,36630259,36564173,37015542,37726728,38574193,39613212,40319911,40045648,41056514
 "55000","Wisconsin",3,CAGDP2,59,"54, 55, 56","  Professional and business services ","Thousands of dollars",14367444,15213851,16157487,17228851,18248459,19580366,21025622,22381835,21347052,22772201,23822130,24739400,25804603,26944733,28542188,30074625,31239985,33329668,34480913,34199264,37103435
 "55000","Wisconsin",3,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",7196619,7701908,7977654,8401561,8900495,9494732,10203724,11250516,10685057,11112027,11284120,11801782,11923384,12369368,13278510,13669428,14265923,15295864,16210521,16307674,17743853
 "55000","Wisconsin",3,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",3433695,3651122,4148500,4420786,4486508,4948588,5178866,5195883,5255524,5768513,6239951,6607317,7216090,7637802,8199872,9158750,9135555,9660051,9658903,9643730,10137095
 "55000","Wisconsin",3,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",3737130,3860821,4031333,4406503,4861456,5137046,5643032,5935436,5406471,5891661,6298059,6330301,6665129,6937563,7063806,7246447,7838507,8373753,8611489,8247860,9222487
 "55000","Wisconsin",3,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of dollars",15255254,16535006,17778948,19223505,19921526,21008434,21900193,23734661,25213663,25487862,26433929,27226323,28023466,28097713,29196016,30607884,31769656,33129695,34847121,34702210,36818172
 "55000","Wisconsin",3,CAGDP2,69,"61","   Educational services ","Thousands of dollars",1573212,1628906,1787238,1994901,1993865,2142631,2290958,2541154,2847524,3016749,3147746,3230604,3308579,3339351,3373622,3591495,3568886,3748021,3970383,3610586,3876363
 "55000","Wisconsin",3,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",13682042,14906101,15991709,17228605,17927661,18865803,19609235,21193507,22366139,22471113,23286184,23995719,24714887,24758362,25822394,27016389,28200770,29381674,30876738,31091625,32941809
