GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "56000","Wyoming",7,CAGDP2,1,"...","All industry total ","Thousands of dollars",18708262,19165585,21193570,23429384,27576303,32740309,36950798,42819303,36251965,37680713,39751379,38855405,39289779,40310605,38426890,35878962,36980650,39171653,39428044,36330380,41510213
 "56000","Wyoming",7,CAGDP2,2,"..."," Private industries ","Thousands of dollars",15746273,15973763,17753479,19806597,23776701,28687502,32440693,37943467,31171071,32450094,34445234,33318744,33411259,34269194,32276690,29720835,30695073,32775527,32994023,29766800,34699797
 "56000","Wyoming",7,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",412187,308659,425621,450983,427734,428770,361517,448429,443942,526274,792703,561194,718484,755929,705526,643575,639293,676066,651608,639803,646738
 "56000","Wyoming",7,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",3806340,3718141,4809866,6010647,8632427,11409807,12637108,16184266,11651624,12269080,13071872,10195663,10137324,10122217,7023816,5776032,6493155,6855729,6178703,4566590,6462202
 "56000","Wyoming",7,CAGDP2,10,"22","  Utilities ","Thousands of dollars",498535,508912,530249,566038,570607,650079,690508,737825,831524,921167,955542,964522,991165,991946,1011402,1055644,1035519,1001447,1023001,1011615,1101258
 "56000","Wyoming",7,CAGDP2,11,"23","  Construction ","Thousands of dollars",1168241,1221639,1238207,1238882,1407795,1711465,2037757,2249659,1992893,1937001,1840730,2037078,2098584,2287699,2197799,1998552,1845185,1940775,2309327,2193792,2244082
 "56000","Wyoming",7,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",1328672,955500,1145917,1306174,1509501,1894834,2871657,3413600,1555584,1698495,2053055,2512731,1912377,1750509,2372073,1720492,2182740,2743441,2873236,2021040,2947481
 "56000","Wyoming",7,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",261511,261526,259264,297291,315166,327491,365830,404747,385678,376711,412200,445196,435296,469289,510222,449679,502803,513700,569863,553806,590816
 "56000","Wyoming",7,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",1067161,693974,886653,1008883,1194335,1567343,2505826,3008853,1169907,1321784,1640854,2067535,1477081,1281220,1861851,1270813,1679937,2229742,2303373,1467234,2356666
 "56000","Wyoming",7,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",743974,763210,790673,864237,947746,1113005,1227465,1357298,1236046,1302788,1367196,1569177,1659927,1812630,1712418,1516721,1450731,1476879,1537423,1400950,1480188
 "56000","Wyoming",7,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",1329714,1421254,1449991,1409018,1561399,1714699,1877287,1978866,1932407,1816428,1902996,2015064,2044940,2027191,2097141,2064346,2010861,2025093,2122061,2180603,2421073
 "56000","Wyoming",7,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",953782,949511,1059464,1191176,1388151,1734098,1859229,2153118,1948501,2080079,2121433,2432031,2631792,2888960,3174872,3112027,3203749,3714471,3722042,3472130,3852527
 "56000","Wyoming",7,CAGDP2,45,"51","  Information ","Thousands of dollars",285807,331332,360694,397922,408782,440159,484186,528689,566856,577185,573552,560160,593200,570174,627248,631175,616845,642825,646506,611892,683129
 "56000","Wyoming",7,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",2447135,2740474,2801937,3079989,3466503,3590642,3996813,4126212,4201168,4438896,4680068,5076889,5136932,5462420,5586028,5556754,5374508,5646083,5628857,5514622,5827837
 "56000","Wyoming",7,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",650910,712350,671543,666623,736743,813505,866667,867884,819001,802205,851366,938258,856585,996541,986826,1016075,1031944,1123069,1147941,1276313,1517433
