state,county,GDPpercapita,Population Estimate
Alabama,Autauga,28.91,59759.0
Alabama,Baldwin,35.46,246435.0
Alabama,Barbour,30.27,24706.0
Alabama,Bibb,20.82,22005.0
Alabama,Blount,17.23,59512.0
Alabama,Bullock,25.3,10202.0
Alabama,Butler,33.99,18650.0
Alabama,Calhoun,39.94,115788.0
Alabama,Chambers,25.57,34088.0
Alabama,Cherokee,23.53,25302.0
Alabama,Chilton,23.69,45884.0
Alabama,Choctaw,46.13,12439.0
Alabama,Clarke,37.53,22515.0
Alabama,Clay,30.51,14198.0
Alabama,Cleburne,20.61,15346.0
Alabama,Coffee,29.33,54805.0
Alabama,Colbert,43.97,58033.0
Alabama,Conecuh,33.86,11206.0
Alabama,Coosa,17.47,10166.0
Alabama,Covington,33.32,37602.0
Alabama,Crenshaw,32.04,13025.0
Alabama,Cullman,33.31,90665.0
Alabama,Dale,58.36,49544.0
Alabama,Dallas,34.25,36767.0
Alabama,De Kalb,29.45,71998.0
Alabama,Elmore,22.76,89563.0
Alabama,Escambia,32.71,36666.0
Alabama,Etowah,28.14,103088.0
Alabama,Fayette,21.52,16118.0
Alabama,Franklin,30.62,31932.0
Alabama,Geneva,21.61,26783.0
Alabama,Greene,26.21,7422.0
Alabama,Hale,17.14,14595.0
Alabama,Henry,26.3,17655.0
Alabama,Houston,53.71,108079.0
Alabama,Jackson,28.77,52891.0
Alabama,Jefferson,71.81,665409.0
Alabama,Lamar,24.28,13705.0
Alabama,Lauderdale,28.7,95878.0
Alabama,Lawrence,18.09,33214.0
Alabama,Lee,36.3,180773.0
Alabama,Limestone,40.16,110900.0
Alabama,Lowndes,39.73,9777.0
Alabama,Macon,29.08,18516.0
Alabama,Madison,69.0,403565.0
Alabama,Marengo,44.02,18745.0
Alabama,Marion,31.94,29156.0
Alabama,Marshall,37.5,99423.0
Alabama,Mobile,52.04,411411.0
Alabama,Monroe,33.32,19404.0
Alabama,Montgomery,62.86,226361.0
Alabama,Morgan,46.95,124211.0
Alabama,Perry,23.15,8035.0
Alabama,Pickens,23.14,18697.0
Alabama,Pike,46.19,33014.0
Alabama,Randolph,22.35,22479.0
Alabama,Russell,27.4,58555.0
Alabama,Shelby,55.74,230115.0
Alabama,St Clair,22.15,93932.0
Alabama,Sumter,26.85,11853.0
Alabama,Talladega,38.95,80704.0
Alabama,Tallapoosa,34.32,40977.0
Alabama,Tuscaloosa,43.95,236780.0
Alabama,Walker,26.03,64339.0
Alabama,Washington,57.43,15122.0
Alabama,Wilcox,34.94,10059.0
Alabama,Winston,34.11,23755.0
Alaska,Anchorage,86186.17525275839,288121.0
Alaska,Denali,179721.28060263654,1593.0
Alaska,Kodiak Island,66345.42895127865,12787.0
Alaska,Southeast Fairbanks,109063.41463414632,6970.0
Arizona,Apache,35.84,65432.0
