state_abbrev,state_name,county_name,county_fips,project_count_eia_2021,total_capacity_mw_eia_2021,avg_capacity_mw_eia_2021,project_count_gem_2021,total_capacity_mw_gem_2021,avg_capacity_mw_gem_2021,capacity_diff_mw_eia_2021_minus_gem_2021,project_count_diff_eia_2021_minus_gem_2021
AK,Alaska,NORTHWEST ARCTIC,,8.0,0.8,0.1,,,,0.8,8.0
AL,Alabama,Calhoun,01015,1.0,7.4,7.4,1.0,7.4,7.4,0.0,0.0
AL,Alabama,Chambers,01017,1.0,79.2,79.2,1.0,79.2,79.2,0.0,0.0
AL,Alabama,Colbert,01033,1.0,227.0,227.0,1.0,227.0,227.0,0.0,0.0
AL,Alabama,Dale,01045,1.0,10.6,10.6,1.0,10.6,10.6,0.0,0.0
AL,Alabama,Lauderdale,01077,1.0,75.0,75.0,1.0,75.0,75.0,0.0,0.0
AL,Alabama,Limestone,01083,1.0,14.7,14.7,1.0,14.7,14.7,0.0,0.0
AL,Alabama,Madison,01089,1.0,10.0,10.0,1.0,10.0,10.0,0.0,0.0
AL,Alabama,Russell,01113,,,,1.0,30.0,30.0,-30.0,-1.0
AR,Arkansas,Arkansas,05001,1.0,81.0,81.0,1.0,81.0,81.0,0.0,0.0
AR,Arkansas,Ashley,05003,,,,1.0,1.0,1.0,-1.0,-1.0
AR,Arkansas,Calhoun,05013,1.0,12.0,12.0,2.0,14.0,7.0,-2.0,-1.0
AR,Arkansas,Carroll,05015,,,,1.0,1.0,1.0,-1.0,-1.0
AR,Arkansas,Chicot,05017,1.0,100.0,100.0,1.0,100.0,100.0,0.0,0.0
AR,Arkansas,Clark,05019,,,,1.0,1.0,1.0,-1.0,-1.0
AR,Arkansas,Clay,05021,,,,1.0,1.0,1.0,-1.0,-1.0
AR,Arkansas,Craighead,05031,,,,1.0,1.0,1.0,-1.0,-1.0
AR,Arkansas,Franklin,05047,1.0,5.0,5.0,1.0,5.0,5.0,0.0,0.0
AR,Arkansas,Fulton,05049,,,,1.0,1.0,1.0,-1.0,-1.0
AR,Arkansas,Garland,05051,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
AR,Arkansas,Greene,05055,,,,1.0,1.5,1.5,-1.5,-1.0
AR,Arkansas,Jackson,05067,,,,1.0,1.0,1.0,-1.0,-1.0
AR,Arkansas,Johnson,05071,2.0,7.2,3.6,2.0,7.2,3.6,0.0,0.0
AR,Arkansas,Lincoln,05079,,,,2.0,2.0,1.0,-2.0,-2.0
AR,Arkansas,Logan,05083,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0
AR,Arkansas,Miller,05091,,,,1.0,1.0,1.0,-1.0,-1.0
AR,Arkansas,Ouachita,05103,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
AR,Arkansas,Polk,05113,,,,1.0,1.0,1.0,-1.0,-1.0
AR,Arkansas,Saline,05125,1.0,1.0,1.0,2.0,2.0,1.0,-1.0,-1.0
AR,Arkansas,St Francis,,2.0,2.0,1.0,,,,2.0,2.0
AR,Arkansas,St. Francis,05123,,,,3.0,3.0,1.0,-3.0,-3.0
AR,Arkansas,Washington,05143,3.0,11.0,3.6666666666666665,4.0,13.4,3.35,-2.4000000000000004,-1.0
AR,Arkansas,White,05145,,,,2.0,3.8,1.9,-3.8,-2.0
AZ,Arizona,Apache,04001,3.0,13.4,4.466666666666667,3.0,13.4,4.466666666666667,0.0,0.0
AZ,Arizona,Cochise,04003,6.0,138.7,23.116666666666664,6.0,138.7,23.116666666666664,0.0,0.0
AZ,Arizona,GILA,,1.0,20.0,20.0,,,,20.0,1.0
AZ,Arizona,La Paz,04012,1.0,32.5,32.5,1.0,32.5,32.5,0.0,0.0
AZ,Arizona,Maricopa,04013,58.0,1374.4,23.696551724137933,36.0,1298.7,36.075,75.70000000000005,22.0
AZ,Arizona,Mohave,04015,7.0,84.3,12.042857142857143,6.0,84.7,14.116666666666667,-0.4000000000000057,1.0
AZ,Arizona,Navajo,04017,2.0,55.3,27.65,2.0,55.3,27.65,0.0,0.0
AZ,Arizona,Pima,04019,27.0,284.9,10.55185185185185,27.0,285.7,10.58148148148148,-0.8000000000000114,0.0
AZ,Arizona,Pinal,04021,9.0,320.0,35.55555555555556,12.0,385.3,32.108333333333334,-65.30000000000001,-3.0
AZ,Arizona,Santa Cruz,04023,1.0,6.0,6.0,1.0,6.0,6.0,0.0,0.0
AZ,Arizona,Yavapai,04025,4.0,47.7,11.925,4.0,47.7,11.925,0.0,0.0
AZ,Arizona,Yuma,04027,13.0,433.4,33.33846153846154,10.0,431.0,43.1,2.3999999999999773,3.0
CA,California,Alameda,06001,8.0,10.9,1.3625,5.0,9.0,1.8,1.9000000000000004,3.0
CA,California,Butte,06007,5.0,10.0,2.0,4.0,8.7,2.175,1.3000000000000007,1.0
CA,California,Contra Costa,06013,9.0,40.099999999999994,4.455555555555555,8.0,39.0,4.875,1.0999999999999943,1.0
CA,California,El Dorado,06017,6.0,6.6,1.0999999999999999,4.0,5.8,1.45,0.7999999999999998,2.0
CA,California,Fresno,06019,60.0,1013.2,16.886666666666667,56.0,1014.6,18.117857142857144,-1.3999999999999773,4.0
CA,California,Glenn,06021,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0
CA,California,Humboldt,06023,1.0,2.3,2.3,1.0,2.2,2.2,0.09999999999999964,0.0
CA,California,Imperial,06025,42.0,1857.0,44.214285714285715,42.0,1856.7,44.207142857142856,0.2999999999999545,0.0
CA,California,Inyo,06027,2.0,5.0,2.5,2.0,5.0,2.5,0.0,0.0
CA,California,KERN,,1.0,20.0,20.0,,,,20.0,1.0
CA,California,Kern,06029,104.0,3385.0,32.54807692307692,102.0,3084.9,30.244117647058825,300.0999999999999,2.0
CA,California,Kings,06031,30.0,1054.4,35.14666666666667,31.0,1057.1,34.099999999999994,-2.699999999999818,-1.0
CA,California,Lassen,06035,2.0,10.1,5.05,2.0,10.1,5.05,0.0,0.0
CA,California,Los Angeles,06037,140.0,1263.6,9.025714285714285,137.0,1596.9,11.656204379562045,-333.3000000000002,3.0
CA,California,Madera,06039,9.0,87.3,9.7,10.0,88.1,8.809999999999999,-0.7999999999999972,-1.0
CA,California,Marin,06041,4.0,4.0,1.0,4.0,4.0,1.0,0.0,0.0
