state_abbrev,state_name,project_count_eia_2024,total_capacity_mw_eia_2024,avg_capacity_mw_eia_2024,project_count_gem_2024,total_capacity_mw_gem_2024,avg_capacity_mw_gem_2024,capacity_diff_mw_eia_2024_minus_gem_2024,project_count_diff_eia_2024_minus_gem_2024
AK,Alaska,18.0,7.7,0.4277777777777778,1.0,6.0,6.0,1.7000000000000002,17.0
AL,Alabama,11.0,666.3,60.57272727272727,11.0,666.3,60.57272727272727,0.0,0.0
AR,Arkansas,62.0,1793.7,28.93064516129032,65.0,1821.7,28.026153846153846,-28.0,-3.0
AZ,Arizona,147.0,5336.2,36.30068027210884,126.0,5302.6,42.08412698412699,33.599999999999454,21.0
CA,California,1044.0,22558.3,21.607567049808427,983.0,22588.8,22.9794506612411,-30.5,61.0
CO,Colorado,166.0,2371.2,14.284337349397589,169.0,2396.9,14.182840236686392,-25.700000000000273,-3.0
CT,Connecticut,85.0,322.8,3.7976470588235296,80.0,321.4,4.0175,1.400000000000034,5.0
DC,District of Columbia,15.0,29.2,1.9466666666666665,12.0,26.1,2.1750000000000003,3.099999999999998,3.0
DE,Delaware,17.0,97.3,5.723529411764706,16.0,96.8,6.05,0.5,1.0
FL,Florida,193.0,10951.9,56.74559585492228,195.0,11027.1,56.54923076923077,-75.20000000000073,-2.0
GA,Georgia,153.0,5013.4,32.76732026143791,149.0,5011.2,33.63221476510067,2.199999999999818,4.0
HI,Hawaii,54.0,467.2,8.651851851851852,29.0,500.7,17.26551724137931,-33.5,25.0
IA,Iowa,28.0,677.5,24.196428571428573,27.0,676.7,25.062962962962963,0.7999999999999545,1.0
ID,Idaho,13.0,501.6,38.58461538461539,13.0,502.0,38.61538461538461,-0.39999999999997726,0.0
IL,Illinois,218.0,2953.6,13.548623853211009,215.0,2956.5,13.751162790697675,-2.900000000000091,3.0
IN,Indiana,109.0,2491.2,22.855045871559632,107.0,2489.7,23.26822429906542,1.5,2.0
KS,Kansas,33.0,65.9,1.996969696969697,33.0,65.9,1.996969696969697,0.0,0.0
KY,Kentucky,15.0,429.7,28.646666666666665,15.0,429.70000000000005,28.64666666666667,-5.684341886080802e-14,0.0
LA,Louisiana,13.0,1070.4,82.33846153846154,13.0,1070.4,82.33846153846154,0.0,0.0
MA,Massachusetts,544.0,1432.3,2.632904411764706,524.0,1425.5,2.720419847328244,6.7999999999999545,20.0
MD,Maryland,184.0,706.5,3.839673913043478,184.0,707.1,3.8429347826086957,-0.6000000000000227,0.0
ME,Maine,141.0,832.9,5.9070921985815605,133.0,805.6,6.057142857142857,27.299999999999955,8.0
MI,Michigan,62.0,1159.1,18.69516129032258,61.0,1178.5,19.31967213114754,-19.40000000000009,1.0
MN,Minnesota,700.0,1652.9,2.361285714285714,700.0,1654.9,2.3641428571428573,-2.0,0.0
MO,Missouri,29.0,469.9,16.20344827586207,31.0,472.5,15.241935483870968,-2.6000000000000227,-2.0
MS,Mississippi,22.0,1219.7,55.440909090909095,22.0,1219.7,55.440909090909095,0.0,0.0
MT,Montana,9.0,179.0,19.88888888888889,10.0,181.0,18.1,-2.0,-1.0
NC,North Carolina,793.0,6783.1,8.553720050441362,760.0,6767.8,8.905,15.300000000000182,33.0
NE,Nebraska,21.0,137.6,6.552380952380952,19.0,136.2,7.168421052631579,1.4000000000000057,2.0
NH,New Hampshire,1.0,2.4,2.4,1.0,2.4,2.4,0.0,0.0
NJ,New Jersey,391.0,1182.6,3.024552429667519,329.0,1193.3,3.6270516717325227,-10.700000000000045,62.0
NM,New Mexico,90.0,2325.4,25.837777777777777,89.0,2325.5,26.129213483146067,-0.09999999999990905,1.0
NV,Nevada,102.0,5285.1,51.814705882352946,100.0,5297.6,52.976000000000006,-12.5,2.0
NY,Maine,,,,1.0,4.9,4.9,-4.9,-1.0
NY,New York,632.0,2674.6,4.231962025316456,623.0,2638.7,4.2354735152487955,35.90000000000009,9.0
OH,Ohio,63.0,3238.0,51.3968253968254,63.0,3086.6,48.993650793650794,151.4000000000001,0.0
OK,Oklahoma,14.0,173.5,12.392857142857142,14.0,173.5,12.392857142857142,0.0,0.0
OR,Oregon,132.0,1050.6,7.959090909090908,133.0,1052.6,7.914285714285714,-2.0,-1.0
PA,Pennsylvania,65.0,876.0,13.476923076923077,60.0,868.9,14.481666666666666,7.100000000000023,5.0
RI,Rhode Island,77.0,418.7,5.437662337662338,77.0,418.7,5.437662337662338,0.0,0.0
SC,South Carolina,122.0,1649.2,13.518032786885247,121.0,1641.9,13.569421487603307,7.2999999999999545,1.0
SD,South Dakota,3.0,209.0,69.66666666666667,3.0,209.0,69.66666666666667,0.0,0.0
TN,Tennessee,34.0,593.6,17.458823529411767,33.0,593.1,17.972727272727273,0.5,1.0
TX,Texas,186.0,22465.6,120.78279569892473,195.0,25073.3,128.58102564102563,-2607.7000000000007,-9.0
UT,Utah,55.0,2199.2,39.985454545454544,53.0,2197.5,41.4622641509434,1.699999999999818,2.0
VA,Virginia,130.0,4822.7,37.097692307692306,128.0,4856.2,37.9390625,-33.5,2.0
VT,Vermont,54.0,155.5,2.8796296296296298,54.0,155.5,2.8796296296296298,0.0,0.0
WA,Washington,9.0,268.4,29.82222222222222,7.0,267.4,38.199999999999996,1.0,2.0
WI,Wisconsin,95.0,2109.4,22.20421052631579,94.0,2131.4,22.674468085106383,-22.0,1.0
WV,Maryland,,,,2.0,4.0,2.0,-4.0,-2.0
WV,West Virginia,4.0,140.4,35.1,4.0,140.4,35.1,0.0,0.0
WY,Wyoming,2.0,242.0,121.0,2.0,242.0,121.0,0.0,0.0
,,1.0,0.9,0.9,,,,0.9,1.0
