state_abbrev,state_name,project_count,total_capacity_mw,avg_capacity_mw
CA,California,954,15577.1,16.328197064989517
TX,Texas,111,8837.7,79.61891891891892
NC,North Carolina,724,5744.7,7.9346685082872925
FL,Florida,102,4953.0,48.55882352941177
NV,Nevada,77,3150.6,40.91688311688311
GA,Georgia,110,3080.0,28.0
AZ,Arizona,132,2810.6,21.292424242424243
VA,Virginia,63,2203.1,34.96984126984127
UT,Utah,39,1457.2,37.364102564102566
MA,Massachusetts,460,1195.1,2.5980434782608692
SC,South Carolina,94,1138.9,12.115957446808512
MN,Minnesota,605,1103.9,1.824628099173554
CO,Colorado,115,1060.9,9.225217391304348
NJ,New Jersey,328,1021.1,3.113109756097561
NY,New York,306,922.3,3.0140522875816993
NM,New Mexico,75,740.9,9.878666666666666
OR,Oregon,104,718.8,6.911538461538461
IL,Illinois,114,645.4,5.661403508771929
IN,Indiana,86,607.4,7.062790697674418
WI,Wisconsin,39,502.5,12.884615384615385
OH,Ohio,36,481.3,13.369444444444445
MD,Maryland,121,428.2,3.5388429752066113
AL,Alabama,7,423.9,60.55714285714286
MI,Michigan,40,354.4,8.86
HI,Hawaii,48,288.9,6.01875
CT,Connecticut,61,245.8,4.029508196721312
ID,Idaho,10,242.0,24.2
RI,Rhode Island,53,230.9,4.356603773584906
AR,Arkansas,15,223.7,14.913333333333332
MS,Mississippi,8,219.3,27.4125
ME,Maine,14,201.3,14.37857142857143
TN,Tennessee,20,194.0,9.7
PA,Pennsylvania,40,156.8,3.9200000000000004
VT,Vermont,46,133.8,2.9086956521739133
IA,Iowa,10,118.4,11.84
WY,Wyoming,1,92.0,92.0
MO,Missouri,22,76.0,3.4545454545454546
LA,Louisiana,5,74.5,14.9
OK,Oklahoma,10,42.5,4.25
DE,Delaware,12,38.1,3.1750000000000003
NE,Nebraska,13,33.2,2.553846153846154
KY,Kentucky,7,31.0,4.428571428571429
KS,Kansas,6,30.0,5.0
WA,Washington,4,23.4,5.85
MT,Montana,6,17.0,2.8333333333333335
DC,District of Columbia,7,15.3,2.185714285714286
NH,New Hampshire,1,2.4,2.4
SD,South Dakota,1,1.0,1.0
AK,Alaska,8,0.8,0.1
