state_abbrev,state_name,county_name,county_fips,project_count,total_capacity_mw,avg_capacity_mw
CA,California,Kern,06029,148,5077.2,34.3054054054054
CA,California,Riverside,06065,104,4739.2,45.56923076923077
NV,Nevada,Clark,32003,71,4196.5,59.105633802816904
CA,California,San Bernardino,06071,94,2385.2000000000003,25.374468085106386
AZ,Arizona,Maricopa,04013,63,2344.8,37.21904761904762
TX,Texas,Pecos,48371,14,2177.5,155.53571428571428
CA,California,Imperial,06025,45,2113.8,46.973333333333336
CA,California,Kings,06031,44,1759.7,39.99318181818182
CA,California,Fresno,06019,78,1599.3,20.503846153846155
CA,California,Los Angeles,06037,151,1496.9,9.913245033112583
TX,Texas,Fort Bend,48157,6,1221.2,203.53333333333333
TX,Texas,Lamar,48277,5,1169.5,233.9
CO,Colorado,Pueblo,08101,9,1149.8,127.75555555555555
AZ,Arizona,Pinal,04021,13,1141.4,87.80000000000001
CA,California,San Luis Obispo,06079,22,1133.0,51.5
AZ,Arizona,Yuma,04027,16,1115.4,69.7125
TX,Texas,Wharton,48481,4,1090.0,272.5
TX,Texas,Andrews,48003,4,1070.0,267.5
OH,Ohio,Madison,39097,4,957.2,239.3
UT,Utah,Iron,49021,19,857.4,45.126315789473686
TX,Texas,Upton,48461,4,730.0,182.5
TX,Texas,Milam,48331,3,700.0,233.33333333333334
TX,Texas,Brazoria,48039,5,698.1,139.62
FL,Florida,St Lucie,,9,670.5,74.5
FL,Florida,Hillsborough,12057,16,668.4,41.775
TX,Texas,Scurry,48415,2,653.2,326.6
TX,Texas,Navarro,48349,3,613.0,204.33333333333334
FL,Florida,Hendry,12051,8,596.0,74.5
IL,Illinois,Sangamon,17167,1,592.8,592.8
FL,Florida,Polk,12105,15,579.7,38.64666666666667
IN,Indiana,White,18181,3,550.0,183.33333333333334
OH,Ohio,Highland,39071,4,550.0,137.5
TX,Texas,Borden,48033,3,530.6,176.86666666666667
TX,Texas,Hill,48217,4,528.5,132.125
VA,Virginia,Halifax,51083,9,526.8,58.53333333333333
TX,Texas,Denton,48121,4,524.5,131.125
FL,Florida,Putnam,12107,7,521.9,74.55714285714285
FL,Florida,Manatee,12081,7,521.5,74.5
GA,Georgia,Decatur,13087,6,517.0,86.16666666666667
NM,New Mexico,McKinley,35031,3,508.0,169.33333333333334
VA,Virginia,Spotsylvania,51177,4,500.0,125.0
TX,Texas,Swisher,48437,1,500.0,500.0
TX,Texas,Culberson,48109,3,472.0,157.33333333333334
MI,Michigan,Calhoun,26025,5,471.0,94.2
TX,Texas,Kent,48263,2,452.0,226.0
MA,Massachusetts,Worcester,25027,159,442.7,2.7842767295597484
GA,Georgia,Mitchell,13205,4,440.4,110.1
TX,Texas,Falls,48145,3,438.8,146.26666666666668
GA,Georgia,Jeff Davis,13161,6,412.5,68.75
GA,Georgia,Taylor,13269,5,405.7,81.14
TX,Texas,Limestone,48293,2,405.3,202.65
IN,Indiana,Starke,18149,1,400.0,400.0
FL,Florida,DeSoto,12027,6,397.5,66.25
NV,Nevada,Washoe,32031,10,395.1,39.510000000000005
CA,California,Tulare,06107,70,389.59999999999997,5.565714285714285
TX,Texas,Tom Green,48451,2,372.8,186.4
FL,Florida,Indian River,12061,5,372.5,74.5
FL,Florida,Okeechobee,12093,5,372.5,74.5
TX,Texas,Bell,48027,2,370.79999999999995,185.39999999999998
UT,Utah,Beaver,49001,12,363.1,30.258333333333336
NC,North Carolina,Northampton,37131,17,362.8,21.341176470588238
TX,Texas,Concho,48095,2,360.0,180.0
AR,Arkansas,Crittenden,05035,2,360.0,180.0
NM,New Mexico,Bernalillo,35001,10,356.0,35.6
CA,California,Merced,06047,16,350.5,21.90625
FL,Florida,Escambia,12033,5,348.0,69.6
NC,North Carolina,Bladen,37017,16,343.5,21.46875
CA,California,Sacramento,06067,51,332.6,6.521568627450981
TX,Texas,Frio,48163,2,332.4,166.2
GA,Georgia,Montgomery,13209,2,330.0,165.0
AR,Arkansas,Mississippi,05093,3,326.0,108.66666666666667
TX,Texas,Haskell,48207,2,325.0,162.5
OH,Ohio,Union,39159,1,325.0,325.0
OH,Ohio,Ross,39141,2,323.9,161.95
TX,Texas,Brown,48049,1,320.0,320.0
VA,Virginia,Greensville,51081,4,319.6,79.9
FL,Florida,Brevard,12009,5,308.0,61.6
TX,Texas,Uvalde,48463,2,303.5,151.75
OH,Ohio,Hardin,39065,4,303.0,75.75
TX,Texas,Bee,48025,2,300.7,150.35
GA,Georgia,Brooks,13027,2,300.0,150.0
LA,Louisiana,Pointe Coupee,22077,1,300.0,300.0
WI,Wisconsin,Iowa,55049,2,300.0,150.0
IN,Indiana,Randolph,18135,2,300.0,150.0
TX,Texas,Red River,48387,1,300.0,300.0
NC,North Carolina,Nash,37127,31,299.4,9.658064516129032
FL,Florida,Bay,12005,4,299.20000000000005,74.80000000000001
CA,California,Stanislaus,06099,8,299.1,37.3875
IL,Illinois,White,17193,2,299.0,149.5
FL,Florida,Columbia,12023,4,298.8,74.7
AZ,Arizona,Pima,04019,28,298.20000000000005,10.650000000000002
FL,Florida,Calhoun,12013,4,298.0,74.5
FL,Florida,Baker,12003,4,298.0,74.5
GA,Georgia,Lee,13177,3,290.0,96.66666666666667
CO,Colorado,El Paso,08041,7,289.5,41.357142857142854
HI,Hawaii,Honolulu,15003,30,289.4,9.646666666666667
MN,Minnesota,Sherburne,27141,30,286.0,9.533333333333333
NC,North Carolina,Edgecombe,37065,9,281.5,31.27777777777778
MI,Michigan,Shiawassee,26155,5,279.0,55.8
VA,Virginia,Isle of Wight,51093,4,279.0,69.75
SC,South Carolina,Orangeburg,45075,6,271.3,45.21666666666667
IN,Indiana,Jasper,18073,3,269.8,89.93333333333334
NC,North Carolina,Currituck,37053,5,262.4,52.48
VA,Virginia,Chesapeake City,,6,255.0,42.5
NM,New Mexico,Valencia,35061,9,254.5,28.27777777777778
WI,Wisconsin,Grant,55043,4,254.0,63.5
IL,Illinois,Clay,17025,2,252.0,126.0
TX,Texas,Hopkins,48223,1,250.0,250.0
WI,Wisconsin,Manitowoc,55071,2,250.0,125.0
TX,Texas,Franklin,48159,1,250.0,250.0
TX,Texas,Winkler,48495,1,250.0,250.0
VA,Virginia,Pittsylvania,51143,9,245.4,27.266666666666666
