msa_id,msa_name,region,candidate_site_count,total_candidate_mw,avg_candidate_mw,avg_lcoe,min_lcoe,max_lcoe,avg_interconnect_capex_mw
40940,"Safford, AZ",AZ2,1,111.134476,111.134476,22.86842,22.86842,22.86842,22941.596
19700,"Deming, NM",NM1,4,83.32227,20.830568,23.206608,22.62078,24.31257,59664.184
37220,"Pahrump, NV",NV1,6,215.8596,35.9766,23.272787,22.628979,23.962835,63890.793
23700,"Gallup, NM",NM1,4,287.86737,71.96684,23.277826,23.08056,23.535156,27314.398
23820,"Gardnerville Ranchos, NV",NV1,7,279.4219,39.917416,23.441097,23.159657,24.025904,35600.816
45340,"Taos, NM",NM1,6,84.48163,14.080272,23.887068,23.381771,24.278332,44567.36
22380,"Flagstaff, AZ",AZ2,1,18.000002,18.000002,24.189604,24.189604,24.189604,71687.99
41100,"St. George, UT",UT1,6,146.8053,24.46755,24.259031,23.977098,24.58772,53026.906
15860,"Cañon City, CO",CO1,3,213.14394,71.04798,24.276247,24.155378,24.434942,26983.62
39380,"Pueblo, CO",CO1,9,429.11774,47.67975,24.473768,24.208868,24.66067,28904.828
24300,"Grand Junction, CO",CO1,13,479.13388,36.856453,24.591703,24.375786,24.833138,36695.36
46860,"Vernal, UT",UT1,4,134.99579,33.748947,24.61852,24.522263,24.71161,34599.75
39220,"Price, UT",UT1,1,101.77119,101.77119,24.709026,24.709026,24.709026,39615.215
33940,"Montrose, CO",CO1,5,249.08829,49.817657,25.015766,24.84852,25.17154,23977.887
16260,"Cedar City, UT",UT1,1,6.5275426,6.5275426,25.020023,25.020023,25.020023,53730.67
18780,"Craig, CO",CO1,1,38.029312,38.029312,25.055206,25.055206,25.055206,22491.38
12540,"Bakersfield, CA",CA1,29,2236.2866,77.113335,25.118153,24.778572,25.321894,46504.906
29660,"Laramie, WY",WY1,1,134.09042,134.09042,25.486853,25.486853,25.486853,39095.312
40180,"Riverton, WY",WY1,6,281.6479,46.941315,25.536766,25.37178,25.689545,29513.797
16220,"Casper, WY",WY1,7,272.4454,38.920773,25.776676,25.666698,25.875336,31958.084
