state_abbrev,state_name,county_name,county_fips,candidate_site_count,total_candidate_mw,avg_lcoe,min_lcoe
NM,New Mexico,Doña Ana,35013,1,7.371854,23.743225,23.743225
NM,New Mexico,Sandoval,35043,2,235.45436,23.753458,23.46957
TX,Texas,El Paso,48141,96,9199.701,24.140999,22.936644
NV,Nevada,Storey,32029,1,66.8051,24.277304,24.277304
AZ,Arizona,Maricopa,04013,8,615.39166,24.533176,23.95608
NM,New Mexico,Santa Fe,35049,2,169.78326,25.014753,24.439564
AZ,Arizona,Yavapai,04025,1,6.862651,25.20551,25.20551
AZ,Arizona,Pinal,04021,9,859.8211,25.479954,24.351622
NM,New Mexico,Los Alamos,35028,9,283.267,25.866213,25.51487
CA,California,Napa,06055,1,8.4375,25.986464,25.986464
CO,Colorado,Weld,08123,1,31.377481,26.11709,26.11709
AZ,Arizona,Santa Cruz,04023,99,6565.665,26.32164,24.904562
NV,Nevada,Clark,32003,312,25690.324,26.47619,22.628979
TX,Texas,Hudspeth,48229,758,95062.445,26.480541,23.630342
CA,California,Sacramento,06067,1,20.720339,26.95885,26.95885
CA,California,San Joaquin,06077,3,136.42696,26.972588,26.79431
NE,Nebraska,Box Butte,31013,1,143.7276,26.97357,26.97357
AZ,Arizona,La Paz,04012,403,39129.45,27.019934,23.984173
CO,Colorado,Jefferson,08059,1,24.749998,27.041988,27.041988
NM,New Mexico,Luna,35029,561,48300.97,27.29872,22.62078
NM,New Mexico,Otero,35035,648,52338.523,27.39772,23.355806
CA,California,San Mateo,06081,1,2.427966,27.657143,27.657143
SD,South Dakota,Pennington,46103,24,527.39404,27.73726,25.929375
ID,Idaho,Canyon,16027,3,260.74927,27.862137,27.423134
WY,Wyoming,Campbell,56005,799,97008.2,27.92013,25.590078
CO,Colorado,Boulder,08013,6,94.646416,27.9815,26.612282
MT,Montana,Custer,30017,624,83954.38,27.98717,25.974783
AZ,Arizona,Mohave,04015,1449,134069.81,28.002144,22.663147
UT,Utah,Salt Lake,49035,20,783.9902,28.133442,26.887003
CA,California,Solano,06095,88,4378.7754,28.206343,25.954456
SD,South Dakota,Meade,46093,552,75055.734,28.289057,25.61403
CA,California,San Diego,06073,2,29.847374,28.318054,28.10567
NM,New Mexico,Socorro,35053,502,54020.215,28.323969,25.347128
OR,Oregon,Josephine,41033,1,7.957221,28.39043,28.39043
SD,South Dakota,Custer,46033,169,14859.757,28.415302,26.66306
CA,California,Sutter,06101,72,6033.736,28.437578,26.56451
NV,Nevada,Washoe,32031,4,303.02875,28.444504,25.957333
AZ,Arizona,Pima,04019,7,775.4,28.49783,25.97124
CA,California,Placer,06061,1,88.7983,28.506039,28.506039
NM,New Mexico,Sierra,35051,271,23029.846,28.56543,26.751965
NE,Nebraska,Kimball,31105,1,48.162575,28.57124,28.57124
CA,California,Colusa,06011,1,133.36743,28.816998,28.816998
CA,California,Amador,06005,1,25.200602,28.919836,28.919836
MT,Montana,Prairie,30079,1,139.5,28.948841,28.948841
UT,Utah,Tooele,49045,7,247.92184,28.995516,28.28207
NM,New Mexico,Guadalupe,35019,519,67896.984,29.088146,27.14641
CO,Colorado,Larimer,08069,3,196.52815,29.110968,28.607414
WY,Wyoming,Weston,56045,393,44085.695,29.154224,26.680727
CA,California,Ventura,06111,82,2318.2986,29.163006,25.37374
CA,California,Orange,06059,13,578.68414,29.272322,26.907286
MT,Montana,Cascade,30013,2,184.84824,29.32987,29.257883
WY,Wyoming,Crook,56011,444,54654.05,29.402628,26.67819
AZ,Arizona,Cochise,04003,2,177.45218,29.413128,28.367567
NM,New Mexico,Cibola,35006,637,71452.06,29.460236,24.738165
MT,Montana,Yellowstone,30111,392,48516.996,29.541836,27.719963
ID,Idaho,Payette,16075,1,34.809742,29.580149,29.580149
TX,Texas,Culberson,48109,621,79510.27,29.596561,27.547806
NM,New Mexico,Grant,35017,455,40839.152,29.70839,24.31257
MT,Montana,Carbon,30009,3,333.42487,29.842321,29.437315
AZ,Arizona,Graham,04009,644,62185.24,29.890652,22.86842
ID,Idaho,Owyhee,16073,2,156.4588,29.90142,29.033731
AZ,Arizona,Greenlee,04011,100,8765.134,29.916763,29.062151
NM,New Mexico,San Miguel,35047,693,79709.09,30.000914,25.671808
NE,Nebraska,Sheridan,31161,1,159.74464,30.023247,30.023247
SD,South Dakota,Fall River,46047,1,124.99117,30.089777,30.089777
MT,Montana,Flathead,30029,1,13.42337,30.09168,30.09168
WY,Wyoming,Albany,56001,604,65971.27,30.103586,25.486853
CA,California,Yuba,06115,76,3883.529,30.107141,28.179958
MT,Montana,Rosebud,30087,811,104844.86,30.208456,27.302065
WY,Wyoming,Sheridan,56033,324,35371.59,30.261063,27.115393
MT,Montana,Golden Valley,30037,188,23316.012,30.360518,28.953903
AZ,Arizona,Gila,04007,309,25944.75,30.408926,25.506811
MT,Montana,Powder River,30075,481,60218.83,30.42437,29.162096
NM,New Mexico,Roosevelt,35041,391,48880.14,30.428354,28.94523
CO,Colorado,Kit Carson,08063,1,160.63448,30.437252,30.437252
NM,New Mexico,Lincoln,35027,683,78723.66,30.449171,27.824879
SD,South Dakota,Oglala Lakota,46102,4,339.45087,30.474161,30.19064
NM,New Mexico,McKinley,35031,887,103536.38,30.491976,23.08056
WY,Wyoming,Teton,56039,23,658.2361,30.526308,26.479788
SD,South Dakota,Lawrence,46081,11,474.907,30.527056,28.51512
CO,Colorado,Lincoln,08073,1,141.75,30.534487,30.534487
NM,New Mexico,Hidalgo,35023,497,48509.35,30.574682,28.85283
WY,Wyoming,Niobrara,56027,446,59641.53,30.631042,28.492882
UT,Utah,Utah,49049,32,1798.7296,30.64034,26.698969
CA,California,San Bernardino,06071,163,7941.6255,30.726868,28.251501
NM,New Mexico,De Baca,35011,387,51792.86,30.765966,29.122814
MT,Montana,Carter,30011,2,208.27821,30.778893,30.211842
OR,Oregon,Marion,41047,1,19.745516,30.832941,30.832941
NM,New Mexico,Catron,35003,593,66341.71,30.875679,27.754585
NM,New Mexico,Curry,35009,209,26816.682,30.909256,29.850216
WY,Wyoming,Johnson,56019,581,73644.75,31.058823,28.628283
NM,New Mexico,Eddy,35015,584,54733.15,31.062252,28.476612
