state_abbrev,state_name,project_count_eia_2021,total_capacity_mw_eia_2021,avg_capacity_mw_eia_2021,project_count_gem_2021,total_capacity_mw_gem_2021,avg_capacity_mw_gem_2021,capacity_diff_mw_eia_2021_minus_gem_2021,project_count_diff_eia_2021_minus_gem_2021
AK,Alaska,8,0.8,0.1,,,,0.8,8.0
AL,Alabama,7,423.9,60.55714285714286,8.0,453.9,56.7375,-30.0,-1.0
AR,Arkansas,15,223.7,14.913333333333332,33.0,245.4,7.4363636363636365,-21.700000000000017,-18.0
AZ,Arizona,132,2810.6,21.292424242424243,108.0,2779.0,25.73148148148148,31.59999999999991,24.0
CA,California,954,15577.1,16.328197064989517,813.0,15430.2,18.979335793357933,146.89999999999964,141.0
CO,Colorado,115,1060.9,9.225217391304348,125.0,1107.5,8.86,-46.59999999999991,-10.0
CT,Connecticut,61,245.8,4.029508196721312,66.0,263.8,3.996969696969697,-18.0,-5.0
DC,District of Columbia,7,15.3,2.185714285714286,8.0,18.0,2.25,-2.6999999999999993,-1.0
DE,Delaware,12,38.1,3.1750000000000003,11.0,37.6,3.4181818181818184,0.5,1.0
FL,Florida,102,4953.0,48.55882352941177,105.0,4958.1,47.220000000000006,-5.100000000000364,-3.0
GA,Georgia,110,3080.0,28.0,105.0,3051.8,29.064761904761905,28.199999999999818,5.0
HI,Hawaii,48,288.9,6.01875,23.0,281.2,12.226086956521739,7.699999999999989,25.0
IA,Iowa,10,118.4,11.84,11.0,144.1,13.1,-25.69999999999999,-1.0
ID,Idaho,10,242.0,24.2,10.0,242.0,24.2,0.0,0.0
IL,Illinois,114,645.4,5.661403508771929,138.0,699.8,5.071014492753623,-54.39999999999998,-24.0
IN,Indiana,86,607.4,7.062790697674418,85.0,612.0,7.2,-4.600000000000023,1.0
KS,Kansas,6,30.0,5.0,23.0,51.7,2.247826086956522,-21.700000000000003,-17.0
KY,Kentucky,7,31.0,4.428571428571429,7.0,31.4,4.485714285714286,-0.3999999999999986,0.0
LA,Louisiana,5,74.5,14.9,5.0,74.5,14.9,0.0,0.0
MA,Massachusetts,460,1195.1,2.5980434782608692,482.0,1287.3,2.670746887966805,-92.20000000000005,-22.0
MD,Maryland,121,428.2,3.5388429752066113,130.0,448.6,3.450769230769231,-20.400000000000034,-9.0
ME,Maine,14,201.3,14.37857142857143,31.0,264.9,8.54516129032258,-63.599999999999966,-17.0
MI,Michigan,40,354.4,8.86,37.0,352.6,9.52972972972973,1.7999999999999545,3.0
MN,Minnesota,605,1103.9,1.824628099173554,611.0,1122.9,1.837806873977087,-19.0,-6.0
MO,Missouri,22,76.0,3.4545454545454546,25.0,79.8,3.1919999999999997,-3.799999999999997,-3.0
MS,Mississippi,8,219.3,27.4125,8.0,219.3,27.4125,0.0,0.0
MT,Montana,6,17.0,2.8333333333333335,7.0,19.0,2.7142857142857144,-2.0,-1.0
NC,North Carolina,724,5744.7,7.9346685082872925,709.0,5843.8,8.24231311706629,-99.10000000000036,15.0
NE,Nebraska,13,33.2,2.553846153846154,11.0,31.8,2.890909090909091,1.4000000000000021,2.0
NH,New Hampshire,1,2.4,2.4,1.0,2.4,2.4,0.0,0.0
NJ,New Jersey,328,1021.1,3.113109756097561,275.0,1050.5,3.82,-29.399999999999977,53.0
NM,New Mexico,75,740.9,9.878666666666666,74.0,741.0,10.013513513513514,-0.10000000000002274,1.0
NV,Nevada,77,3150.6,40.91688311688311,75.0,2983.6,39.78133333333333,167.0,2.0
NY,New York,306,922.3,3.0140522875816993,394.0,1247.9,3.1672588832487314,-325.60000000000014,-88.0
OH,Ohio,36,481.3,13.369444444444445,36.0,481.40000000000003,13.372222222222224,-0.10000000000002274,0.0
OK,Oklahoma,10,42.5,4.25,11.0,43.5,3.9545454545454546,-1.0,-1.0
OR,Oregon,104,718.8,6.911538461538461,108.0,729.2,6.751851851851852,-10.400000000000091,-4.0
PA,Pennsylvania,40,156.8,3.9200000000000004,39.0,182.7,4.684615384615384,-25.899999999999977,1.0
RI,Rhode Island,53,230.9,4.356603773584906,55.0,240.4,4.370909090909091,-9.5,-2.0
SC,South Carolina,94,1138.9,12.115957446808512,97.0,1145.6,11.810309278350514,-6.699999999999818,-3.0
SD,South Dakota,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
TN,Tennessee,20,194.0,9.7,19.0,191.3,10.06842105263158,2.6999999999999886,1.0
TX,Texas,111,8837.7,79.61891891891892,115.0,8957.0,77.88695652173914,-119.29999999999927,-4.0
UT,Utah,39,1457.2,37.364102564102566,37.0,1458.0,39.4054054054054,-0.7999999999999545,2.0
VA,Virginia,63,2203.1,34.96984126984127,66.0,2267.1,34.35,-64.0,-3.0
VT,Vermont,46,133.8,2.9086956521739133,49.0,142.8,2.9142857142857146,-9.0,-3.0
WA,Washington,4,23.4,5.85,2.0,22.4,11.2,1.0,2.0
WI,Wisconsin,39,502.5,12.884615384615385,53.0,544.6,10.275471698113208,-42.10000000000002,-14.0
WY,Wyoming,1,92.0,92.0,1.0,92.0,92.0,0.0,0.0
