state_abbrev,state_name,county_name,county_fips,project_count,total_capacity_mw,avg_capacity_mw
CA,California,Kern,06029,104,3385.0,32.54807692307692
CA,California,Riverside,06065,92,2629.8,28.584782608695654
NV,Nevada,Clark,32003,61,2603.5,42.68032786885246
CA,California,Imperial,06025,42,1857.0,44.214285714285715
TX,Texas,Pecos,48371,11,1559.7,141.79090909090908
CA,California,San Bernardino,06071,185,1509.8,8.16108108108108
AZ,Arizona,Maricopa,04013,58,1374.4,23.696551724137933
CA,California,Los Angeles,06037,140,1263.6,9.025714285714285
CA,California,San Luis Obispo,06079,18,1125.5,62.52777777777778
TX,Texas,Andrews,48003,4,1070.0,267.5
CA,California,Kings,06031,30,1054.4,35.14666666666667
CA,California,Fresno,06019,60,1013.2,16.886666666666667
TX,Texas,Upton,48461,4,730.0,182.5
UT,Utah,Iron,49021,17,657.4,38.67058823529412
TX,Texas,Borden,48033,3,525.0,175.0
VA,Virginia,Spotsylvania,51177,4,500.0,125.0
TX,Texas,Culberson,48109,2,440.0,220.0
AZ,Arizona,Yuma,04027,13,433.4,33.33846153846154
GA,Georgia,Taylor,13269,5,405.7,81.14
MA,Massachusetts,Worcester,25027,142,387.0,2.7253521126760565
FL,Florida,Hillsborough,12057,8,381.7,47.7125
FL,Florida,Polk,12105,12,370.7,30.891666666666666
CO,Colorado,Pueblo,08101,4,362.5,90.625
UT,Utah,Beaver,49001,10,356.1,35.61
CA,California,Merced,06047,12,344.5,28.708333333333332
NC,North Carolina,Bladen,37017,16,343.5,21.46875
CA,California,Sacramento,06067,49,329.7,6.728571428571429
TX,Texas,Haskell,48207,2,325.0,162.5
AZ,Arizona,Pinal,04021,9,320.0,35.55555555555556
GA,Georgia,Decatur,13087,4,314.0,78.5
GA,Georgia,Jeff Davis,13161,5,305.5,61.1
CA,California,Tulare,06107,51,300.1,5.8843137254901965
GA,Georgia,Brooks,13027,2,300.0,150.0
FL,Florida,Manatee,12081,4,298.0,74.5
AZ,Arizona,Pima,04019,27,284.9,10.55185185185185
NC,North Carolina,Edgecombe,37065,9,281.9,31.32222222222222
SC,South Carolina,Orangeburg,45075,6,271.2,45.199999999999996
WI,Wisconsin,Manitowoc,55071,2,250.0,125.0
TX,Texas,Concho,48095,1,250.0,250.0
TX,Texas,Winkler,48495,1,250.0,250.0
FL,Florida,DeSoto,12027,4,248.5,62.125
GA,Georgia,Mitchell,13205,3,244.9,81.63333333333334
NV,Nevada,Nye,32023,3,243.5,81.16666666666667
VA,Virginia,Surry,51181,2,240.3,120.15
TX,Texas,Childress,48075,1,240.0,240.0
FL,Florida,Brevard,12009,4,233.5,58.375
AL,Alabama,Colbert,01033,1,227.0,227.0
GA,Georgia,Twiggs,13289,2,224.0,112.0
FL,Florida,Indian River,12061,3,223.5,74.5
FL,Florida,Okeechobee,12093,3,223.5,74.5
FL,Florida,St Lucie,,3,223.5,74.5
FL,Florida,Putnam,12107,3,223.5,74.5
NC,North Carolina,Northampton,37131,15,222.8,14.853333333333333
TX,Texas,Fannin,48147,3,216.6,72.2
TX,Texas,Webb,48479,2,210.0,105.0
NC,North Carolina,Robeson,37155,41,209.0,5.097560975609756
TX,Texas,Lamar,48277,2,208.5,104.25
NC,North Carolina,Halifax,37083,12,206.9,17.241666666666667
HI,Hawaii,Honolulu,15003,27,201.9,7.477777777777778
IL,Illinois,Coles,17029,1,200.0,200.0
TX,Texas,Jones,48253,1,200.0,200.0
IN,Indiana,Randolph,18135,1,200.0,200.0
TX,Texas,Nolan,48353,1,200.0,200.0
OH,Ohio,Brown,39015,1,200.0,200.0
TX,Texas,Tom Green,48451,1,200.0,200.0
TX,Texas,Ector,48135,3,196.8,65.60000000000001
NC,North Carolina,Nash,37127,27,188.9,6.996296296296297
NC,North Carolina,Duplin,37061,41,180.0,4.390243902439025
VA,Virginia,Greensville,51081,2,180.0,90.0
TX,Texas,Travis,48453,3,176.6,58.86666666666667
NC,North Carolina,Hertford,37091,18,176.5,9.805555555555555
MN,Minnesota,Chisago,27025,55,176.3,3.2054545454545456
NJ,New Jersey,Burlington,34005,35,171.6,4.902857142857143
NC,North Carolina,Catawba,37035,13,171.3,13.176923076923078
OR,Oregon,Crook,41013,3,166.3,55.43333333333334
NC,North Carolina,Currituck,37053,4,162.4,40.6
MI,Michigan,Shiawassee,26155,2,160.0,80.0
MA,Massachusetts,Hampden,25013,54,156.7,2.9018518518518515
NC,North Carolina,Lenoir,37107,14,156.0,11.142857142857142
OH,Ohio,Hardin,39065,3,153.0,51.0
TX,Texas,Dawson,48115,2,152.0,76.0
GA,Georgia,Dougherty,13095,2,151.0,75.5
FL,Florida,Volusia,12127,3,150.6,50.199999999999996
MA,Massachusetts,Plymouth,25023,57,150.5,2.6403508771929824
TX,Texas,Crane,48103,1,150.0,150.0
WI,Wisconsin,Iowa,55049,1,150.0,150.0
FL,Florida,Hamilton,12047,2,149.8,74.9
FL,Florida,Columbia,12023,2,149.4,74.7
FL,Florida,Hendry,12051,2,149.0,74.5
FL,Florida,Baker,12003,2,149.0,74.5
FL,Florida,Charlotte,12015,2,149.0,74.5
FL,Florida,Jackson,12063,2,149.0,74.5
FL,Florida,Palm Beach,12099,2,149.0,74.5
CO,Colorado,Alamosa,08003,10,148.9,14.89
FL,Florida,Orange,12095,7,147.3,21.042857142857144
TX,Texas,Kaufman,48257,1,146.7,146.7
TX,Texas,Sterling,48431,2,145.0,72.5
NM,New Mexico,Chaves,35005,4,144.3,36.075
CA,California,San Benito,06069,3,143.0,47.666666666666664
NC,North Carolina,Beaufort,37013,10,142.5,14.25
NC,North Carolina,Scotland,37165,14,138.8,9.914285714285715
AZ,Arizona,Cochise,04003,6,138.7,23.116666666666664
NC,North Carolina,Cleveland,37045,23,135.3,5.882608695652174
TX,Texas,Ellis,48139,1,134.7,134.7
TX,Texas,Frio,48163,1,132.4,132.4
NC,North Carolina,Pender,37141,8,132.29999999999998,16.537499999999998
NC,North Carolina,Cumberland,37051,14,131.8,9.414285714285715
VA,Virginia,Mecklenburg,51117,2,129.9,64.95
GA,Georgia,Bibb,13021,2,129.0,64.5
NC,North Carolina,Wilson,37195,13,128.4,9.876923076923077
NY,New York,Suffolk,36103,22,127.4,5.790909090909091
NC,North Carolina,Anson,37007,7,127.2,18.17142857142857
TX,Texas,Navarro,48349,1,127.0,127.0
CO,Colorado,Adams,08001,22,125.2,5.690909090909091
NJ,New Jersey,Middlesex,34023,60,125.0,2.0833333333333335
FL,Florida,Escambia,12033,2,124.5,62.25
GA,Georgia,Early,13099,3,124.0,41.333333333333336
NC,North Carolina,Rutherford,37161,10,122.2,12.22
OR,Oregon,Lake,41037,10,121.6,12.16
TX,Texas,Brazoria,48039,1,120.0,120.0
UT,Utah,Millard,49027,3,120.0,40.0
ID,Idaho,Elmore,16039,4,120.0,30.0
NC,North Carolina,Warren,37185,10,119.4,11.940000000000001
NJ,New Jersey,Monmouth,34025,22,119.3,5.422727272727273
NC,North Carolina,Wayne,37191,27,115.9,4.292592592592593
NC,North Carolina,Jones,37103,9,115.5,12.833333333333334
CO,Colorado,El Paso,08041,6,114.5,19.083333333333332
NC,North Carolina,Cabarrus,37025,5,111.80000000000001,22.360000000000003
VA,Virginia,Louisa,51109,2,108.2,54.1
NC,North Carolina,Vance,37181,13,107.8,8.292307692307691
MA,Massachusetts,Bristol,25005,42,107.0,2.5476190476190474
SC,South Carolina,Calhoun,45017,4,106.39999999999999,26.599999999999998
CA,California,San Diego,06073,33,106.2,3.2181818181818183
MS,Mississippi,Lamar,28073,2,104.0,52.0
VA,Virginia,Chesapeake City,,4,103.0,25.75
TX,Texas,Bexar,48029,11,102.8,9.345454545454546
NC,North Carolina,Martin,37117,15,102.0,6.8
GA,Georgia,Stewart,13259,2,101.0,50.5
NV,Nevada,Humboldt,32013,1,101.0,101.0
IL,Illinois,Fayette,17051,2,100.8,50.4
SC,South Carolina,Beaufort,45013,5,100.5,20.1
AR,Arkansas,Chicot,05017,1,100.0,100.0
VA,Virginia,Southampton,51175,1,100.0,100.0
IA,Iowa,Louisa,19115,1,100.0,100.0
TX,Texas,Reeves,48389,1,100.0,100.0
TX,Texas,Uvalde,48463,1,100.0,100.0
UT,Utah,Emery,49015,1,100.0,100.0
NC,North Carolina,Washington,37187,3,99.0,33.0
IL,Illinois,Perry,17145,1,99.0,99.0
SC,South Carolina,Allendale,45005,4,98.6,24.65
NC,North Carolina,Johnston,37101,27,98.5,3.6481481481481484
MA,Massachusetts,Middlesex,25017,43,97.5,2.2674418604651163
RI,Rhode Island,Providence,44007,25,94.6,3.784
NM,New Mexico,Luna,35029,5,94.0,18.8
IN,Indiana,Marion,18097,18,92.2,5.122222222222223
WY,Wyoming,Sweetwater,56037,1,92.0,92.0
MN,Minnesota,Stearns,27145,54,89.9,1.664814814814815
SC,South Carolina,Jasper,45053,3,89.4,29.8
CA,California,Stanislaus,06099,6,88.8,14.799999999999999
CA,California,Madera,06039,9,87.3,9.7
NC,North Carolina,Franklin,37069,13,86.9,6.684615384615385
VA,Virginia,Accomack,51001,5,84.3,16.86
AZ,Arizona,Mohave,04015,7,84.3,12.042857142857143
FL,Florida,Suwannee,12121,2,83.3,41.65
NC,North Carolina,Yadkin,37197,7,81.4,11.62857142857143
AR,Arkansas,Arkansas,05001,1,81.0,81.0
GA,Georgia,Burke,13033,3,80.9,26.96666666666667
HI,Hawaii,Kauai,15007,7,80.0,11.428571428571429
GA,Georgia,Randolph,13243,1,80.0,80.0
UT,Utah,Juab,49023,1,80.0,80.0
VA,Virginia,Campbell,51031,1,80.0,80.0
VA,Virginia,Halifax,51083,1,80.0,80.0
UT,Utah,Sevier,49041,1,80.0,80.0
MD,Maryland,Somerset,24039,3,79.8,26.599999999999998
AL,Alabama,Chambers,01017,1,79.2,79.2
FL,Florida,Osceola,12097,2,78.3,39.15
CT,Connecticut,Windham,,8,78.1,9.7625
CO,Colorado,Weld,08123,19,77.9,4.1000000000000005
FL,Florida,Alachua,12001,3,77.7,25.900000000000002
GA,Georgia,Terrell,13273,3,77.6,25.866666666666664
FL,Florida,Miami Dade,,3,77.1,25.7
ME,Maine,Franklin,23007,1,77.0,77.0
CT,Connecticut,Hartford,,15,76.7,5.113333333333333
AL,Alabama,Lauderdale,01077,1,75.0,75.0
SC,South Carolina,Chesterfield,45025,1,75.0,75.0
SC,South Carolina,Aiken,45003,1,74.9,74.9
FL,Florida,Gilchrist,12041,1,74.9,74.9
NC,North Carolina,Union,37179,5,74.9,14.98
NC,North Carolina,Richmond,37153,7,74.60000000000001,10.657142857142858
FL,Florida,Clay,12019,1,74.5,74.5
FL,Florida,Desoto,,1,74.5,74.5
