source,snapshot_label,source_project_id,plant_code,plant_name,county_name,state_abbrev,state_name,technology,energy_source,status,operating_year,capacity_mw,county_name_join,county_fips
EIA,2021,645_1,645,Big Bend,Hillsborough,FL,Florida,Solar Photovoltaic,Solar,OP,2017,19.8,Hillsborough,12057
EIA,2021,944_12,944,Geneseo,Henry,IL,Illinois,Solar Photovoltaic,Solar,OP,2015,1.2,Henry,17073
EIA,2021,960_SOL1,960,North Ninth Street,Ogle,IL,Illinois,Solar Photovoltaic,Solar,OP,2014,0.3,Ogle,17141
EIA,2021,1016_10,1016,Butler-Warner Generation Plant,Cumberland,NC,North Carolina,Solar Photovoltaic,Solar,OP,2019,1.0,Cumberland,37051
EIA,2021,1172_SO,1172,Osage (IA),Mitchell,IA,Iowa,Solar Photovoltaic,Solar,OP,2016,0.8,Mitchell,19131
EIA,2021,1355_SOLAR,1355,E W Brown,Mercer,KY,Kentucky,Solar Photovoltaic,Solar,OP,2016,13.0,Mercer,21167
EIA,2021,2240_SLR1,2240,Lon Wright,Dodge,NE,Nebraska,Solar Photovoltaic,Solar,OP,2018,1.3,Dodge,31053
EIA,2021,2240_SLR2,2240,Lon Wright,Dodge,NE,Nebraska,Solar Photovoltaic,Solar,OP,2018,1.0,Dodge,31053
EIA,2021,2854_YS1,2854,Yankee Street,Montgomery,OH,Ohio,Solar Photovoltaic,Solar,OP,2010,1.1,Montgomery,39113
EIA,2021,2953_SLR1,2953,Mustang,Canadian,OK,Oklahoma,Solar Photovoltaic,Solar,OP,2015,2.5,Canadian,40017
EIA,2021,6074_5,6074,Greenwood (MO),Jackson,MO,Missouri,Solar Photovoltaic,Solar,OP,2016,3.0,Jackson,29095
EIA,2021,6081_5051S,6081,Stony Brook,Hampden,MA,Massachusetts,Solar Photovoltaic,Solar,OP,2018,6.9,Hampden,25013
EIA,2021,6304_PV1,6304,Kotzebue Hybrid,NORTHWEST ARCTIC,AK,Alaska,Solar Photovoltaic,Solar,OP,2020,0.1,NORTHWEST ARCTIC,
EIA,2021,6304_PV2,6304,Kotzebue Hybrid,NORTHWEST ARCTIC,AK,Alaska,Solar Photovoltaic,Solar,OP,2020,0.1,NORTHWEST ARCTIC,
EIA,2021,6304_PV3,6304,Kotzebue Hybrid,NORTHWEST ARCTIC,AK,Alaska,Solar Photovoltaic,Solar,OP,2020,0.1,NORTHWEST ARCTIC,
EIA,2021,6304_PV4,6304,Kotzebue Hybrid,NORTHWEST ARCTIC,AK,Alaska,Solar Photovoltaic,Solar,OP,2020,0.1,NORTHWEST ARCTIC,
EIA,2021,6304_PV5,6304,Kotzebue Hybrid,NORTHWEST ARCTIC,AK,Alaska,Solar Photovoltaic,Solar,OP,2020,0.1,NORTHWEST ARCTIC,
EIA,2021,6304_PV6,6304,Kotzebue Hybrid,NORTHWEST ARCTIC,AK,Alaska,Solar Photovoltaic,Solar,OP,2020,0.1,NORTHWEST ARCTIC,
EIA,2021,6304_PV7,6304,Kotzebue Hybrid,NORTHWEST ARCTIC,AK,Alaska,Solar Photovoltaic,Solar,OP,2020,0.1,NORTHWEST ARCTIC,
EIA,2021,6304_PV8,6304,Kotzebue Hybrid,NORTHWEST ARCTIC,AK,Alaska,Solar Photovoltaic,Solar,OP,2020,0.1,NORTHWEST ARCTIC,
EIA,2021,8223_SGSS,8223,Springerville,Apache,AZ,Arizona,Solar Photovoltaic,Solar,OP,2001,3.7,Apache,04001
EIA,2021,8223_SGSS1,8223,Springerville,Apache,AZ,Arizona,Solar Photovoltaic,Solar,OP,2010,1.4,Apache,04001
EIA,2021,8223_WMS,8223,Springerville,Apache,AZ,Arizona,Solar Photovoltaic,Solar,OP,2014,8.3,Apache,04001
EIA,2021,10029_PV,10029,General Electric Aircraft Engines,Essex,MA,Massachusetts,Solar Photovoltaic,Solar,OP,2017,2.1,Essex,25009
