state_abbrev,state_name,county_name,county_fips,project_count,total_capacity_mw,avg_capacity_mw
CA,California,Kern,06029,102,3084.9,30.244117647058825
CA,California,Riverside,06065,89,2624.5,29.48876404494382
NV,Nevada,Clark,32003,61,2424.8,39.75081967213115
CA,California,Imperial,06025,42,1856.7,44.207142857142856
CA,California,Los Angeles,06037,137,1596.9,11.656204379562045
TX,Texas,Pecos,48371,11,1559.7,141.79090909090908
CA,California,San Bernardino,06071,78,1349.2,17.297435897435896
AZ,Arizona,Maricopa,04013,36,1298.7,36.075
TX,Texas,Andrews,48003,4,1070.0,267.5
CA,California,Kings,06031,31,1057.1,34.099999999999994
CA,California,Fresno,06019,56,1014.6,18.117857142857144
CA,California,San Luis Obispo,06079,14,843.7,60.26428571428572
TX,Texas,Upton,48461,4,827.0,206.75
UT,Utah,Iron,49021,17,657.0,38.64705882352941
TX,Texas,Borden,48033,3,530.6,176.86666666666667
VA,Virginia,Spotsylvania,51177,4,500.0,125.0
TX,Texas,Culberson,48109,2,447.2,223.6
AZ,Arizona,Yuma,04027,10,431.0,43.1
MA,Massachusetts,Worcester,25027,152,407.9,2.683552631578947
GA,Georgia,Taylor,13269,5,405.7,81.14
AZ,Arizona,Pinal,04021,12,385.3,32.108333333333334
FL,Florida,Hillsborough,12057,8,381.7,47.7125
FL,Florida,Polk,12105,12,370.7,30.891666666666666
CO,Colorado,Pueblo,08101,4,362.5,90.625
UT,Utah,Beaver,49001,10,356.1,35.61
CA,California,Merced,06047,13,348.0,26.76923076923077
TX,Texas,Haskell,48207,2,325.0,162.5
CA,California,Sacramento,06067,46,324.0,7.043478260869565
FL,Florida,DeSoto,12027,5,323.0,64.6
GA,Georgia,Decatur,13087,4,314.0,78.5
GA,Georgia,Jeff Davis,13161,5,305.0,61.0
CA,California,Tulare,06107,47,304.5,6.4787234042553195
GA,Georgia,Brooks,13027,2,300.0,150.0
FL,Florida,Manatee,12081,4,298.0,74.5
CA,California,Monterey,06053,5,286.7,57.339999999999996
AZ,Arizona,Pima,04019,27,285.7,10.58148148148148
NC,North Carolina,Edgecombe,37065,9,281.5,31.27777777777778
SC,South Carolina,Orangeburg,45075,6,271.3,45.21666666666667
NC,North Carolina,Bladen,37017,14,267.5,19.107142857142858
NV,Nevada,Nye,32023,4,257.0,64.25
TX,Texas,Concho,48095,1,250.0,250.0
WI,Wisconsin,Manitowoc,55071,2,250.0,125.0
TX,Texas,Winkler,48495,1,250.0,250.0
GA,Georgia,Mitchell,13205,3,244.9,81.63333333333334
VA,Virginia,Surry,51181,2,240.3,120.15
TX,Texas,Childress,48075,1,240.0,240.0
FL,Florida,Brevard,12009,4,233.5,58.375
AL,Alabama,Colbert,01033,1,227.0,227.0
FL,Florida,Columbia,12023,3,224.3,74.76666666666667
GA,Georgia,Twiggs,13289,2,224.0,112.0
FL,Florida,Indian River,12061,3,223.5,74.5
FL,Florida,Okeechobee,12093,3,223.5,74.5
FL,Florida,St. Lucie,12111,3,223.5,74.5
NC,North Carolina,Northampton,37131,15,222.8,14.853333333333333
TX,Texas,Fannin,48147,3,216.6,72.2
NC,North Carolina,Robeson,37155,42,211.0,5.023809523809524
TX,Texas,Webb,48479,2,210.0,105.0
TX,Texas,Lamar,48277,2,208.5,104.25
NC,North Carolina,Halifax,37083,12,206.9,17.241666666666667
NC,North Carolina,Cumberland,37051,15,202.8,13.520000000000001
OH,Ohio,Brown,39015,1,200.0,200.0
IN,Indiana,Randolph,18135,1,200.0,200.0
TX,Texas,Nolan,48353,1,200.0,200.0
TX,Texas,Tom Green,48451,1,200.0,200.0
TX,Texas,Jones,48253,1,200.0,200.0
IL,Illinois,Coles,17029,1,200.0,200.0
TX,Texas,Ector,48135,3,196.8,65.60000000000001
HI,Hawaii,Honolulu,15003,14,195.4,13.957142857142857
NC,North Carolina,Nash,37127,28,193.9,6.925
NC,North Carolina,Duplin,37061,33,180.5,5.46969696969697
VA,Virginia,Greensville,51081,2,180.0,90.0
MN,Minnesota,Chisago,27025,58,179.3,3.091379310344828
TX,Texas,Travis,48453,4,178.4,44.6
NC,North Carolina,Hertford,37091,18,176.5,9.805555555555555
NC,North Carolina,Catawba,37035,13,171.3,13.176923076923078
NJ,New Jersey,Burlington,34005,34,170.8,5.023529411764706
MA,Massachusetts,Hampden,25013,58,170.6,2.9413793103448276
OR,Oregon,Crook,41013,3,166.3,55.43333333333334
NC,North Carolina,Currituck,37053,4,162.4,40.6
MI,Michigan,Shiawassee,26155,2,160.0,80.0
OH,Ohio,Hardin,39065,3,153.0,51.0
MA,Massachusetts,Plymouth,25023,58,152.4,2.627586206896552
TX,Texas,Dawson,48115,2,152.0,76.0
GA,Georgia,Dougherty,13095,2,151.0,75.5
FL,Florida,Volusia,12127,3,150.6,50.199999999999996
TX,Texas,Crane,48103,1,150.0,150.0
WI,Wisconsin,Iowa,55049,1,150.0,150.0
FL,Florida,Hamilton,12047,2,149.8,74.9
NC,North Carolina,Washington,37187,3,149.6,49.86666666666667
FL,Florida,Martin,12085,2,149.5,74.75
FL,Florida,Palm Beach,12099,2,149.0,74.5
FL,Florida,Hendry,12051,2,149.0,74.5
FL,Florida,Baker,12003,2,149.0,74.5
FL,Florida,Putnam,12107,2,149.0,74.5
FL,Florida,Charlotte,12015,2,149.0,74.5
