state_abbrev,state_name,project_count,total_capacity_mw,avg_capacity_mw
TX,Texas,195,25073.3,128.58102564102563
CA,California,983,22588.8,22.9794506612411
FL,Florida,195,11027.1,56.54923076923077
NC,North Carolina,760,6767.8,8.905
AZ,Arizona,126,5302.6,42.08412698412699
NV,Nevada,100,5297.6,52.976000000000006
GA,Georgia,149,5011.2,33.63221476510067
VA,Virginia,128,4856.2,37.9390625
OH,Ohio,63,3086.6,48.993650793650794
IL,Illinois,215,2956.5,13.751162790697675
NY,New York,623,2638.7,4.2354735152487955
IN,Indiana,107,2489.7,23.26822429906542
CO,Colorado,169,2396.9,14.182840236686392
NM,New Mexico,89,2325.5,26.129213483146067
UT,Utah,53,2197.5,41.4622641509434
WI,Wisconsin,94,2131.4,22.674468085106383
AR,Arkansas,65,1821.7,28.026153846153846
MN,Minnesota,700,1654.9,2.3641428571428573
SC,South Carolina,121,1641.9,13.569421487603307
MA,Massachusetts,524,1425.5,2.720419847328244
MS,Mississippi,22,1219.7,55.440909090909095
NJ,New Jersey,329,1193.3,3.6270516717325227
MI,Michigan,61,1178.5,19.31967213114754
LA,Louisiana,13,1070.4,82.33846153846154
OR,Oregon,133,1052.6,7.914285714285714
PA,Pennsylvania,60,868.9,14.481666666666666
ME,Maine,133,805.6,6.057142857142857
MD,Maryland,184,707.1,3.8429347826086957
IA,Iowa,27,676.7,25.062962962962963
AL,Alabama,11,666.3,60.57272727272727
TN,Tennessee,33,593.1,17.972727272727273
ID,Idaho,13,502.0,38.61538461538461
HI,Hawaii,29,500.7,17.26551724137931
MO,Missouri,31,472.5,15.241935483870968
KY,Kentucky,15,429.70000000000005,28.64666666666667
RI,Rhode Island,77,418.7,5.437662337662338
CT,Connecticut,80,321.4,4.0175
WA,Washington,7,267.4,38.199999999999996
WY,Wyoming,2,242.0,121.0
SD,South Dakota,3,209.0,69.66666666666667
MT,Montana,10,181.0,18.1
OK,Oklahoma,14,173.5,12.392857142857142
VT,Vermont,54,155.5,2.8796296296296298
WV,West Virginia,4,140.4,35.1
NE,Nebraska,19,136.2,7.168421052631579
DE,Delaware,16,96.8,6.05
KS,Kansas,33,65.9,1.996969696969697
DC,District of Columbia,12,26.1,2.1750000000000003
AK,Alaska,1,6.0,6.0
NY,Maine,1,4.9,4.9
WV,Maryland,2,4.0,2.0
NH,New Hampshire,1,2.4,2.4
