source,source_project_id,project_name,county_name_left,state_name,state_abbrev,latitude,longitude,capacity_mw,status,operating_year,country_name,index_right,STATEFP,COUNTYFP,COUNTYNS,GEOIDFQ,county_fips_x,county_name_geo,NAMELSAD,state_abbrev_geo,state_name_geo,LSAD,ALAND,AWATER,county_name_right,full_score,cost_modifier_full,county_name_join,county_name,county_fips_y,county_fips,snapshot_label
GEM,L100001016961,(3K) 59 Hetcheltown Rd solar project,Schenectady County,New York,NY,42.8766,-73.9105,1.4,operating,2020,United States,2663.0,36,093,00974144,0500000US36093,36093,Schenectady,Schenectady County,NY,New York,06,530089711.0,12366944.0,,,,Schenectady,Schenectady,36093,36093,2024
GEM,L100000811700,0 Hammond St CSG solar farm,Plymouth County,Massachusetts,MA,41.8086,-70.7267,4.8,operating,2021,United States,1341.0,25,023,00606938,0500000US25023,25023,Plymouth,Plymouth County,MA,Massachusetts,06,1705513086.0,1126113558.0,,,,Plymouth,Plymouth,25023,25023,2024
GEM,L100000811701,10 Briggs Solar NG East,Kent County,Rhode Island,RI,41.6327,-71.4963,5.0,operating,2021,United States,3221.0,44,003,01219778,0500000US44003,44003,Kent,Kent County,RI,Rhode Island,06,436588768.0,50686110.0,,,,Kent,Kent,44003,44003,2024
GEM,L100000811702,10 Finderne Avenue Solar,Somerset County,New Jersey,NJ,40.5581,-74.5759,2.3,operating,2017,United States,582.0,34,035,00882234,0500000US34035,34035,Somerset,Somerset County,NJ,New Jersey,06,781832066.0,7993021.0,,,,Somerset,Somerset,34035,34035,2024
GEM,L100000811703,100 Brook Hill Drive Solar,Rockland County,New York,NY,41.0931,-73.9828,2.0,operating,2015,United States,2665.0,36,087,00974142,0500000US36087,36087,Rockland,Rockland County,NY,New York,06,449840998.0,66919666.0,,,,Rockland,Rockland,36087,36087,2024
GEM,L100000811704,100 Lower solar farm,Orange County,New York,NY,41.294,-74.539,2.0,operating,2020,United States,463.0,36,071,00974134,0500000US36071,36071,Orange,Orange County,NY,New York,06,2103272844.0,67953621.0,,,,Orange,Orange,36071,36071,2024
GEM,L100000811705,1001 Ebenezer Church Solar,Surry County,North Carolina,NC,36.2838,-80.8434,5.0,operating,2021,United States,1823.0,37,171,01008587,0500000US37171,37171,Surry,Surry County,NC,North Carolina,06,1379541809.0,10392704.0,,,,Surry,Surry,37171,37171,2024
GEM,L100000811706,1008 Matthews Solar,Surry County,North Carolina,NC,36.2167,-80.5525,4.9,operating,2021,United States,1551.0,37,197,01008597,0500000US37197,37197,Yadkin,Yadkin County,NC,North Carolina,06,867498039.0,7176192.0,,,,Yadkin,Yadkin,37197,37197,2024
GEM,L100000811707,1009 Yadkin Solar,Yadkin County,North Carolina,NC,36.1475,-80.6561,4.9,operating,2021,United States,1551.0,37,197,01008597,0500000US37197,37197,Yadkin,Yadkin County,NC,North Carolina,06,867498039.0,7176192.0,,,,Yadkin,Yadkin,37197,37197,2024
GEM,L100000811708,101 Carnegie Center Solar,Mercer County,New Jersey,NJ,40.3231,-74.6451,1.2,operating,2020,United States,1005.0,34,021,00882229,0500000US34021,34021,Mercer,Mercer County,NJ,New Jersey,06,581404579.0,11327997.0,,,,Mercer,Mercer,34021,34021,2024
GEM,L100000811709,1025 Traveller Solar,Lee County,North Carolina,NC,35.4273,-79.1263,5.0,operating,2019,United States,2652.0,37,105,01008567,0500000US37105,37105,Lee,Lee County,NC,North Carolina,06,660633151.0,10699612.0,,,,Lee,Lee,37105,37105,2024
GEM,L100000811710,1034 Catherine Lake Solar,Onslow County,North Carolina,NC,34.7847,-77.4988,4.9,operating,2021,United States,367.0,37,133,01026341,0500000US37133,37133,Onslow,Onslow County,NC,North Carolina,06,1973791551.0,370648831.0,,,,Onslow,Onslow,37133,37133,2024
GEM,L100000811711,1045 Tomlin Mill Solar,Iredell County,North Carolina,NC,35.9162,-80.8355,4.9,operating,2021,United States,3012.0,37,097,01008565,0500000US37097,37097,Iredell,Iredell County,NC,North Carolina,06,1487784939.0,59453223.0,,,,Iredell,Iredell,37097,37097,2024
GEM,L100000811712,1047 Little Mountain Solar,Yadkin County,North Carolina,NC,36.1971,-80.8067,3.0,operating,2019,United States,1551.0,37,197,01008597,0500000US37197,37197,Yadkin,Yadkin County,NC,North Carolina,06,867498039.0,7176192.0,,,,Yadkin,Yadkin,37197,37197,2024
GEM,L100000811713,1051 Lucky Solar,Yadkin County,North Carolina,NC,36.149,-80.8197,3.0,operating,2021,United States,1551.0,37,197,01008597,0500000US37197,37197,Yadkin,Yadkin County,NC,North Carolina,06,867498039.0,7176192.0,,,,Yadkin,Yadkin,37197,37197,2024
GEM,L100000811714,1073 Onslow Solar,Onslow County,North Carolina,NC,34.7736,-77.1858,4.7,operating,2021,United States,367.0,37,133,01026341,0500000US37133,37133,Onslow,Onslow County,NC,North Carolina,06,1973791551.0,370648831.0,,,,Onslow,Onslow,37133,37133,2024
GEM,L100000811715,115 G Fisher solar farm,Plymouth County,Massachusetts,MA,41.8775,-70.8398,1.0,operating,2015,United States,1341.0,25,023,00606938,0500000US25023,25023,Plymouth,Plymouth County,MA,Massachusetts,06,1705513086.0,1126113558.0,,,,Plymouth,Plymouth,25023,25023,2024
GEM,L100001050416,118 Echo solar project,Barnstable County,Massachusetts,MA,41.655,-70.5031,1.0,operating,2023,United States,64.0,25,001,00606927,0500000US25001,25001,Barnstable,Barnstable County,MA,Massachusetts,06,1020973583.0,2360362409.0,,,,Barnstable,Barnstable,25001,25001,2024
GEM,L100000811716,12 Applegate Solar,Mercer County,New Jersey,NJ,40.2003,-74.5761,1.5,operating,2012,United States,1005.0,34,021,00882229,0500000US34021,34021,Mercer,Mercer County,NJ,New Jersey,06,581404579.0,11327997.0,,,,Mercer,Mercer,34021,34021,2024
GEM,L100000811717,126 Grove Solar,Norfolk County,Massachusetts,MA,42.0761,-71.4227,2.0,operating,2012,United States,405.0,25,021,00606937,0500000US25021,25021,Norfolk,Norfolk County,MA,Massachusetts,06,1025902103.0,124954020.0,,,,Norfolk,Norfolk,25021,25021,2024
GEM,L100000811718,13 Mile Solar,Calhoun County,Michigan,MI,42.3267,-85.0486,2.0,operating,2020,United States,1786.0,26,025,01622955,0500000US26025,26025,Calhoun,Calhoun County,MI,Michigan,06,1829201515.0,31257733.0,,,,Calhoun,Calhoun,26025,26025,2024
GEM,L100000811720,145 Talmadge Solar,Middlesex County,New Jersey,NJ,40.5358,-74.3913,3.8,operating,2011,United States,87.0,34,023,00882230,0500000US34023,34023,Middlesex,Middlesex County,NJ,New Jersey,06,800957688.0,35286675.0,,,,Middlesex,Middlesex,34023,34023,2024
GEM,L100001017335,15 Glen Harris RD solar project,Franklin County,Maine,ME,44.665,-69.986,3.6,operating,2024,United States,1303.0,23,007,00581289,0500000US23007,23007,Franklin,Franklin County,ME,Maine,06,4395226705.0,121284631.0,,,,Franklin,Franklin,23007,23007,2024
GEM,L100000811721,154 D Fisher solar farm,Plymouth County,Massachusetts,MA,41.8748,-70.8398,1.0,operating,2015,United States,1341.0,25,023,00606938,0500000US25023,25023,Plymouth,Plymouth County,MA,Massachusetts,06,1705513086.0,1126113558.0,,,,Plymouth,Plymouth,25023,25023,2024
GEM,L100000811722,158th Fighter Wing solar farm,Chittenden County,Vermont,VT,44.4777,-73.1534,1.3,operating,2011,United States,1863.0,50,007,01461760,0500000US50007,50007,Chittenden,Chittenden County,VT,Vermont,06,1390433441.0,217071279.0,,,,Chittenden,Chittenden,50007,50007,2024
GEM,L100000811723,160 Tihonet Rd Hybrid CSG solar farm,Plymouth County,Massachusetts,MA,41.7934,-70.7127,5.0,operating,2021,United States,1341.0,25,023,00606938,0500000US25023,25023,Plymouth,Plymouth County,MA,Massachusetts,06,1705513086.0,1126113558.0,,,,Plymouth,Plymouth,25023,25023,2024
GEM,L100000811724,1634 Solar,Darlington County,South Carolina,SC,34.3368,-80.0815,2.0,operating,2021,United States,1318.0,45,031,01247992,0500000US45031,45031,Darlington,Darlington County,SC,South Carolina,06,1452022412.0,14563160.0,,,,Darlington,Darlington,45031,45031,2024
GEM,L100000832654,1639 RT 29 Solar 1,Fulton County,New York,NY,43.043,-74.2494,4.0,operating,2020,United States,2964.0,36,035,00974116,0500000US36035,36035,Fulton,Fulton County,NY,New York,06,1283234687.0,96916403.0,,,,Fulton,Fulton,36035,36035,2024
GEM,L100000832655,1639 RT 29 Solar 2,Fulton County,New York,NY,43.043,-74.2494,2.5,operating,2020,United States,2964.0,36,035,00974116,0500000US36035,36035,Fulton,Fulton County,NY,New York,06,1283234687.0,96916403.0,,,,Fulton,Fulton,36035,36035,2024
GEM,L100000811725,180 Raritan Solar,Middlesex County,New Jersey,NJ,40.5161,-74.3401,1.9,operating,2012,United States,87.0,34,023,00882230,0500000US34023,34023,Middlesex,Middlesex County,NJ,New Jersey,06,800957688.0,35286675.0,,,,Middlesex,Middlesex,34023,34023,2024
GEM,L100000811726,196 Tremont St CSG solar farm,Plymouth County,Massachusetts,MA,41.8429,-70.7307,1.5,operating,2021,United States,1341.0,25,023,00606938,0500000US25023,25023,Plymouth,Plymouth County,MA,Massachusetts,06,1705513086.0,1126113558.0,,,,Plymouth,Plymouth,25023,25023,2024
GEM,L100000811727,201 Sturbridge B solar farm,Hampden County,Massachusetts,MA,42.1091,-72.1712,2.0,operating,2014,United States,406.0,25,013,00606933,0500000US25013,25013,Hampden,Hampden County,MA,Massachusetts,06,1598035447.0,44416565.0,,,,Hampden,Hampden,25013,25013,2024
GEM,L100000811728,20333 Normandie solar farm,Los Angeles County,California,CA,33.8461,-118.3001,2.6,operating,2021,United States,331.0,06,037,00277283,0500000US06037,06037,Los Angeles,Los Angeles County,CA,California,06,10516008433.0,1784982940.0,,,,Los Angeles,Los Angeles,06037,06037,2024
